startup_id,company,milestone_type,milestone,period,value,unit_raw,currency,source_id,confidence,notes
S0092,Akasa Air,first_funding_event,seed,2021-07-29,2607.5,INR Mn,INR,SRC01648,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0092,Akasa Air,legal_event,investigation,2024-12,,,,SRC01667,HIGH,LEGAL_REGULATORY verbatim dates=2024-12
S0093,EatClub (BOX8),founded,2012,2012,,,,SRC01685,HIGH,STARTUPS.founded_date
S0093,EatClub (BOX8),first_funding_event,Seed/Early,2015,,INR Mn,INR,SRC01677,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0094,Eruditus,founded,2010,2010,,,,SRC01696,HIGH,STARTUPS.founded_date
S0094,Eruditus,acquisition_financing_event,Stake acquisition,2017-04-03,,INR Mn,INR,SRC01702,HIGH,FUNDING row whose round_type records an acquisition/buyout event (not a startup funding round)
S0094,Eruditus,acquisition,made acquisition,2021-05-20,$200M,as-stated in ACQUISITIONS.value,,SRC01692,MEDIUM,ACQUISITIONS verbatim
S0095,Innovist,founded,2018,2018,,,,SRC01731,HIGH,STARTUPS.founded_date
S0095,Innovist,first_funding_event,Series A,2023-05-09,579.6,INR Mn,INR,SRC01724,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0095,Innovist,acquisition_financing_event,majority acquisition,2026-06-18,,INR Mn,INR,SRC01720,HIGH,FUNDING row whose round_type records an acquisition/buyout event (not a startup funding round)
S0095,Innovist,acquisition,received majority stake acquisition,2026-06-18,"majority stake; ~Rs 4,100cr valuation (press-reported, undisclosed officially)",as-stated in ACQUISITIONS.value,,SRC01728,HIGH,ACQUISITIONS verbatim
S0096,Leap (LeapScholar),founded,2019,2019,,,,SRC01746,HIGH,STARTUPS.founded_date
S0096,Leap (LeapScholar),first_funding_event,Series A,2020-03-01,407.0,INR Mn,INR,SRC01748,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0096,Leap (LeapScholar),acquisition,made proposed acquisition; late-stage talks,2025-03-07,,as-stated in ACQUISITIONS.value,,SRC01743,MEDIUM,ACQUISITIONS verbatim
S0098,Neo (Neo Wealth),founded,2021,2021,,,,SRC01768,MEDIUM,STARTUPS.founded_date
S0098,Neo (Neo Wealth),first_funding_event,angel/seed,2021-12-15,2980.0,INR Mn,INR,SRC01770,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0098,Neo (Neo Wealth),legal_event,regulatory,UNKNOWN,,,,SRC01765,LOW,LEGAL_REGULATORY verbatim dates=UNKNOWN
S0100,Purple Style Labs,founded,2015,2015,,,,SRC01787,HIGH,STARTUPS.founded_date
S0100,Purple Style Labs,first_funding_event,Pre-Series D,2022-06-01,785.0,INR Mn,INR,SRC01784,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0100,Purple Style Labs,legal_event,regulatory,2026-01-09,,,,SRC01787,LOW,LEGAL_REGULATORY verbatim dates=2026-01-09
S0104,QNu Labs,founded,2016,2016,,,,SRC01816,MEDIUM,STARTUPS.founded_date
S0104,QNu Labs,first_funding_event,Grant (prize money),2024-11-26,664.78,INR Mn,INR,SRC01817,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0106,Curefoods,founded,2020,2020,,,,SRC01846,HIGH,STARTUPS.founded_date
S0106,Curefoods,first_funding_event,Seed,2020,,INR Mn,INR,SRC01853,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0106,Curefoods,legal_event,regulatory,2026-06-08,,,,SRC01837,HIGH,LEGAL_REGULATORY verbatim dates=2026-06-08
S0108,Edubuk,founded,2019,2019,,,,SRC01872,MEDIUM,STARTUPS.founded_date
S0108,Edubuk,first_funding_event,Incubator/Accelerator,2024-08-12,,INR Mn,INR,SRC01874,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0109,EloElo,founded,2020-07-01,2020-07-01,,,,SRC01882,HIGH,STARTUPS.founded_date
S0109,EloElo,first_funding_event,Seed,2021-07-27,156.45,INR Mn,INR,SRC01890,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0110,GIVA,founded,2019,2019,,,,SRC01915,MEDIUM,STARTUPS.founded_date
S0110,GIVA,first_funding_event,Series B,2023-07-05,2000.0,INR Mn,INR,SRC01923,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0110,GIVA,legal_event,licence,,,,,SRC01915,HIGH,LEGAL_REGULATORY verbatim dates=
S0112,Moglix,founded,2015,2015,,,,,HIGH,STARTUPS.founded_date
S0112,Moglix,first_funding_event,Series E,2021-05-17,8940.0,INR Mn,INR,SRC01945,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0116,Shadowfax,founded,2015,2015,,,,,HIGH,STARTUPS.founded_date
S0116,Shadowfax,first_funding_event,Series A,2015,1591.0,INR Mn,INR,SRC01988,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0117,Smallcase,first_funding_event,Series A,2019-02-12,,INR Mn,INR,SRC01997,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0118,StockGro,first_funding_event,Seed,2020-06-24,74.0,INR Mn,INR,SRC02002,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0118,StockGro,legal_event,regulatory,UNKNOWN,,,,SRC02006,MEDIUM,LEGAL_REGULATORY verbatim dates=UNKNOWN
S0119,Yulu,legal_event,complaint,N/A,,,,,LOW,LEGAL_REGULATORY verbatim dates=N/A
S0120,Zenoti,founded,2010,2010,,,,,MEDIUM,STARTUPS.founded_date
S0120,Zenoti,first_funding_event,Series A,2015-07-27,516.0,INR Mn,INR,SRC02036,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0123,Foxtale,founded,2021,2021,,,,,MEDIUM,STARTUPS.founded_date
S0123,Foxtale,first_funding_event,Series C,2025-01-14,2571.0,INR Mn,INR,SRC02075,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0125,HerSpace Manufacturing,founded,2023,2023,,,,SRC02101,HIGH,STARTUPS.founded_date
S0125,HerSpace Manufacturing,first_funding_event,Seed/early,2025,857.0,INR Mn,INR,SRC02095,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0126,Snitch,founded,2018,2018,,,,SRC02108,HIGH,STARTUPS.founded_date
S0126,Snitch,first_funding_event,Series A (Rs 110 Cr),2023-12-01,1084.68,INR Mn,INR,SRC02104,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0128,Rezolv,founded,2024-10-01,2024-10-01,,,,SRC02127,HIGH,STARTUPS.founded_date
S0128,Rezolv,first_funding_event,Seed,2025,299.95,INR Mn,INR,SRC02125,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0130,BGauss,founded,2020,2020,,,,SRC02142,HIGH,STARTUPS.founded_date
S0130,BGauss,first_funding_event,Series A,2022-04-01,52.0,INR Mn,INR,SRC02139,,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0134,Chargebee,founded,2011,2011,,,,SRC02186,HIGH,STARTUPS.founded_date
S0134,Chargebee,first_funding_event,Angel,2012-09-30,31.82,INR Mn,INR,SRC02188,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0134,Chargebee,legal_event,none,,,,,SRC02205,MEDIUM,LEGAL_REGULATORY verbatim dates=
S0135,Delhivery,founded,2011,2011,,,,SRC02209,HIGH,STARTUPS.founded_date
S0135,Delhivery,first_funding_event,Series H,2021-05-30,20636.5,INR Mn,INR,SRC02219,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0135,Delhivery,acquisition_financing_event,Acquisition (Spoton),2021-08-25,1600.0,INR Mn,INR,SRC02220,HIGH,FUNDING row whose round_type records an acquisition/buyout event (not a startup funding round)
S0135,Delhivery,legal_event,regulatory,2026,,,,SRC02228,HIGH,LEGAL_REGULATORY verbatim dates=2026
S0138,OYO,founded,2013,2013,,,,SRC02260,HIGH,STARTUPS.founded_date
S0138,OYO,first_funding_event,Secondary,2024-12-13,100.0,INR Mn,INR,SRC02262,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0138,OYO,legal_event,investigation,,,,,,LOW,LEGAL_REGULATORY verbatim dates=
S0144,KGeN (Kratos Gamer Network),founded,2022,2022,,,,SRC02309,HIGH,STARTUPS.founded_date
S0144,KGeN (Kratos Gamer Network),first_funding_event,ICO,2022-03-08,,INR Mn,INR,SRC02309,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0145,Seekho,founded,2020,2020,,,,SRC02331,HIGH,STARTUPS.founded_date
S0145,Seekho,first_funding_event,Seed,2023-03-01,248.4,INR Mn,INR,SRC02326,,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0145,Seekho,legal_event,complaint,2025-09-28,,,,SRC02153,LOW,LEGAL_REGULATORY verbatim dates=2025-09-28
S0146,Avammune Therapeutics,founded,2020,2020,,,,SRC02352,HIGH,STARTUPS.founded_date
S0146,Avammune Therapeutics,first_funding_event,Seed,2022-07-15,,INR Mn,INR,SRC02355,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0148,Escape Plan (travel gear),founded,2025-05-01,2025-05-01,,,,SRC02371,HIGH,STARTUPS.founded_date
S0148,Escape Plan (travel gear),first_funding_event,Seed,2025-07-22,428.5,INR Mn,INR,SRC02368,,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0153,CynLr,founded,2019,2019,,,,SRC02420,HIGH,STARTUPS.founded_date
S0153,CynLr,first_funding_event,Seed,2019-08-06,66.65,INR Mn,INR,SRC02424,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0153,CynLr,legal_event,regulatory,2023-09-30,,,,SRC02425,HIGH,LEGAL_REGULATORY verbatim dates=2023-09-30
S0154,Skydo,first_funding_event,Pre-Series A,2024-08-13,418.5,INR Mn,INR,SRC02455,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0154,Skydo,legal_event,licence,Jun 2026,,,,SRC02447,HIGH,LEGAL_REGULATORY verbatim dates=Jun 2026
S0156,VerveSemi (Vervesemi),first_funding_event,Series A (INR equivalent),2026-02-18,90.5,INR Mn,INR,SRC02473,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0157,Butterfly Learnings,first_funding_event,Seed,2022-01-01,157.0,INR Mn,INR,SRC02488,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0158,Sugar Cosmetics,founded,2015,2015,,,,,HIGH,STARTUPS.founded_date
S0158,Sugar Cosmetics,first_funding_event,Series D,2022,3925.0,INR Mn,INR,,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0158,Sugar Cosmetics,legal_event,regulatory,2026-06-30,,,,SRC02497,HIGH,LEGAL_REGULATORY verbatim dates=2026-06-30
S0159,Graas.ai (Graas),founded,2022,2022,,,,SRC02521,HIGH,STARTUPS.founded_date
S0159,Graas.ai (Graas),first_funding_event,Seed,2022-04-01,560.49,INR Mn,INR,SRC02522,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0159,Graas.ai (Graas),legal_event,,,,,,,HIGH,LEGAL_REGULATORY verbatim dates=
S0161,Agrani Labs,first_funding_event,Series A (ongoing/negotiating),2026-09-01,4350.0,INR Mn,INR,SRC02534,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0162,Mokobara,founded,2019,2019,,,,SRC02549,HIGH,STARTUPS.founded_date
S0162,Mokobara,first_funding_event,Seed,2020-03-09,23.68,INR Mn,INR,SRC02553,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0162,Mokobara,legal_event,litigation,2025,,,,SRC02552,MEDIUM,LEGAL_REGULATORY verbatim dates=2025
S0163,XpressBees,founded,2015,2015,,,,SRC02565,HIGH,STARTUPS.founded_date
S0163,XpressBees,first_funding_event,Series A,2015-11-05,1075.0,INR Mn,INR,SRC02565,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0163,XpressBees,legal_event,regulatory,2024-11-23,,,,SRC02567,LOW,LEGAL_REGULATORY verbatim dates=2024-11-23
S0164,Fundly.ai,founded,2021,2021,,,,SRC02574,HIGH,STARTUPS.founded_date
S0164,Fundly.ai,first_funding_event,seed,2023-05-08,248.4,INR Mn,INR,SRC02581,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0164,Fundly.ai,legal_event,regulatory,,,,,SRC02574,HIGH,LEGAL_REGULATORY verbatim dates=
S0165,Mitigata,founded,2023,2023,,,,SRC02592,HIGH,STARTUPS.founded_date
S0165,Mitigata,first_funding_event,Series A,2025-08-04,505.63,INR Mn,INR,SRC02591,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0167,RentoMojo,founded,2014,2014,,,,SRC02610,HIGH,STARTUPS.founded_date
S0173,immunitoAI,founded,2020,2020,,,,,HIGH,STARTUPS.founded_date
S0173,immunitoAI,first_funding_event,Series A,2025-11-25,,INR Mn,INR,SRC02644,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0182,Raphe mPhibr,founded,2017-07-21,2017-07-21,,,,,HIGH,STARTUPS.founded_date
S0182,Raphe mPhibr,first_funding_event,seed,2022-08-01,,INR Mn,INR,SRC02710,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0183,Battery Smart,founded,2019-11-01,2019-11-01,,,,,HIGH,STARTUPS.founded_date
S0183,Battery Smart,first_funding_event,seed,2020-06-01,,INR Mn,INR,SRC02716,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0185,Elivaas,first_funding_event,Seed,2023-11-27,207.0,INR Mn,INR,SRC02734,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0197,Kiwi (Gokiwi Tech),founded,2022,2022,,,,SRC02795,HIGH,STARTUPS.founded_date
S0197,Kiwi (Gokiwi Tech),first_funding_event,Seed,2022-12-30,694.52,INR Mn,INR,SRC02795,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0197,Kiwi (Gokiwi Tech),legal_event,regulatory,,,,,SRC02805,MEDIUM,LEGAL_REGULATORY verbatim dates=
S0209,Arohan Financial Services,founded,2006,2006,,,,,HIGH,STARTUPS.founded_date
S0209,Arohan Financial Services,first_funding_event,Series A,2008-07-05,,INR Mn,INR,SRC02875,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0209,Arohan Financial Services,legal_event,regulatory_compliance,2024-06-03,,,,SRC02888,HIGH,LEGAL_REGULATORY verbatim dates=2024-06-03
S0211,Nexedge Capital,first_funding_event,Pre-seed / Talks,2026-06-09,2175.0,INR Mn,INR,SRC02903,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0211,Nexedge Capital,legal_event,compliance,FY2024-2025,,,,SRC02905,HIGH,LEGAL_REGULATORY verbatim dates=FY2024-2025
S0213,Navana.ai,founded,2018,2018,,,,SRC02930,HIGH,STARTUPS.founded_date
S0213,Navana.ai,first_funding_event,Pre-Series A,2025-07-15,7.0,INR Mn,INR,SRC02925,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0215,PumPumPum,founded,2018,2018,,,,SRC02953,HIGH,STARTUPS.founded_date
S0215,PumPumPum,first_funding_event,Seed,2020-07-01,21.66,INR Mn,INR,SRC02951,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0226,Comet,founded,2023,2023,,,,SRC03018,HIGH,STARTUPS.founded_date
S0226,Comet,first_funding_event,Series A,2024-07-01,42.3,INR Mn,INR,SRC03024,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0228,CleverTap,founded,2013,2013,,,,SRC03043,MEDIUM,STARTUPS.founded_date
S0228,CleverTap,first_funding_event,Seed,2013,,INR Mn,INR,SRC03039,LOW,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0238,AgroStar,founded,2013,2013,,,,SRC03121,HIGH,STARTUPS.founded_date
S0238,AgroStar,first_funding_event,Seed,2013-04-04,63.12,INR Mn,INR,SRC03122,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0238,AgroStar,legal_event,licence,2008-10-20,,,,SRC03128,LOW,LEGAL_REGULATORY verbatim dates=2008-10-20
S0241,Arya.ag (Arya),founded,2013,2013,,,,SRC03152,MEDIUM,STARTUPS.founded_date
S0241,Arya.ag (Arya),first_funding_event,Pre-Series B,2020-03-01,444.0,INR Mn,INR,SRC03157,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0241,Arya.ag (Arya),legal_event,regulatory,2018-08-18,,,,SRC03159,HIGH,LEGAL_REGULATORY verbatim dates=2018-08-18
S0246,Vecton AI,first_funding_event,pre-seed,2026-08-11,6.0,INR Mn,INR,SRC03183,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0248,Ammunic Systems,first_funding_event,accelerator/incubator,2024,,INR Mn,INR,SRC03206,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0255,Niyo,first_funding_event,Seed,2016-01-20,12.9,INR Mn,INR,SRC03229,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0255,Niyo,legal_event,regulatory,2024-08-01,,,,SRC03252,MEDIUM,LEGAL_REGULATORY verbatim dates=2024-08-01
S0256,SatSure,first_funding_event,Seed,2019-02-11,,INR Mn,INR,SRC03265,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0258,VerSe Innovation,first_funding_event,Series F,2019-07-01,2150.0,INR Mn,INR,SRC03301,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0258,VerSe Innovation,legal_event,complaint,2025-05,,,,,MEDIUM,LEGAL_REGULATORY verbatim dates=2025-05
S0278,Tonbo Imaging,first_funding_event,Seed,2011-10-16,43.0,INR Mn,INR,SRC03385,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0278,Tonbo Imaging,legal_event,regulatory,2026-05-20,,,,SRC03378,HIGH,LEGAL_REGULATORY verbatim dates=2026-05-20
S0280,Yuma Energy,founded,2022,2022,,,,SRC02014,HIGH,STARTUPS.founded_date
S0280,Yuma Energy,acquisition_financing_event,Acquisition,2026-09-01,,INR Mn,INR,SRC01075,MEDIUM,FUNDING row whose round_type records an acquisition/buyout event (not a startup funding round)
S0283,IndiQube,first_funding_event,Angel,2017-09-11,26.83,INR Mn,INR,SRC03431,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0290,Runable,founded,2025,2025,,,,SRC03478,HIGH,STARTUPS.founded_date
S0290,Runable,first_funding_event,Seed,2025-01-01,,INR Mn,INR,SRC03482,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0290,Runable,legal_event,licence,2025-05-05,,,,SRC03477,HIGH,LEGAL_REGULATORY verbatim dates=2025-05-05
S0296,Nestasia,founded,2019,2019,,,,SRC03515,HIGH,STARTUPS.founded_date
S0296,Nestasia,first_funding_event,Series A,2021-12-15,298.0,INR Mn,INR,SRC03521,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0305,Graph AI,founded,2024,2024,,,,SRC03557,HIGH,STARTUPS.founded_date
S0305,Graph AI,first_funding_event,Seed,2025-10-01,257.1,INR Mn,INR,SRC03558,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0309,Kepler Aerospace,founded,2018,2018,,,,SRC03586,HIGH,STARTUPS.founded_date
S0309,Kepler Aerospace,first_funding_event,Seed,2026-09-01,696.0,INR Mn,INR,SRC03582,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0310,CARS24,first_funding_event,Series A,2015-11-25,,INR Mn,INR,SRC03608,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0310,CARS24,legal_event,data_breach,2026-09-06,,,,SRC03622,MEDIUM,LEGAL_REGULATORY verbatim dates=2026-09-06
S0316,R for Rabbit,founded,2014,2014,,,,SRC03647,HIGH,STARTUPS.founded_date
S0316,R for Rabbit,first_funding_event,Seed,2014,40.0,INR Mn,INR,SRC03650,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0320,Cradlewise,first_funding_event,Angel,2018-02-06,335.22,INR Mn,INR,SRC03686,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0320,Cradlewise,legal_event,regulatory,2026-09-04,,,,SRC03681,MEDIUM,LEGAL_REGULATORY verbatim dates=2026-09-04
S0322,InsuranceDekho,first_funding_event,Series A,2023-02-09,12420.0,INR Mn,INR,SRC03708,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0367,Zupee,founded,2018,2018,,,,SRC03933,HIGH,STARTUPS.founded_date
S0367,Zupee,first_funding_event,Seed,2019-01-01,86.0,INR Mn,INR,SRC03935,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0368,Vicharak,founded,2021,2021,,,,SRC03950,MEDIUM,STARTUPS.founded_date
S0368,Vicharak,first_funding_event,Seed,2024-06-25,10.02,INR Mn,INR,SRC03947,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0368,Vicharak,legal_event,Incorporation,2023-12-05,,,,SRC03950,HIGH,LEGAL_REGULATORY verbatim dates=2023-12-05
