primary_sector,company_count,funding_inr_mn,median_funding,median_company_age_yr,revenue_available,profitability_available,investor_concentration_top10_pct,city_concentration_top3_pct,hiring_momentum,product_activity,regulatory_exposure,notes
enterprise AI CRM,1,0.0,0.0,0,2,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
enterprise AI video generation,1,0.0,0.0,0,6,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
enterprise AI/analytics,1,68629.0,68629.0,68629.0,26,0,1,900.0,100.0,1,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
enterprise data & AI solutions / services,1,1738.0,1737.9,1737.9,10,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
enterprise saas,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
enterprise tech / events,1,9312.0,9312.5,9312.5,0.0,1,0,100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
environment/logistics tech,1,26310.0,26309.9,26309.9,5,1,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev (listed),1,0.0,0.0,0,0.0,0,0,100.0,100.0,2,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev battery fast-charge,1,1171.0,1171.18,1171.18,4,0,0,900.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev battery swapping,1,2515.0,2515.0,2515.0,7,1,0,800.0,100.0,1,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev commercial,1,24480.0,24479.5,24479.5,8,1,1,1600.0,100.0,0,7,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev logistics,1,0.0,0.0,0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev mobility,1,662.0,662.4,662.4,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev mobility premium,1,87.0,87.0,87.0,1,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev motorcycles,1,5656.0,5656.2,5656.2,10,1,0,700.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev ride-hailing,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev two-wheeler,1,2762.0,2762.0,2762.0,6,1,1,700.0,100.0,0,8,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev/2-wheeler,1,0.0,0.0,0,13,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
ev/fintech,1,0.0,0.0,0,1,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fashion / d2c,1,0.0,0.0,0,5,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech,5,804526.0,160905.11,29689.5,8,4,2,1160.0,80.0,0,28,13,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech (housing finance),1,16019.0,16019.0,16019.0,2,1,1,400.0,100.0,0,4,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / B2B pharma,1,1018.0,1017.5,1017.5,5,1,0,500.0,100.0,0,4,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / NBFC,1,2150.0,2150.0,2150.0,1,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / checkout,1,0.0,0.0,0,5,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / credit cards,1,3610.0,3610.33,3610.33,4,1,1,500.0,100.0,0,4,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / digital banking,1,34504.0,34503.96,34503.96,0.0,1,1,1000.0,100.0,1,1,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / digital lending,1,7254.0,7253.69,7253.69,12,1,1,900.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / embedded lending,1,104.0,104.4,104.4,0.0,0,0,100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / payments,1,1305.0,1305.0,1305.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech / travel-fintech,1,14449.0,14449.16,14449.16,0.0,1,1,900.0,100.0,0,6,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech bnpl,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech cross-border payments,1,3083.0,3082.6,3082.6,0.0,1,1,300.0,100.0,0,3,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech infra,1,53708.0,53707.5,53707.5,0.0,0,0,900.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech lending,5,77704.0,15540.86,0,10,1,1,860.0,60.0,0,11,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech lending green,1,6010.0,6010.0,6010.0,4,0,0,900.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech payments,1,74670.0,74670.0,74670.0,0.0,0,0,600.0,100.0,0,15,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech payments infrastructure,1,13962.0,13962.0,13962.0,14,1,1,700.0,100.0,0,7,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech payments/lending,1,42446.0,42446.5,42446.5,8,0,0,1000.0,100.0,0,1,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech saas,1,0.0,0.0,0,15,1,0,100.0,100.0,1,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech wealthtech,2,72470.0,36235.06,36235.055,8.0,2,1,1150.0,50.0,0,11,5,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/bnpl,1,13868.0,13867.6,13867.6,9,0,0,600.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/broking,3,16024.0,5341.17,4012.5,16,3,2,500.0,66.7,0,31,5,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/card infra,1,48175.0,48175.0,48175.0,11,1,1,800.0,100.0,0,16,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/credit cards,1,2796.0,2795.55,2795.55,7,0,0,500.0,100.0,0,0,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/debt marketplace,1,0.0,0.0,0,6,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/lending,1,0.0,0.0,0,10,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/market analytics,1,0.0,0.0,0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/microfinance,1,125160.0,125160.0,125160.0,20,1,0,1200.0,100.0,0,6,5,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/sme lending,1,3531.0,3530.84,3530.84,12,0,0,900.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/spend management,1,1134.0,1134.36,1134.36,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fintech/trade finance,1,0.0,0.0,0,10,0,0,1000.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fitness/healthtech,1,21821.0,21821.2,21821.2,10,0,1,1400.0,100.0,0,2,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
food / ethnic sweets,1,300.0,300.0,300.0,0.0,1,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
foodtech cloud kitchen,3,51178.0,17059.37,14134.12,7,2,1,1233.3,100.0,0,27,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
foodtech/cloud kitchen,1,34900.0,34899.5,34899.5,15,1,0,1200.0,100.0,0,13,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
foodtech/qsr,1,2570.0,2569.88,2569.88,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
fuel-tech,1,667.0,666.65,666.65,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
furniture rental / consumer services,1,3578.0,3577.57,3577.5699999999997,12,1,1,600.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming,2,191.0,95.35,95.35,0.0,0,0,100.0,50.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming (real-money skill gaming),1,23953.0,23952.9,23952.9,20,1,1,1100.0,100.0,3,8,5,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming / PC-console game development,1,86.0,85.7,85.7,5,0,0,200.0,100.0,1,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming / esports,1,11175.0,11175.0,11175.0,8,0,0,300.0,100.0,0,0,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming / real-money,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming / web3,1,0.0,0.0,0,14,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming diversified,1,5171.0,5171.01,5171.01,27,1,0,800.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming livestream / social entertainment / micro-drama,1,8506.0,8505.5,8505.5,6,1,0,1200.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming rmg,2,18018.0,9008.95,9008.95,8.5,1,1,950.0,50.0,0,10,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming rmg (a23),1,0.0,0.0,0,21,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming studio,1,785.0,785.0,785.0,0.0,0,0,200.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming/fantasy sports,1,117817.0,117816.62,117816.62,18,0,1,1700.0,100.0,0,4,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
gaming/web3 distribution protocol,1,5429.0,5429.23,5429.2300000000005,4,0,0,1100.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
genai fashion ecommerce,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
geospatial intelligence,1,1740.0,1740.0,1740.0,7,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
govtech saas,1,4600.0,4600.0,4600.0,18,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech,2,1127.0,563.5,563.5,0.0,1,1,400.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech (elective surgery chain),1,14005.0,14005.3,14005.3,8,0,0,600.0,100.0,1,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech / AI diagnostics,1,5440.0,5440.5,5440.5,10,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech / femtech D2C wellness,1,5258.0,5257.95,5257.95,9,1,1,900.0,100.0,1,7,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech / insurtech engagement,1,418.0,418.5,418.5,11,0,0,0.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech / wearables,1,24883.0,24883.25,24883.25,7,1,1,2400.0,100.0,0,14,7,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech ai scribe,1,617.0,617.04,617.04,4,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech diagnostics,1,3727.0,3727.3,3727.3,11,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech payments,1,0.0,0.0,0,7,0,0,900.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech pharmacy,1,14906.0,14905.64,14905.64,7,0,0,700.0,100.0,1,5,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech saas/ai,1,42565.0,42565.0,42565.0,12,0,0,800.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech surgical care,1,1371.0,1371.1,1371.1000000000001,5,0,0,600.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech | healthtech integrated care,1,24077.0,24076.6,24076.6,1,0,0,600.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech/e-pharmacy,1,0.0,0.0,0,18,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
healthtech/pharmacy,1,19779.0,19779.2,19779.2,11,1,1,500.0,100.0,0,2,6,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
homeservices,1,1.0,1.05,1.05,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
hospitality/travel-tech,1,73535.0,73535.0,73535.0,13,1,1,1700.0,100.0,0,8,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
hr-tech/jobs,1,13854.0,13854.25,13854.25,7,0,0,800.0,100.0,0,6,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
hyperlocal delivery / quick commerce,1,0.0,0.0,0,11,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
industrial robotics / autonomous mobile robots,1,0.0,0.0,0,6,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
insurtech,4,136956.0,34239.1,16319.75,11,1,1,825.0,75.0,0,11,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
insurtech / B2B commercial insurance,1,157.0,157.0,157.0,5,0,0,200.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
insurtech b2b,1,0.0,0.0,0,4,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
insurtech policy loans,1,0.0,0.0,0,5,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
insurtech reinsurance,1,0.0,0.0,0,2,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
legaltech ai,1,0.0,0.0,0,2,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics,3,176744.0,58914.79,54198.2,12,3,2,2066.7,100.0,0,17,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics / D2C fulfillment,1,22.0,22.0,22.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics cold chain,1,21425.0,21425.0,21425.0,6,1,0,800.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics last-mile,1,0.0,0.0,0,6,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics packaging,1,120.0,120.0,120.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics saas,1,86.0,85.53,85.53,4,1,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics supply chain,1,0.0,0.0,0,12,1,0,100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
logistics tech,1,0.0,0.0,0,0.0,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
martech / ai,1,0.0,0.0,0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
media (Josh/Dailyhunt),1,179806.0,179806.2,179806.2,0.0,1,0,2300.0,100.0,0,9,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
media-tech SaaS,1,24819.0,24819.35,24819.35,18,1,1,400.0,100.0,1,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
mental health / healthtech,1,0.0,0.0,0,5,0,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
mobility / fleet management,1,870.0,870.0,870.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
mobility / used-car leasing,1,454.0,453.66,453.66,8,0,0,800.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
online gaming / RMG,1,0.0,0.0,0,12,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
petcare / D2C pet nutrition,1,19.0,19.0,19.0,2,0,0,200.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech,2,148196.0,74098.0,74098.0,12.0,1,0,1000.0,100.0,0,12,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech / flex workspace (managed offices),1,5022.0,5021.88,5021.88,0.0,1,1,900.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech / property title search,1,448.0,448.0,448.0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech / workforce housing,1,7817.0,7817.0,7817.0,3,0,0,100.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech coworking,1,9656.0,9655.5,9655.5,10,1,0,800.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech listings,1,0.0,0.0,0,3,0,0,1000.0,100.0,1,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
proptech services,1,0.0,0.0,0,13,1,1,100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
quick commerce,2,238911.0,119455.55,119455.55,0.0,1,0,700.0,100.0,2,7,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
quick home services,1,0.0,0.0,0,3,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
regtech/id verification,1,12534.0,12533.9,12533.9,15,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
robotics / computer vision,1,0.0,0.0,0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
robotics / service robots (AMR),1,331.0,330.6,330.6,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
robotics / water-sanitation infra (pipeline + septic-tank robots),1,0.0,0.0,0,8,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
robotics humanoid,1,0.0,0.0,0,0.0,0,0,100.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
robotics marine,1,0.0,0.0,0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
robotics vision,1,1257.0,1256.9,1256.9,7,1,0,1100.0,100.0,0,6,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
saas,1,89635.0,89635.0,89635.0,16,1,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
saas accounting,1,0.0,0.0,0,0.0,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
saas/api dev,1,32935.0,32934.52,32934.52,12,1,0,700.0,100.0,0,9,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
saas/billing,1,35221.0,35221.37,35221.37,15,1,0,800.0,100.0,0,9,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
semiconductor ai gpu,1,5046.0,5046.0,5046.0,0.0,0,0,300.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
semiconductor cgra,1,420.0,420.0,420.0,0.0,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
"semiconductor design (RF chips, GaN)",1,0.0,0.0,0,6,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
semiconductor motor control,1,1904.0,1904.0,1904.0,0.0,1,1,700.0,100.0,0,13,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
semiconductor power,1,3093.0,3092.7,3092.7000000000003,2,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
semiconductors,1,862.0,862.11,862.11,0.0,0,0,200.0,100.0,0,5,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
semiconductors / electronics manufacturing,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
social commerce,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
social media,1,142593.0,142593.0,142593.0,11,0,0,3000.0,100.0,0,5,7,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech,2,16892.0,8445.98,8445.975,8,1,1,1100.0,50.0,2,7,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech / defence-photonics,1,257.0,257.1,257.1,3,0,0,200.0,100.0,0,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech EO,1,418.0,417.6,417.6,5,0,0,1200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech analytics,1,10800.0,10800.3,10800.3,0.0,1,0,1400.0,100.0,0,7,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech infra,1,5142.0,5142.0,5142.0,14,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech launch,3,15556.0,5185.25,2202.0,8,1,0,833.3,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spacetech ssa,1,5467.0,5466.9,5466.9,6,1,1,1000.0,100.0,0,5,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
spiritual tech,1,1044.0,1044.0,1044.0,0.0,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
supply chain / pallets,1,0.0,0.0,0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
travel AI,1,674.0,674.45,674.45,2,0,0,200.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
travel villas,1,2145.0,2144.53,2144.5299999999997,0.0,1,0,800.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
travel-tech,1,126903.0,126903.0,126903.0,26,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
travel-tech / visas,1,3132.0,3132.0,3132.0,6,0,0,500.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
used two-wheelers,1,0.0,0.0,0,6,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
watertech / AI water-infrastructure management,1,22.0,22.0,22.0,6,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
wealthtech,4,7330.0,1832.5,1707.5,5,2,0,300.0,75.0,0,11,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
wealthtech / financial services,1,40771.0,40771.42,40771.42,5,0,0,1100.0,100.0,0,7,3,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
