round_id,startup_id,city,round_date,announcement_date,year,fiscal_year,round_type,amount,currency,amount_inr_mn,valuation,valuation_currency,valuation_type,lead_investor_id,investor_ids,investor_count,new_or_existing,purpose,source_id,confidence,notes
R00291,S0054,New Delhi,,2021-02-10,2021,FY21-22,Series D,108.0,USD,8046.0,900.0,USD,post-money,INV0485,,1,unknown,,SRC01015,HIGH,
R00292,S0054,New Delhi,,2020-02-01,2020,FY20-21,Series C,75.0,USD,5550.0,,,,INV0245,,1,unknown,,SRC01019,MEDIUM,
R00293,S0054,New Delhi,,2025-05-05,2025,FY25-26,Debt,15.0,USD,1285.5,,,,,INV0487,1,all-new-investors (DERIVED),,SRC01015,HIGH,
R00294,S0054,New Delhi,,,,,Secondary,,USD,,2850.0,USD,secondary-implied,,,0,initial (DERIVED),,SRC01011,MEDIUM,
R00295,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,,2026,FY26-27,Series E,4375.0,INR,4375.0,,,undisclosed,INV0280,,1,unknown,"Expand product line, manufacturing, R&D and network",SRC01025,,announcement_date stated loosely: Mar 2026
R00296,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,,2025,FY25-26,Series D,6380.0,INR,6380.0,,,,INV0488,,1,unknown,,SRC01033,,announcement_date stated loosely: May 2025
R00297,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,,2024,FY24-25,Series C,5250.0,INR,5250.0,,,,,,0,unknown,,SRC01027,,announcement_date stated loosely: Mar 2024
R00298,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2022-10-03,2022,FY22-23,Series C,60.0,USD,4710.0,,,disclosed,INV0036,INV0036;INV0125;INV0489;INV0490;INV0491;INV0492,7,initial (DERIVED),"Scale manufacturing capacity, expand distribution, strengthen team",SRC01031,HIGH,
R00299,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2024-05-29,2024,FY24-25,Series C (additional),200.0,INR,200.0,,,undisclosed,,,0,unknown,Production capacity and R&D,SRC01034,MEDIUM,
R00300,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2024-03-01,2024,FY24-25,Series C,525.0,INR,525.0,,,undisclosed,,INV0280;INV0493;INV0494,3,all-new-investors (DERIVED),"Expand product line, manufacturing, R&D",SRC01027,HIGH,
R00301,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2025-05-01,2025,FY25-26,Series D,638.0,INR,638.0,,,undisclosed,INV0488,INV0488;INV0494,3,mixed (DERIVED),"Boost production capacity, R&D, distribution to 80 cities",SRC01033,HIGH,
R00302,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2026-03-24,2026,FY26-27,Series E (equity),437.5,INR,437.5,,,undisclosed,INV0280,INV0280;INV0488;INV0125,4,all-follow-on (DERIVED),"Expand manufacturing, scale network, R&D",SRC01025,HIGH,
R00303,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2026-03-24,2026,FY26-27,Series E (debt),250.0,INR,250.0,,,n/a,,INV0495;INV0413;INV0381;INV0371,4,all-new-investors (DERIVED),"Manufacturing expansion, network scaling",SRC01025,HIGH,
R00304,S0055,Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources),,2025-01-01,2025,FY25-26,Debt,20.0,USD,1714.0,,,n/a,,INV0496,1,all-new-investors (DERIVED),Working capital,SRC01026,MEDIUM,
R00305,S0056,Pune (batch said Bengaluru — corrected: Pune HQ per all sources),2024-06-01,,2024,FY24-25,Series E,,USD,,,,,INV0498;INV0499,,2,new (Amara) + existing,lending scale-up,SRC01046,,announcement_date stated loosely: Jun 2024
R00306,S0056,Pune (batch said Bengaluru — corrected: Pune HQ per all sources),,,2022,FY22-23,Series D,110.0,USD,8635.0,,,,INV0500;INV0063,,2,unknown,,SRC01046,,announcement_date stated loosely: Aug 2022
R00307,S0056,Pune (batch said Bengaluru — corrected: Pune HQ per all sources),,,,,Series F,,USD,,,,,,,0,initial (DERIVED),,SRC01049,HIGH,added session-2 gapfill
R00308,S0057,Noida,,2025-01-09,2025,FY25-26,Series F,275.0,USD,23567.5,3450.0,USD,post-money (primary),INV0143,INV0143;INV0502;INV0503;INV0504;INV0505;INV0237,7,all-new-investors (DERIVED),,SRC01052,HIGH,
R00309,S0057,Noida,,2021-12-14,2021,FY21-22,Series E,150.0,USD,11175.0,3200.0,USD,post-money,,,0,unknown,,SRC01054,HIGH,
R00310,S0057,Noida,,2021-02-04,2021,FY21-22,Series D,105.0,USD,7822.5,,,,INV0029,,1,initial (DERIVED),,SRC01054,MEDIUM,
R00311,S0058,Bengaluru,2021-03-17,2021-03-17,2021,FY21-22,Seed,7.3,USD,543.85,,,None,INV0125,INV0125;INV0506;INV0507;INV0508;INV0509;INV0510,7,initial (DERIVED),Build hyperspectral constellation,SRC01066,HIGH,
R00312,S0058,Bengaluru,2022-03-29,2022-03-29,2022,FY22-23,Series A,25.0,USD,1962.5,,,None,INV0511,INV0511;INV0512;INV0046;INV0513;INV0507,6,mixed (DERIVED),Constellation + Aurora platform,SRC01065,HIGH,
R00313,S0058,Bengaluru,2023-06-01,2023-06-01,2023,FY23-24,Series B,36.0,USD,2980.8,,,None,INV0256,INV0256;INV0511;INV0046;INV0125;INV0507;INV0514;INV0515;INV0516;INV0512;INV0517,11,mixed (DERIVED),"Hyperspectral constellation + Aurora analytics platform; 6 sats 2024, 18 more by 2025",SRC01059,HIGH,
R00314,S0058,Bengaluru,2024-12-09,2024-12-09,2024,FY24-25,Series B extension,24.0,USD,2008.8,,,None,INV0518;INV0117,INV0518;INV0117,4,all-new-investors (DERIVED),Series B extension,SRC01076,HIGH,Series B extension; total Series B $60M; cumulative $95M
R00315,S0058,Bengaluru,2026-09-06,2026-09-06,2026,FY26-27,Series C,100.0,USD,8700.0,350.0,USD,press-quoted,INV0127;INV0512,INV0127;INV0512;INV0288;INV0519,6,mixed (DERIVED),Expand satellite production across India and US; next-gen sats; US government business,SRC01058,HIGH,Largest Indian spacetech round to date per TNW; announced Sept 6 US / Sept 7 IST; total raised $195M
R00316,S0059,Mumbai,,2024-01-12,2024,FY24-25,Series B,900.0,INR,900.0,,,,INV0520,INV0520,2,initial (DERIVED),,SRC01092,MEDIUM,
R00317,S0059,Mumbai,,2026-03-16,2026,FY26-27,Series B extension / growth equity,3805.0,INR,3805.0,,,,INV0494;INV0521,INV0494;INV0522;INV0523;INV0520,6,mixed (DERIVED),,SRC01094,HIGH,
R00318,S0059,Mumbai,,2026-05-06,2026,FY26-27,Debt,15.0,USD,1305.0,,,,INV0524,INV0525,2,all-new-investors (DERIVED),,SRC01093,HIGH,
R00319,S0059,Mumbai,2026-03-01,2026-03-01,2026,FY26-27,Series B,,USD,,,,,,,0,unknown,"Expand retail green lending (EV, rooftop solar, SME)",SRC01096,MEDIUM,added session-2 gapfill
R00320,S0060,Mumbai,,2021-08-11,2021,FY21-22,Series B,29.0,USD,2160.5,87.0,USD,post-money,INV0528,INV0171;INV0528;INV0529;INV0530;INV0531;INV0439,7,initial (DERIVED),,SRC01113,MEDIUM,
R00321,S0060,Mumbai,,2024-10-28,2024,FY24-25,Series D,15.8,USD,1322.46,,,,INV0528,INV0528;INV0288;INV0171,4,mixed (DERIVED),,SRC01106,MEDIUM,
R00322,S0060,Mumbai,,2025-08-25,2025,FY25-26,Series D (pending),155.0,USD,13283.5,550.0,USD,estimated post-money,INV0532,INV0532,2,all-new-investors (DERIVED),,SRC01104,MEDIUM,Board resolution reported; close unconfirmed
R00323,S0060,Mumbai,,2025-11-07,2025,FY25-26,Corporate Minority (Series D extension),10.5,USD,899.85,,,,INV0533,INV0533,2,all-new-investors (DERIVED),,SRC01103,HIGH,
R00324,S0060,Mumbai,2025-08-25,2025-08-25,2025,FY25-26,Series D,,USD,,550.0,USD,post-money,,,0,new,Business requirements and general corporate purposes; AMDG-PAX Foundation to hold 27.87% post-allotment,SRC01107,MEDIUM,added session-2 gapfill
R00325,S0060,Mumbai,2024-08-22,2024-08-22,2024,FY24-25,Series C,,USD,,207.0,USD,post-money,,,0,new,Angel investors and Moneycrew Fintech,SRC01108,MEDIUM,added session-2 gapfill
R00326,S0060,Mumbai,2023-03-30,2023-03-30,2023,FY23-24,Series C,,USD,,200.0,USD,post-money,,,0,new,IvyCap Ventures Trust Fund III CCPS issuance,SRC01107,MEDIUM,added session-2 gapfill
R00327,S0061,Mumbai,2019,2019,2019,FY19-20,Series A,4.0,USD,344.0,,,,INV0145;INV0536,INV0145;INV0536,4,initial (DERIVED),,SRC01118,MEDIUM,Per VCCircle Sept 2026 recap of history.
R00328,S0061,Mumbai,2021-06-01,2021-06-01,2021,FY21-22,pre-Series B,7.1,USD,528.95,,,,INV0536,INV0536,2,all-follow-on (DERIVED),,SRC01132,MEDIUM,
R00329,S0061,Mumbai,2025-02-01,2025-02-01,2025,FY25-26,pre-Series C,35.0,INR,35.0,,,,INV0537,INV0537;INV0538;INV0539;INV0540,5,all-new-investors (DERIVED),,SRC01118,MEDIUM,
R00330,S0061,Mumbai,2026-09-07,2026-09-07,2026,FY26-27,Series C,50.0,USD,4350.0,,,,INV0037;INV0541,INV0037;INV0541;INV0537;INV0300,6,led by Peak XV Partners and Filter Capital; existing investors participated,"Brand building, distribution expansion, R&D",SRC01118,HIGH,"Mix of primary + secondary; partial exits to Kae Capital, Lightbox VC, angels. Valuation undisclosed. INR ~472.4 Cr per VCCircle."
R00331,S0062,Mumbai,2022-04-01,2022-04-01,2022,FY22-23,Series B,22.0,USD,1727.0,,,,INV0004,,1,unknown,,SRC01147,MEDIUM,
R00332,S0062,Mumbai,2025-03-01,2025-03-01,2025,FY25-26,Series C (tranche 1),44.0,USD,3770.8,,,,INV0003,,1,unknown,,SRC01154,HIGH,C1 tranche; Accel India Rs 285.4 Cr per RoC; valuation ~$340M post-money (Entrackr est).
R00333,S0062,Mumbai,2025-07-01,2025-07-16,2025,FY25-26,Series C (tranche 2),20.0,USD,1714.0,,,,INV0037,,1,unknown,,SRC01141,HIGH,"C2 tranche; 19,737 Series C2 CCPS at Rs 88,331; valuation ~$410M (Entrackr est)."
R00334,S0062,Mumbai,2025-08-11,2025-08-11,2025,FY25-26,Series C (total),85.0,USD,7284.5,,,,INV0003;INV0037,INV0003;INV0037;INV0004;INV0542,6,mixed (DERIVED),,SRC01139,HIGH,"$65M primary + $20M secondary; valuation >$400M (TechCrunch). Two closes: $44M Accel-led, $40M Peak XV-led."
R00335,S0062,Mumbai,,,,,Series C,,USD,,,,reported_pre-round,,,0,initial (DERIVED),,SRC01142,MEDIUM,added session-2 gapfill
R00336,S0062,Mumbai,2020-05-16,2020-05-16,2020,FY20-21,Seed,0.497776,USD,36.84,,,,INV0543,INV0542,2,all-new-investors (DERIVED),Business operations expansion,SRC01155,HIGH,"Rs 3.7 Cr per InfoEdge NSE filing; 24,980 seed CCP shares; 17.80% stake"
R00337,S0062,Mumbai,2021-06-08,2021-06-08,2021,FY21-22,Series A,5.0,USD,372.5,,,,INV0542,INV0542;INV0544;INV0545,4,mixed (DERIVED),Expand to three new cities; product/technology; supply chain,SRC01156,HIGH,Rs 36 crore per IndianStartupNews
R00338,S0063,Mumbai,2025-08-19,2025-08-19,2025,FY25-26,Growth equity,170.0,USD,14569.0,,,,INV0046;INV0013,INV0046;INV0013;INV0115,5,initial (DERIVED),"Asset acquisitions, tech development, tier-2/3 expansion",SRC01163,HIGH,"Rs ~1,481.5 Cr; subject to regulatory approvals."
R00339,S0063,Mumbai,2026-03-18,2026-03-18,2026,FY26-27,Growth equity (two tranches),1450.0,INR,1450.0,,,,INV0013;INV0118,INV0013;INV0118;INV0115,5,mixed (DERIVED),scale affordable housing finance book,SRC01165,HIGH,Two tranches; Rs 950 Cr second tranche; funded 75% Centrum HFL stake.
R00340,S0064,Bengaluru,,,2021,FY21-22,Series E,210.0,USD,15645.0,,,post-money,INV0027;INV0029;INV0124,,3,"new and existing (General Atlantic, Tiger Global, Moore Strategic)",,SRC01192,,announcement_date stated loosely: Nov 2021
R00341,S0064,Bengaluru,,,2019,FY19-20,Series D,80.0,USD,6880.0,,,,INV0029,,1,unknown,,SRC01192,,announcement_date stated loosely: Oct 2019
R00342,S0064,Bengaluru,,,2023,FY23-24,Series E extension,5.0,USD,414.0,,,undisclosed,INV0256,,1,new investor Google,,SRC01192,,announcement_date stated loosely: Mar 2023
R00343,S0064,Bengaluru,2019-06-22,2019-06-22,2019,FY19-20,Series C,51.0,USD,4386.0,,,undisclosed,INV0027,INV0027,2,initial (DERIVED),Series C funding,SRC01193,MEDIUM,
R00344,S0064,Bengaluru,2019-10-01,2019-10-01,2019,FY19-20,Series D,50.0,USD,4300.0,,,undisclosed,INV0029,INV0029,2,all-new-investors (DERIVED),Series D funding,SRC01194,MEDIUM,
R00345,S0064,Bengaluru,2021-11-23,2021-11-23,2021,FY21-22,Total funding,361.0,USD,26894.5,,,post-money,INV0027;INV0029;INV0124,INV0027;INV0029;INV0124;INV0121;INV0130;INV0546;INV0547;INV0548;INV0549;INV0256,13,mixed (DERIVED),Total funding raised to date,SRC01189,HIGH,Total raised $361M per PTI/Rediff Sep 2026; $366M per Zivora PR; $368M per Tracxn; $430.9M per StartupTalky (includes debt/secondary)
R00346,S0065,Hyderabad,,2026-05-07,2026,FY26-27,pre-Series C (second),60.0,USD,5220.0,1100.0,USD,pre-money,INV0313;INV0036,INV0313;INV0036;INV0550;INV0551;INV0552;INV0553;INV0025,9,all-new-investors (DERIVED),,SRC01200,HIGH,
R00347,S0065,Hyderabad,,2023-11-01,2023,FY23-24,pre-Series C (first),27.5,USD,2277.0,550.0,USD,post-money (reported),INV0127,,1,unknown,,SRC01202,HIGH,
R00348,S0065,Hyderabad,,2022-09-01,2022,FY22-23,Series B,51.0,USD,4003.5,,,,,,0,unknown,,SRC01207,HIGH,
R00349,S0065,Hyderabad,,2022-01-01,2022,FY22-23,Series B (early tranche; Sherpalo participated),4.5,USD,353.25,,,,,,0,initial (DERIVED),,SRC01204,MEDIUM,
R00350,S0066,Bengaluru,,,2021,FY21-22,Seed,2.5,USD,186.25,,,,INV0170,,1,unknown,,SRC01211,,announcement_date stated loosely: Jul 2021
R00351,S0066,Bengaluru,,,2023,FY23-24,Series A1,,USD,,,,,INV0037,,1,unknown,,SRC01212,,announcement_date stated loosely: Jun 2023 / Feb 2024
R00352,S0066,Bengaluru,,,2025,FY25-26,Series B,50.0,USD,4285.0,,,post-money (press-quoted),INV0556,,1,"new (Reliance lead); existing Peak XV, Kalaari participated per VCCircle",Scale global operations; defence customers and missile-tracking expansion,SRC01210,,announcement_date stated loosely: Dec 2025
R00353,S0066,Bengaluru,2023-06-01,2023-06-20,2023,FY23-24,Series A1,10.0,USD,828.0,,,,INV0037,INV0037;INV0170,3,all-new-investors (DERIVED),Deploy first phase of space surveillance constellation; launch satellites,SRC01216,HIGH,
R00354,S0066,Bengaluru,2024-02-01,2024-02-28,2024,FY24-25,Series A1 (extension),2.0,USD,167.4,,,,INV0557;INV0558,INV0557;INV0558,4,all-new-investors (DERIVED),Extended Series A1 close at $12M total,SRC01223,HIGH,
R00355,S0066,Bengaluru,2020-08-20,2020-08-20,2020,FY20-21,Grant (prize money),0.25,INR,0.25,,,,INV0559,INV0560,2,initial (DERIVED),Pre-seed grant for space debris monitoring R&D,SRC01215,HIGH,
R00356,S0067,Mumbai,2022-03-30,2022-03-30,2022,FY22-23,Venture round (unicorn),75.0,USD,5887.5,,,post-money (reported),INV0562,INV0562;INV0029;INV0563,4,"new (Malabar-led) + existing Tiger Global, Raine",growth,SRC01229,HIGH,
R00357,S0067,Mumbai,2022,2022,2022,FY22-23,UNKNOWN,48.0,USD,3768.0,,,,,,0,unknown,,SRC01247,LOW,Per GetLatka structured dataset citing livemint; not corroborated in this pass — UNVERIFIED.
R00358,S0067,Mumbai,2006-06-01,2006-06-01,2006,FY06-07,Seed,,USD,,,,,,,0,unknown,founding,SRC01240,LOW,Seed round per PitchBook/Tracxn; amount undisclosed
R00359,S0067,Mumbai,2021-06-25,2021-06-25,2021,FY21-22,Series B,,USD,,,,,,INV0103,1,all-new-investors (DERIVED),growth,SRC01244,MEDIUM,Tiger Global first institutional investor (2011); Series B per PitchBook
R00360,S0067,Mumbai,2022-03-30,2022-03-30,2022,FY22-23,Series C (unicorn),75.0,USD,5887.5,,,post-money (reported),INV0564,INV0564;INV0103;INV0565;INV0566;INV0567;INV0568;INV0569,8,mixed (DERIVED),growth + investment arm,SRC01237,HIGH,14th unicorn of 2022 / 99th Indian unicorn per Inc42; Raine Group was financial advisor
R00361,S0067,Mumbai,2021-11-03,2021-11-03,2021,FY21-22,Angel,0.0366,USD,2.73,,,,,INV0570,1,all-new-investors (DERIVED),,SRC01240,LOW,Per Tracxn funding table; $36.6K angel round
R00362,S0067,Mumbai,,,,,Total disclosed,98.1,USD,8407.17,,,post-money (Tracxn),,,0,initial (DERIVED),,SRC01240,HIGH,Total $98.1M across 6 rounds per Tracxn; 8 institutional + 26 angel investors
R00363,S0068,Thane,,2025-09-18,2025,FY25-26,Series G,731.5,USD,62689.55,2800.0,USD,post-money reported,INV0571,INV0571;INV0572;INV0029;INV0291;INV0573;INV0574,7,mixed (DERIVED),Pre-IPO; founders raise stake to ~30% promoter status,SRC01255,HIGH,
R00364,S0068,Thane,2019,2019,2019,FY19-20,Seed/Series A,10.0,USD,860.0,,,,INV0003;INV0048,INV0003;INV0048;INV0575;INV0576,6,initial (DERIVED),early-stage growth,SRC01259,MEDIUM,
R00365,S0068,Thane,2021-02-01,2021-02-01,2021,FY21-22,Series B,100.0,USD,7450.0,1000.0,USD,post-money,INV0029,INV0029;INV0003;INV0048;INV0575;INV0576,6,mixed (DERIVED),growth capital,SRC01259,HIGH,
R00366,S0068,Thane,2024,2024,2024,FY24-25,debt,50.0,USD,4185.0,,,,INV0306,INV0306,2,all-new-investors (DERIVED),growth capital,SRC01261,MEDIUM,
R00367,S0068,Thane,2025-01-01,2025-01-01,2025,FY25-26,Series F,121.0,USD,10369.7,2800.0,USD,post-money,INV0029;INV0230;INV0577;INV0578,INV0029;INV0230;INV0577;INV0579;INV0580,9,mixed (DERIVED),pre-IPO growth,SRC01266,MEDIUM,
R00368,S0068,Thane,2025,2025,2025,FY25-26,debt,150.0,USD,12855.0,,,,INV0581,INV0306,2,all-follow-on (DERIVED),growth capital,SRC01255,HIGH,
R00369,S0068,Thane,2025-02-01,2025-02-01,2025,FY25-26,debt,1250.0,INR,1250.0,,,,INV0582,INV0582,2,all-new-investors (DERIVED),growth capital,SRC01260,MEDIUM,
R00370,S0068,Thane,2026,2026,2026,FY26-27,debt,1250.0,INR,1250.0,,,,INV0582,INV0582,2,all-follow-on (DERIVED),growth capital,SRC01260,MEDIUM,
R00371,S0069,"Hyderabad (India R&D; HQ Los Altos, USA)",,2021-09-14,2021,FY21-22,Series B,35.0,USD,2607.5,,,,INV0103,,1,unknown,,,,
R00372,S0069,"Hyderabad (India R&D; HQ Los Altos, USA)",,,,,Acquisition (NXP Semiconductors; enrich $35M round type/date still unverified),,USD,,,,acquisition_price_reported,,,0,initial (DERIVED),,SRC01278,MEDIUM,added session-2 gapfill
R00373,S0070,Bengaluru,,2026-08-19,2026,FY26-27,Series C (first institutional equity),100.0,USD,8700.0,,,post-money (per ET headline),INV0142,,1,first institutional / new investor Prosus,,SRC01281,,
R00374,S0070,Bengaluru,,2025-07-28,2025,FY25-26,debt (NCD),20.0,USD,1714.0,,,,INV0584,,1,unknown,,SRC01299,,
R00375,S0070,Bengaluru,2025-07-28,2025-07-28,2025,FY25-26,Conventional Debt (NCD),20.0,USD,1714.0,,,,INV0584,INV0584;INV0585,3,all-new-investors (DERIVED),NBFC capital raising,SRC01299,MEDIUM,
R00376,S0070,Bengaluru,2024-05-23,2024-05-23,2024,FY24-25,Convertible Debt,18.01215,USD,1507.62,,,,INV0586,INV0586;INV0587;INV0588;INV0589;INV0590;INV0591,7,initial (DERIVED),,SRC01292,MEDIUM,Per Tracxn funding history
R00377,S0070,Bengaluru,,2026-08-13,2026,FY26-27,IPO (planned),3000.0,INR,3000.0,,,target IPO valuation,INV0592;INV0593;INV0401;INV0594,,4,unknown,Public listing,SRC01289,MEDIUM,"DRHP filing reportedly planned Dec 2026; no OFS component; previously filed 2022 for ₹3,350 cr, abandoned 2023"
R00378,S0070,Bengaluru,,2025,2025,FY25-26,Preferential shares (NBFC capital),5000.0,INR,5000.0,,,,,,0,unknown,NBFC equity capital,SRC00082,MEDIUM,"₹500 cr raised in two tranches via preferential shares; Navi Finserv equity capital ~₹4,000 cr"
R00379,S0071,Bengaluru,,2026-07-02,2026,FY26-27,Series E (tranche 1),6.0,USD,522.0,,,,INV0003;INV0596;INV0029,,3,unknown,,SRC01308,,
R00380,S0071,Bengaluru,,2021-12-13,2021,FY21-22,Series D-II,145.0,USD,10802.5,,,,INV0597,,1,unknown,,SRC01314,,
R00381,S0071,Bengaluru,,2019-04-24,2019,FY19-20,Series C,90.0,USD,7740.0,,,,INV0029,,1,unknown,,SRC01318,,
R00382,S0071,Bengaluru,,,,,Growth (Flipkart/Walmart-led $145M),,USD,,,,reported_post_money,,,0,initial (DERIVED),,SRC01311,HIGH,added session-2 gapfill
R00383,S0071,Bengaluru,2018-12-12,2018-12-12,2018,FY18-19,Series B,3100.0,INR,3100.0,,,,INV0598;INV0599,INV0598;INV0599;INV0600;INV0601;INV0602;INV0413;INV0291;INV0596;INV0603;INV0241,12,all-new-investors (DERIVED),"Expand to new geographies, strengthen product/tech, build supply chain infrastructure",SRC01317,HIGH,Rs 250 crore (~$31M); total raised Rs 310 crore at that point
R00384,S0071,Bengaluru,2022-05-01,2022-05-01,2022,FY22-23,Growth (STIC Investments),9.2,USD,722.2,,,reported_post_money,INV0604,INV0604,2,all-new-investors (DERIVED),,SRC01310,MEDIUM,Per ET citing Tracxn; valuation $756M as of May 2022
R00385,S0071,Bengaluru,2021-12-13,2022-01-24,2022,FY22-23,Growth (Flipkart/Walmart-led $145M),145.0,USD,11382.5,,,reported_post_money,INV0028;INV0605,INV0028;INV0605,4,all-new-investors (DERIVED),,SRC01311,HIGH,Entrackr estimate from regulatory filings; $72.5M each from Walmart and Flipkart
R00386,S0072,Noida,,2018-05-01,2018,FY18-19,Private,125.0,USD,10750.0,1000.0,USD,,,INV0127;INV0606,2,all-new-investors (DERIVED),,SRC01324,MEDIUM,Unicorn round; search-snippet fact (Wikipedia snippet)
R00387,S0072,Noida,,2020-01-01,2020,FY20-21,Private,,USD,,1000.0,USD,,INV0234,INV0234,2,all-new-investors (DERIVED),,SRC01324,MEDIUM,Undisclosed sum; first Indian unicorn of 2020 per StartupTalky
R00388,S0072,Noida,,2021-07-01,2021,FY21-22,Private,325.0,USD,24212.5,3500.0,USD,,INV0093;INV0607,INV0093;INV0607,4,all-new-investors (DERIVED),,SRC01324,MEDIUM,Search-snippet fact
R00389,S0072,Noida,,2022-01-01,2022,FY22-23,Series F,150.0,USD,11775.0,5000.0,USD,,INV0066,,1,unknown,,SRC01324,MEDIUM,Search-snippet fact
R00390,S0072,Noida,,2022-03-04,2022,FY22-23,Series F,50.0,USD,3925.0,5050.0,USD,,INV0276,INV0606;INV0608;INV0127;INV0037,5,all-follow-on (DERIVED),,SRC01332,MEDIUM,Tracxn snippet
R00391,S0072,Noida,,2025-11-03,2025,FY25-26,IPO,3900.0,USD,334230.0,2900.0,USD,,,INV0609,1,all-follow-on (DERIVED),,SRC01321,HIGH,"Fresh Rs 2,080 cr + OFS 82.34M shares; price band Rs 210-221; ~$440M; valuation ~$2.9B"
R00392,S0072,Noida,,2009-01-01,2009,FY09-10,Seed,,USD,,,,undisclosed,INV0610,INV0037,2,initial (DERIVED),,SRC01333,MEDIUM,
R00393,S0072,Noida,,2014-05-08,2014,FY14-15,Series A,,USD,,,,undisclosed,INV0037,INV0037;INV0065,3,mixed (DERIVED),,SRC01334,MEDIUM,
R00394,S0072,Noida,,2018-01-12,2018,FY18-19,Series B,82.0,USD,7052.0,,,undisclosed,INV0608;INV0611,INV0608;INV0611;INV0612;INV0065,6,mixed (DERIVED),,SRC01324,MEDIUM,
R00395,S0072,Noida,,2018-05-31,2018,FY18-19,Series C,125.0,USD,10750.0,,,post-money,INV0127;INV0606,INV0127;INV0606;INV0065,5,all-follow-on (DERIVED),,SRC01324,MEDIUM,
R00396,S0072,Noida,,2020-01-01,2020,FY20-21,Corporate,,USD,,,,post-money,INV0234,INV0234,2,all-follow-on (DERIVED),,SRC01335,MEDIUM,
R00397,S0072,Noida,,2020-12-21,2020,FY20-21,Series D,41.0,USD,3034.0,,,post-money,INV0033,INV0033,2,all-new-investors (DERIVED),,SRC01334,MEDIUM,
R00398,S0072,Noida,,2021-04-20,2021,FY21-22,Series D,5.5,USD,409.75,,,post-money,INV0613;INV0037;INV0614,INV0613;INV0037;INV0614;INV0615;INV0616;INV0127;INV0033;INV0617;INV0618;INV0619,13,mixed (DERIVED),,SRC01334,MEDIUM,
R00399,S0072,Noida,,2021-05-17,2021,FY21-22,Series E,285.0,USD,21232.5,,,post-money,INV0614;INV0615;INV0616;INV0127;INV0033,INV0614;INV0615;INV0616;INV0127;INV0033;INV0288;INV0620;INV0621;INV0622;INV0623;INV0624;INV0619,17,mixed (DERIVED),,SRC01336,HIGH,
R00400,S0072,Noida,,2021-07-06,2021,FY21-22,Series E,315.0,USD,23467.5,,,post-money,INV0102;INV0607;INV0625,INV0102;INV0607;INV0625;INV0288;INV0620;INV0621;INV0622;INV0623;INV0624;INV0619,13,mixed (DERIVED),,SRC01324,MEDIUM,
R00401,S0072,Noida,,2021-09-16,2021,FY21-22,Series F,100.0,USD,7450.0,,,post-money,INV0626,INV0626,2,all-new-investors (DERIVED),,SRC01334,MEDIUM,
R00402,S0072,Noida,,2022-01-04,2022,FY22-23,Corporate,20.0,USD,1570.0,,,undisclosed,INV0627,INV0627,2,all-new-investors (DERIVED),,SRC01337,MEDIUM,
R00403,S0072,Noida,,2025-06-26,2025,FY25-26,IPO,2600.0,USD,222820.0,,,target,,INV0609,1,all-new-investors (DERIVED),,SRC01323,HIGH,
R00404,S0072,Noida,,2025-11-06,2025,FY25-26,Secondary,197.88,USD,16958.32,,,undisclosed,INV0628,INV0628;INV0629,3,all-new-investors (DERIVED),,SRC01338,LOW,
R00405,S0073,Bengaluru (factory Hoskote),,2026-08-05,2026,FY26-27,Series C (equity+debt),120.0,USD,10440.0,,,,INV0146;INV0630,,2,unknown,,SRC01362,,
R00406,S0073,Bengaluru (factory Hoskote),2024-02-05,2024-02-05,2024,FY24-25,Series B,40.0,USD,3348.0,,,undisclosed,INV0631,,1,existing,"Ramp up production, expand distribution, launch second product",SRC01373,,
R00407,S0073,Bengaluru (factory Hoskote),2023-06-01,2023-06-01,2023,FY23-24,Series A,15.0,USD,1242.0,,,undisclosed,INV0632,,1,existing,Initial product development and launch,SRC01371,,
R00408,S0073,Bengaluru (factory Hoskote),,,,,Series C,,USD,,,,undisclosed,,,0,initial (DERIVED),"New factory, 2 new scooters, manufacturing scale-up",SRC01364,HIGH,added session-2 gapfill
R00409,S0073,Bengaluru (factory Hoskote),,,,,Series C,,USD,,,,,,,0,unknown,Expand portfolio and build factory,SRC01365,HIGH,added session-2 gapfill
R00410,S0073,Bengaluru (factory Hoskote),2026-08-05,2026-08-05,2026,FY26-27,Series C,,USD,,,,undisclosed,,,0,new,"New factory, 2 new scooters, manufacturing scale-up",SRC01362,HIGH,added session-2 gapfill
R00411,S0074,"Chennai (dual HQ Wilmington, Delaware, USA)",2026-03-25,2026-03-25,2026,FY26-27,Series C,60.0,USD,5220.0,300.0,USD,post-money,INV0119,,1,new,"Nitro agentic platform, enterprise GTM, global expansion",SRC01387,,
