primary_sector,companies,n_note,avg_completeness_pct,median_completeness_pct,funded_companies,funding_median_inr_mn,funding_total_inr_mn,revenue_known_n,revenue_median_inr_crore,small_sample_flag,notes
AI,2,sample-size protection: descriptive only,34.4,34.4,1,65.2,130.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
dairy / processed foods,1,sample-size protection: descriptive only,18.8,18.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
data centres / digital infrastructure,1,sample-size protection: descriptive only,35.4,35.4,1,2500.0,2500.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
defence drones,1,sample-size protection: descriptive only,60.4,60.4,1,4850.0,4850.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
defence electronics,1,sample-size protection: descriptive only,20.8,20.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
defence imaging / electro-optics,1,sample-size protection: descriptive only,89.6,89.6,1,4730.4,4730.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
defence marine autonomy,1,sample-size protection: descriptive only,31.2,31.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
defence tech,2,sample-size protection: descriptive only,53.1,53.1,1,47.1,94.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
defence/counter-drone ai,1,sample-size protection: descriptive only,25.0,25.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ecommerce,1,sample-size protection: descriptive only,91.7,91.7,1,3153712.5,3153712.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ecommerce / home decor D2C,1,sample-size protection: descriptive only,79.2,79.2,1,2285.9,2285.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ecommerce/eyewear,1,sample-size protection: descriptive only,39.6,39.6,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edge-ai chips,1,sample-size protection: descriptive only,37.5,37.5,1,2607.5,2607.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech,1,sample-size protection: descriptive only,87.5,87.5,1,82022.0,82022.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech / HR-tech (AI + blockchain credentials),1,sample-size protection: descriptive only,81.2,81.2,1,4371.4,4371.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech / school SaaS / AI learning,1,sample-size protection: descriptive only,47.9,47.9,1,2366.2,2366.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech SaaS,1,sample-size protection: descriptive only,100.0,100.0,1,3308.0,3308.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech ai tutor,1,sample-size protection: descriptive only,29.2,29.2,1,321.4,321.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech exec education,1,sample-size protection: descriptive only,87.5,87.5,1,101310.0,101310.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech live classes,1,sample-size protection: descriptive only,54.2,54.2,1,15792.7,15792.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech robotics / consumer AI robots,1,sample-size protection: descriptive only,58.3,58.3,1,17666.3,17666.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech short-form,1,sample-size protection: descriptive only,89.6,89.6,1,3317.6,3317.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
edtech study-abroad,1,sample-size protection: descriptive only,89.6,89.6,1,17229.0,17229.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
electric mobility / EV powertrain,1,sample-size protection: descriptive only,14.6,14.6,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise / data & AI services,1,sample-size protection: descriptive only,37.5,37.5,1,29995.0,29995.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise AI CRM,1,sample-size protection: descriptive only,35.4,35.4,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise AI video generation,1,sample-size protection: descriptive only,37.5,37.5,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise AI/analytics,1,sample-size protection: descriptive only,64.6,64.6,1,68629.0,68629.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise data & AI solutions / services,1,sample-size protection: descriptive only,18.8,18.8,1,1285.5,1285.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise saas,1,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
enterprise tech / events,1,sample-size protection: descriptive only,41.7,41.7,1,9312.5,9312.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
environment/logistics tech,1,sample-size protection: descriptive only,45.8,45.8,1,26309.9,26309.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev (listed),1,sample-size protection: descriptive only,22.9,22.9,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev battery fast-charge,1,sample-size protection: descriptive only,45.8,45.8,1,1171.2,1171.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev battery swapping,1,sample-size protection: descriptive only,60.4,60.4,1,2515.0,2515.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev commercial,1,sample-size protection: descriptive only,87.5,87.5,1,22765.5,22765.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev logistics,1,sample-size protection: descriptive only,35.4,35.4,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev mobility,1,sample-size protection: descriptive only,22.9,22.9,1,662.4,662.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev mobility premium,1,sample-size protection: descriptive only,45.8,45.8,1,87.0,87.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev motorcycles,1,sample-size protection: descriptive only,56.2,56.2,1,5656.2,5656.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev ride-hailing,1,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev two-wheeler,1,sample-size protection: descriptive only,89.6,89.6,1,2762.0,2762.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev/2-wheeler,1,sample-size protection: descriptive only,43.8,43.8,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
ev/fintech,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fashion / d2c,1,sample-size protection: descriptive only,33.3,33.3,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech,5,sample-size protection: descriptive only,79.6,87.5,5,21635.6,199599.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech (housing finance),1,sample-size protection: descriptive only,91.7,91.7,1,16019.0,16019.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / B2B pharma,1,sample-size protection: descriptive only,83.3,83.3,1,939.2,939.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / NBFC,1,sample-size protection: descriptive only,41.7,41.7,1,2150.0,2150.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / checkout,1,sample-size protection: descriptive only,25.0,25.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / credit cards,1,sample-size protection: descriptive only,100.0,100.0,1,3610.3,3610.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / digital banking,1,sample-size protection: descriptive only,68.8,68.8,1,34504.0,34504.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / digital lending,1,sample-size protection: descriptive only,66.7,66.7,1,7253.7,7253.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / embedded lending,1,sample-size protection: descriptive only,37.5,37.5,1,104.4,104.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / payments,1,sample-size protection: descriptive only,25.0,25.0,1,1305.0,1305.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech / travel-fintech,1,sample-size protection: descriptive only,89.6,89.6,1,14449.2,14449.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech bnpl,1,sample-size protection: descriptive only,12.5,12.5,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech cross-border payments,1,sample-size protection: descriptive only,95.8,95.8,1,3082.6,3082.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech infra,1,sample-size protection: descriptive only,64.6,64.6,1,53707.5,53707.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech lending,5,sample-size protection: descriptive only,44.2,37.5,2,0.0,77704.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech lending green,1,sample-size protection: descriptive only,58.3,58.3,1,4705.0,4705.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech payments,1,sample-size protection: descriptive only,91.7,91.7,1,74670.0,74670.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech payments infrastructure,1,sample-size protection: descriptive only,95.8,95.8,1,13962.0,13962.0,4,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech payments/lending,1,sample-size protection: descriptive only,70.8,70.8,1,41161.0,41161.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech saas,1,sample-size protection: descriptive only,25.0,25.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech wealthtech,2,sample-size protection: descriptive only,70.8,70.8,2,32918.9,65837.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/bnpl,1,sample-size protection: descriptive only,66.7,66.7,1,13867.6,13867.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/broking,3,sample-size protection: descriptive only,70.1,89.6,2,4012.5,16023.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/card infra,1,sample-size protection: descriptive only,91.7,91.7,1,48175.0,48175.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/credit cards,1,sample-size protection: descriptive only,39.6,39.6,1,2795.6,2795.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/debt marketplace,1,sample-size protection: descriptive only,27.1,27.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/lending,1,sample-size protection: descriptive only,27.1,27.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/market analytics,1,sample-size protection: descriptive only,27.1,27.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/microfinance,1,sample-size protection: descriptive only,95.8,95.8,1,125160.0,125160.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/sme lending,1,sample-size protection: descriptive only,50.0,50.0,1,2528.2,2528.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/spend management,1,sample-size protection: descriptive only,20.8,20.8,1,1134.4,1134.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fintech/trade finance,1,sample-size protection: descriptive only,37.5,37.5,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fitness/healthtech,1,sample-size protection: descriptive only,75.0,75.0,1,21821.2,21821.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
food / ethnic sweets,1,sample-size protection: descriptive only,18.8,18.8,1,300.0,300.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
foodtech cloud kitchen,3,sample-size protection: descriptive only,63.9,87.5,2,14134.1,51178.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
foodtech/cloud kitchen,1,sample-size protection: descriptive only,93.8,93.8,1,34899.5,34899.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
foodtech/qsr,1,sample-size protection: descriptive only,18.8,18.8,1,719.9,719.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
fuel-tech,1,sample-size protection: descriptive only,29.2,29.2,1,666.6,666.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
furniture rental / consumer services,1,sample-size protection: descriptive only,79.2,79.2,1,2142.5,2142.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming,2,sample-size protection: descriptive only,16.7,16.7,2,95.3,190.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming (real-money skill gaming),1,sample-size protection: descriptive only,89.6,89.6,1,20184.9,20184.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming / PC-console game development,1,sample-size protection: descriptive only,35.4,35.4,1,85.7,85.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming / esports,1,sample-size protection: descriptive only,39.6,39.6,1,11175.0,11175.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming / real-money,1,sample-size protection: descriptive only,18.8,18.8,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming / web3,1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming diversified,1,sample-size protection: descriptive only,50.0,50.0,1,5171.0,5171.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming livestream / social entertainment / micro-drama,1,sample-size protection: descriptive only,89.6,89.6,1,8505.5,8505.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming rmg,2,sample-size protection: descriptive only,54.2,54.2,1,9009.0,18017.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming rmg (a23),1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming studio,1,sample-size protection: descriptive only,27.1,27.1,1,785.0,785.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming/fantasy sports,1,sample-size protection: descriptive only,68.8,68.8,1,117816.6,117816.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
gaming/web3 distribution protocol,1,sample-size protection: descriptive only,87.5,87.5,1,5429.2,5429.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
genai fashion ecommerce,1,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
geospatial intelligence,1,sample-size protection: descriptive only,14.6,14.6,1,1740.0,1740.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
govtech saas,1,sample-size protection: descriptive only,52.1,52.1,1,4600.0,4600.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech,2,sample-size protection: descriptive only,50.0,50.0,1,563.5,1127.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech (elective surgery chain),1,sample-size protection: descriptive only,68.8,68.8,1,14005.3,14005.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech / AI diagnostics,1,sample-size protection: descriptive only,35.4,35.4,1,5440.5,5440.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech / femtech D2C wellness,1,sample-size protection: descriptive only,83.3,83.3,1,5257.9,5257.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech / insurtech engagement,1,sample-size protection: descriptive only,22.9,22.9,1,418.5,418.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech / wearables,1,sample-size protection: descriptive only,93.8,93.8,1,24783.2,24783.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech ai scribe,1,sample-size protection: descriptive only,45.8,45.8,1,617.0,617.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech diagnostics,1,sample-size protection: descriptive only,39.6,39.6,1,3727.3,3727.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech payments,1,sample-size protection: descriptive only,37.5,37.5,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech pharmacy,1,sample-size protection: descriptive only,89.6,89.6,1,14905.6,14905.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech saas/ai,1,sample-size protection: descriptive only,56.2,56.2,1,42565.0,42565.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech surgical care,1,sample-size protection: descriptive only,43.8,43.8,1,1371.1,1371.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech | healthtech integrated care,1,sample-size protection: descriptive only,47.9,47.9,1,24076.6,24076.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech/e-pharmacy,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
healthtech/pharmacy,1,sample-size protection: descriptive only,89.6,89.6,1,19779.2,19779.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
homeservices,1,sample-size protection: descriptive only,16.7,16.7,1,1.1,1.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
hospitality/travel-tech,1,sample-size protection: descriptive only,93.8,93.8,1,73535.0,73535.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
hr-tech/jobs,1,sample-size protection: descriptive only,95.8,95.8,1,13854.2,13854.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
hyperlocal delivery / quick commerce,1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
industrial robotics / autonomous mobile robots,1,sample-size protection: descriptive only,41.7,41.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
insurtech,4,sample-size protection: descriptive only,49.5,53.1,2,16319.8,136956.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
insurtech / B2B commercial insurance,1,sample-size protection: descriptive only,25.0,25.0,1,157.0,157.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
insurtech b2b,1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
insurtech policy loans,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
insurtech reinsurance,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
legaltech ai,1,sample-size protection: descriptive only,41.7,41.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics,3,sample-size protection: descriptive only,88.2,85.4,3,41317.7,119159.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics / D2C fulfillment,1,sample-size protection: descriptive only,12.5,12.5,1,22.0,22.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics cold chain,1,sample-size protection: descriptive only,62.5,62.5,1,21425.0,21425.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics last-mile,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics packaging,1,sample-size protection: descriptive only,16.7,16.7,1,120.0,120.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics saas,1,sample-size protection: descriptive only,47.9,47.9,1,85.5,85.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics supply chain,1,sample-size protection: descriptive only,54.2,54.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
logistics tech,1,sample-size protection: descriptive only,37.5,37.5,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
martech / ai,1,sample-size protection: descriptive only,25.0,25.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
media (Josh/Dailyhunt),1,sample-size protection: descriptive only,87.5,87.5,1,179304.0,179304.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
media-tech SaaS,1,sample-size protection: descriptive only,64.6,64.6,1,7850.0,7850.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
mental health / healthtech,1,sample-size protection: descriptive only,22.9,22.9,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
mobility / fleet management,1,sample-size protection: descriptive only,31.2,31.2,1,870.0,870.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
mobility / used-car leasing,1,sample-size protection: descriptive only,87.5,87.5,1,453.7,453.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
online gaming / RMG,1,sample-size protection: descriptive only,18.8,18.8,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
petcare / D2C pet nutrition,1,sample-size protection: descriptive only,31.2,31.2,1,19.0,19.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
