startup_id,company_name,legal_name,aliases,website,founded_date,incorporation_date,status,startup_stage,primary_sector,secondary_sectors,business_model,customer_type,city,state,country,hq_type,registered_office,employee_estimate,employee_estimate_date,total_funding_disclosed,last_funding_date,last_funding_round,last_known_valuation,revenue_latest_fy,revenue_latest_fy_year,revenue_latest_fy_period,profit_loss_latest_fy,profit_loss_latest_fy_period,dpiit_recognized,cin,parent_company,subsidiary_of,public_private,website_status,official_website,careers_website,last_verified,confidence,primary_source_id,notes,company_class
S0046,Fractal Analytics,Fractal Analytics Limited,,https://fractal.ai,2000,2000-03-28,public,Public (listed Feb 2026; ex-unicorn),enterprise AI/analytics,,Enterprise AI services + products (Fractal.ai / Fractal Alpha),enterprise,Mumbai,Maharashtra,India,dual HQ Mumbai + New York,,,,"68629.0 Mn INR (equity, DERIVED)",2025-07-15,Secondary,,3299.7,FY26,FY26 crore INR,287.0,FY26 crore INR,,L72400MH2000PLC125369,,,Private,unchecked (not in linkcheck set),https://fractal.ai,https://fractal.wd1.myworkdayjobs.com/Careers,2026-09-14,HIGH,,CONFLICT[IPO size]: DRHP was Aug 2025 plan; issue downsized ~40% at listing Feb 2026 per Reuters/CEO | GAPS: TA Associates / Aimia early rounds unverified; Listing-day market cap / price action not captured; CIN not verified,Mature private company
S0047,Jumbotail,Jumbotail Technologies Private Limited,,https://jumbotail.com,2015-11-04,2015-11-04,Active,"Unicorn (Series D, June 2025, >$1B post-money)",B2B ecommerce (food & grocery),,B2B marketplace + logistics + fintech working capital + J24 retail network,"B2B (kiranas, MSMEs, brands)","Bengaluru, Karnataka",,India,HQ,"Eastland Citadel, 6th Floor, No.102, Hosur Road, Madiwala Check post, Bangalore, Karnataka - 560029","446 (Tracxn official) to ~1435 (Inc42, likely incl. field staff)",,"27744.0 Mn INR (equity, DERIVED) + 1112.8 Mn INR (debt)",2026-03-03,Strategic Investment,,725.1,FY25,FY25 crore INR,,,,U72200KA2015PTC083865,,,Private,unchecked (not in linkcheck set),https://jumbotail.com,https://jumbotail.com/careers/,2026-09-14,HIGH,SRC00833,"CONFLICT[total funding]: Use company $263M as primary; note DB higher figures include debt/secondary | CONFLICT[city]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[total funding raised]: Use company $263M as primary; note higher figures include debt rounds and second | CONFLICT[FY24 revenue]: Tracxn rounds to 914Cr; Inc42 gives precise 913.8Cr; essentially same figure | CONFLICT[FY25 revenue]: 725.1Cr is total revenue; 103.8Cr may be operating revenue or different classifi | GAPS: FY25 financials not yet filed at time of search; CIN unverified from primary MCA (seen only via Tracxn snippet, omitted); DPIIT status unverified | City corrected from discovery seed (Bengaluru) to Bengaluru, Karnataka per enrichment. | PARENT/SUBSIDIARY: Independent; acquired Solv India (2025, CCI-approved)",Startup
S0048,Livspace,Home Interior Designs E-commerce Pvt Ltd (India); group via Singapore,,https://livspace.com,2014,2014-06-23,Active,"Unicorn (Series F, Feb 2022, $1.2B)",Home interiors marketplace,,"Marketplace + services (design-to-installation fees, commissions, private label)",B2C homeowners,Bengaluru,,India,operational HQ Bengaluru; registered office Haryana,"Unit No R2-102, First Floor, M3M Cornerwalk, DLF QE, Dlf Qe, Haryana 122002, India",6500 (PitchBook 2026),,"56137.9 Mn INR (equity, DERIVED)",2026-07-19,Secondary Transaction,,231,FY25,FY25 million SGD,131,FY25 crore INR,,U52390HR2014PTC131277,,,Private,unchecked (not in linkcheck set),https://www.livspace.com,https://www.livspace.com/in/careers,2026-09-14,HIGH,SRC00859,"CONFLICT[founded year]: Use 2014 per ET/VCCircle founder reporting | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[city]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[founded_year]: Use 2014 per MCA incorporation date (23 Jun 2014) and Livspace official website | CONFLICT[total_funding]: Tracxn includes later tranches (2024-2025) not counted in company's $450M figure | CONFLICT[employee_count]: Post-layoff estimate ~7,000; PitchBook 6,500 may reflect latest count; Tracxn 4, | CONFLICT[founder_GNAN]: GNAN likely refers to Gokul Rajaram (angel investor, not founder) or is an error | GAPS: Legal/CIN not verified; DPIIT unverified; Total raised $450M (company) vs $512M/14 rounds (Tracxn) — minor conflict noted, unresolved; fresh source URL for $1.2B Series F valuation (already in enrich) | City corrected from discovery seed (Bengaluru) to Bengaluru (HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East per enrichment. | PARENT/SUBSIDIARY: Independent private | HQ/domicile detail: HQ); Singapore domicile (reverse flip planned); ops India/Singapore/Middle East",Mature private company
S0049,Meesho,"Meesho Limited (listed Dec 2025; formerly Meesho Inc./Pvt Ltd; subsidiaries incl. Meesho Technologies, Meesho Grocery, Meesho Payments)",,https://www.meesho.com/,2015-12-01,2015-01-01,Active / Listed,Public (IPO Dec 2025),Horizontal ecommerce / social commerce,,Commission-light marketplace (ads + logistics/Valmo fees; commission on Meesho Mall),B2C consumers; sellers are SMBs/manufacturers,"Bengaluru, Karnataka",,India,HQ,"3rd Floor, Wing-E, Helios Business Park, Kadubeesanahalli Village, Varthur Hobli, Outer Ring Road, Bellandur, Bangalore, Karnataka, 560103",2082 (Tracxn official),,"98729.8 Mn INR (equity, DERIVED) | IPO issue 606.0 USDMn (excluded from private equity total)",2025-12-03,IPO,,5578.0,H1FY26,H1FY26 (6MO TO SEP 30 2025) crore INR,433,H1FY26 crore INR,,U74900KA2015PTC082263,,,Public (since Dec 2025 IPO),unchecked (not in linkcheck set),https://meesho.in,https://meesho.io/jobs,2026-09-14,HIGH,SRC00893,"CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[cin]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[incorporation_date]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[city]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[public_private]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[official_website]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[founders]: Sanjeev Barnwal = Sanjeev Kumar (same person); Tofler uses full name Sanjeev Kum | CONFLICT[funding_rounds]: Consistent across sources | CONFLICT[funding_rounds]: Consistent across sources | CONFLICT[identity]: Cannot verify; no source found confirming Shark Tank investment in Meesho | GAPS: CIN not captured; FY25 full-year audited revenue not captured (H1 only); DPIIT status unverified; Fashnear exact incorporation day-month; FY25/FY26 filing financials; round dates/valuations beyond enrich file | City corrected from discovery seed (Bengaluru) to Bengaluru, Karnataka per enrichment. | PARENT/SUBSIDIARY: Public listed company (NSE/BSE Dec 2025); subsidiaries listed in NSE filing",Public company
S0050,Ola (ANI Technologies),ANI Technologies Private Limited (dba Ola Cabs / Ola Consumer),ANI Technologies,https://www.olacabs.com,2010-12-03,2010-12-03,Active,"Late stage Series J; markdown era (Vanguard marks down to ~$2B Nov 2024, $70M Feb 2026 per ET snippet)",Mobility / road transport tech,,"Ride-hailing marketplace (cabs, autos, bikes, rentals, outstation)",B2C riders; B2B drivers/partners,Bengaluru,Karnataka,India,,"Ola Campus, Wing C, Prestige RMZ Startech, Hosur Road, Municipal Ward No. 67, Industrial Layout, Bangalore South, Bangalore - 560095, Karnataka","3724 (Tracxn official); ANI legal entity 306 (Mar 2026, Tracxn)",,"47605.5 Mn INR (equity, DERIVED)",2022-02-22,Series J,"$70.3M (Vanguard mark, Feb 2026); peak $7.3B (late 2021)",,FY25,FY25 USD USD,1974.7,FY25 crore INR,,U72900KA2010PTC086596,,,Private,unchecked (not in linkcheck set),https://www.olacabs.com,https://www.olacabs.com/careers,2026-09-14,MEDIUM,,"city per ZaubaCorp / Tracxn | CONFLICT[peak valuation]: Different vintages; $7.3B later peak generally cited | GAPS: Full round-by-round history not built at LITE scope (total ~$4.49B per Tracxn); FY25 figures not verified; DPIIT unverified; Vanguard $70M Feb-2026 markdown seen only as ET headline snippet — UNVERIFIED, needs fetch; FY26 financials (not ye | PARENT/SUBSIDIARY: Independent; Ola Electric spun off 2018-19 (separate entity, ANI kept ~7.5% for brand); Krutrim separate AI company by same founder",Mature private company
S0051,Rapido,Roppen Transportation Services Private Limited (dba Rapido),,https://rapido.bike,2015,2015-01-05,Active,Series F; $3B post-money (May 2026),Mobility / road transport tech (bike taxi-led multimodal),,Ride-hailing marketplace (commission on bike taxis; subscription for auto/cab; delivery + ads),B2C riders; driver-partners (captains); delivery/food adjacencies,"Bengaluru, Karnataka",,India,"Corporate Office: Mantri Commercio - Spatium Tower A, Varthur Hobli, Bangalore East Taluk; City Office: HSR Layout, Bengaluru","3rd Floor, Sai Prithvi Arcade, Megha Hills, Sri Rama Colony, Madhapur, Hyderabad - 500081",817 (Tracxn official),,"101276.8 Mn INR (equity, DERIVED)",2026-06-18,Series F (secondary - ongoing),,934.44,FY25,FY25 crore INR,258,FY25 crore INR,DPIIT-registered (per Tracxn tag; primary cert unverified),U52210TG2015PTC097115,,,Private,unchecked (not in linkcheck set),https://rapido.bike,https://rapido.bike/Careers,2026-09-14,HIGH,SRC00937,"CONFLICT[FY25 revenue]: Both consistent: 934Cr operating + ~68Cr other income = ~1003Cr total | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[city]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[primary_sector]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[FY25 revenue]: Both consistent: 934.44Cr operating + ~68Cr other income = ~1003Cr total | GAPS: CIN not captured; Early rounds (Seed-Series C) not itemized at LITE scope; IPO-by-end-2026 plan (per BS) is guidance only | City corrected from discovery seed (Bengaluru) to Bengaluru, Karnataka per enrichment. | PARENT/SUBSIDIARY: Independent; Swiggy exited ~12% stake Sep 2025 (sold to Prosus/WestBridge ~Rs 2399Cr)",Mature private company
S0052,ShareChat,Mohalla Tech Pvt Ltd (operator of ShareChat/Moj/QuickTV),,sharechat.com,2015,2015-01-08,active,late / pre-IPO (unicorn),social media,,ad-supported + virtual gifting + subscriptions (QuickTV micro-drama),consumer,Bengaluru,Karnataka,India,HQ,"North Tower, Smartworks Vaishnavi Tech Park, Survey No 16/1 & No 17/2, Ambalipura Village, Varthur Hobli, Bengaluru Urban, Karnataka - 560103",UNKNOWN,,"142593.0 Mn INR (equity, DERIVED) + 26343.0 Mn INR (debt)",,Series H,,1000,FY25,FY26_H1 crore INR,-219,FY25 crore INR,,U74999KA2015PTC103797,,,private,unchecked (not in linkcheck set),https://sharechat.com,https://sharechat.com/careers,2026-09-14,HIGH,SRC00974,CONFLICT[total funding]: use $1.2-1.26Bn disclosed range | CONFLICT[founding team roles]: original founders as founders; Charan as CFO/cofounder per 2026 reports | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[primary_sector]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[total_funding]: Use Tracxn figure of ~$1.39Bn total disclosed; CBInsights may include unconfirme | CONFLICT[valuation_2022]: Same round; reporting-scope difference. Use $5Bn as headline valuation | CONFLICT[valuation_2024]: Company denied valuation; source says below $2B. Debt converts below $2B in next | GAPS: CIN/incorporation date unverified; employee headcount unverified; full round-by-round table unverified; DPIIT status unverified | last_funding_date stated loosely: Jun 2022,Startup
S0053,Apna,UNKNOWN,,apna.co,2019,2019-05-09,active,Series C / unicorn,hr-tech/jobs,,marketplace / SaaS hiring platform,B2B2C (employers + blue/grey-collar job seekers),Bengaluru,Karnataka,India,operating,"Innov8 Orchid Centre, 3rd Floor, Orchid Center, Golf Course Road, Sector 53, DLF QE, Gurgaon, Haryana, India, 122002",1605 (PitchBook profile; UNVERIFIED),,"13854.2 Mn INR (equity, DERIVED)",,Series C,,150,FY25,FY27 crore INR,,FY25  INR,,U74999HR2019PTC137533,,,private,unchecked (not in linkcheck set),https://apna.co,https://apna.co/jobs,2026-09-14,HIGH,SRC00998,CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[ceo_identity]: Nirmit Parikh is Founder and Group CEO; Kartik Narayan is CEO of the Jobs Market | CONFLICT[registered_office_address]: Tofler shows current MCA-registered address in Mumbai; Tracxn shows Gurgaon as r | CONFLICT[employee_count]: Tracxn figure (745) is more recent and from a more specific source; PitchBook fi | CONFLICT[revenue_range]: Tofler range is approximate; Inc42 figure is specific FY25 operating revenue. No | GAPS: legal name/CIN unverified; HQ nuance: Bengaluru ops but one profile lists Gurgaon registered address — unverified; FY26 revenue target 150cr is management guidance only; employee count from PitchBook unverified | last_funding_date stated loosely: Sep 2021,Scale-up
S0054,BharatPe,Resilient Innovations Private Limited,,https://bharatpe.com,2018-03-01,2018-03-20,active,Unicorn (Series E),fintech payments/lending,,B2B2C merchant payments + lending,,New Delhi,,India,HQ,,,,"41161.0 Mn INR (equity, DERIVED) + 1285.5 Mn INR (debt)",2025-05-05,Debt,,1667.0,FY25,FY25 Cr INR,,FY25 Cr INR,,U74999DL2018PTC331205,,,Private,unchecked (not in linkcheck set),https://bharatpe.com,https://bharatpe.com/career,2026-09-14,MEDIUM,,"CONFLICT[revenue_fy25]: Use Entrackr filing figure Rs 1,667 Cr as primary; note Inc42 variance. | GAPS: Full round-by-round debt schedule not reconciled ($584M vs $883M total claims across DBs); Unity Small Finance Bank stake economics unverified; Pre-IPO $80-100M Coatue round status unconfirmed; financials: no FY25 revenue/loss figures surfa",Startup
S0055,Euler Motors,Euler Motors Private Limited,,eulermotors.com,2018,2015-01-15,active,Series E / growth,ev commercial,,OEM manufacturing + sales/service network (3W/4W cargo EVs),"B2B (fleet, e-commerce, hyperlocal delivery)",Delhi,,India,registered_office,"B-99, Second Floor, Panchsheel Vihar, New Delhi, Delhi - 110017",447 (per The Company Check; UNVERIFIED),,"22765.5 Mn INR (equity, DERIVED) + 1964.0 Mn INR (debt)",,Series D,,433,FY25,FY26 crore INR,,FY25  INR,Recognised Startup (per The Company Check),U72900DL2015PTC275513,,,private,unchecked (not in linkcheck set),https://www.eulermotors.com,,2026-09-14,HIGH,SRC01029,"CONFLICT[founded year]: record both: brand 2018, legal incorporation 2015 | CONFLICT[FY25 PAT]: use Inc42 press figure with note | CONFLICT[city]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[employee_estimate]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[founded year]: Brand founded 2018; legal entity incorporated 15 Jan 2015 (formerly Cube26 linea | CONFLICT[Hero MotoCorp stake]: ET says 35-36%; Mint says 34% at end of FY26. Likely rounding or timing differen | CONFLICT[FY25 net loss]: Different fiscal years: FY25 loss ~200cr, FY26 loss 315cr (per Mint). The 261cr | CONFLICT[FY25 revenue]: Minor rounding difference between Inc42 and ET; both cite same filing | CONFLICT[total raised]: Consistent; company-claimed cumulative figure | GAPS: total raised ~Rs 1,900cr is company-claimed cumulative; valuation undisclosed for Series E; DPIIT detail unverified beyond directory claim; valuations (no round valuation disclosed in Series E coverage seen); FY26 filing financials (FY25 al | City corrected from discovery seed (Bengaluru) to Delhi (batch said Bengaluru — corrected: Delhi HQ per all sources) per enrichment. | PARENT/SUBSIDIARY: associate of Hero MotoCorp (~35-36% stake) | HQ/domicile detail: batch said Bengaluru — corrected: Delhi HQ per all sources) | last_funding_date stated loosely: May 2025",Startup
S0056,Fibe (EarlySalary),Social Worth Technologies Pvt Ltd (alias per LinkedIn; UNVERIFIED),EarlySalary,fibe.in,2015,,active,Series E / IPO-bound (DRHP chatter 2025),fintech lending,,"NBFC-led digital lending (personal loans, BNPL, credit cards, fee financing)",consumer,Pune,,India,,,"510 (Inc42 profile; LinkedIn reports 1063 — UNVERIFIED, conflict noted)",,"8635.0 Mn INR (equity, DERIVED)",,Series E,,,FY24,FY24  INR,,FY24  INR,,U72200PN2015PLC157014,,,private,unchecked (not in linkcheck set),https://www.fibe.in,https://www.fibe.in/careers/,2026-09-14,MEDIUM,,"CONFLICT[headcount]: keep both, neither as fact | CONFLICT[Series E valuation]: report range, mark estimate | GAPS: FY25 audited figures unverified; Dec 2025 round details unverified (Inc42 profile only); IPO/DRHP status unverified beyond headlines; CIN unverified; Series E/F valuations; incorporation_date (2015 implied by CIN) | City corrected from discovery seed (Bengaluru) to Pune (batch said Bengaluru — corrected: Pune HQ per all sources) per enrichment. | HQ/domicile detail: batch said Bengaluru — corrected: Pune HQ per all sources) | last_funding_date stated loosely: Jun 2024",Scale-up
S0057,Innovaccer,,,https://innovaccer.com,2014,,active,Unicorn (Series F),healthtech saas/ai,,B2B SaaS (health data + AI agents),,Noida,Uttar Pradesh,India,HQ San Francisco; eng Noida,,,,"42565.0 Mn INR (equity, DERIVED)",2025-01-09,Series F,,,FY25,FY25 M USD,,,,U72300UP2015PTC071394 (Innovaccer Technologies Pvt Ltd) / U74140UP2013PTC202874 (Innovaccer Analytics Pvt Ltd),,,Private,unchecked (not in linkcheck set),https://innovaccer.com,https://innovaccer.com/careers,2026-09-14,HIGH,,"CONFLICT[series_f_size]: $275M headline incl ~35% (~$96M) secondary per CEO; Tracxn $179M = primary slice | GAPS: Audited financials unavailable (US private co); revenue only management-quoted; Founder roles/education for Hasija/Gupta/Jaiswal unverified; Rumored $250M 2026 round (PitchBook/CB Insights) unconfirmed | incorporation_date stated loosely: 15 June 2015 (Innovaccer Technologies Pvt Ltd, Kanpur ROC) /",Scale-up
S0058,Pixxel,PixxelSpace India Private Limited,,https://www.pixxel.space,,2019-03-27,operating,growth (Series C),spacetech,"['earth-observation', 'climate-tech', 'geospatial-analytics']",B2B/B2G hyperspectral satellite imagery + analytics platform (Aurora),B2B/B2G,Bengaluru,Karnataka,India,,"Bengaluru, Karnataka","300 (Revelio Labs, Mar 2026) / 387 (Inc42 Datalabs, 2026)",2026,"16196.0 Mn INR (equity, DERIVED)",2026-09-06,Series C,~$350M (citybiz press-quoted; company did not disclose),39.3,FY25,FY25 Cr INR,-30.8,FY25 Cr INR,True,U74999KA2019FTC122792,,,private,live @2026-09-14,https://www.pixxel.space,https://www.pixxel.space/careers,2026-09-14,HIGH,,"Seed prompt named founders 'Suhas Gopal/Harsh jaiswal' — WRONG. Verified founders are Awais Ahmed (CEO) and Kshitij Khandelwal (CTO) per company site, Tracxn, Wikipedia snippet, SpaceNews. Series C announced Sept 6 (SpaceNews) vs Sept 7 (company PR/Indian press) — both recorded in conflicts. | CONFLICT[funding_rounds[Series C].announced_date]: Use 2026-09-06/07 range; SpaceNews published Sept 6 US time = Sept 7 IST | CONFLICT[company.total_funding_disclosed]: Prefer company-stated $195M disclosed equity; Tracxn higher figure likely counts | CONFLICT[company.incorporation_date]: Unresolved; same CIN U74999KA2019FTC122792 both sides — needs MCA master-data ch | GAPS: Exact Series A close vs announce date; full Series A investor list (Seraphim/others per Payload — partial); Series B extension lead split (M&G vs Glade Brook) and instrument (equity vs convertible); Company-valuation confirmation for Series | founded_date stated loosely: February 2019",Scale-up
S0059,Ecofy Finance (Ecofy),Ecofy Finance (formerly Accretive Cleantech Finance),Ecofy,https://www.ecofy.co.in,2022,2022-03-17,active,growth (Series B),fintech lending green,,"Green-only NBFC: retail lending for EV, rooftop solar, SME",B2C + SME,Mumbai,Maharashtra,India,operating,,,,"4705.0 Mn INR (equity, DERIVED) + 1305.0 Mn INR (debt)",2026-05-06,Debt,,,FY25,,,FY25  INR,,U65990MH2022PTC378560,,,Private,unchecked (not in linkcheck set),https://www.ecofy.co.in,https://www.ecofy.co.in/careers,2026-09-14,HIGH,,CONFLICT[Mar 2026 equity round size]: Same round; FX rounding differences only | GAPS: Audited FY25 revenue not verified; CIN not verified; Eversource initial cheque (2022/2023) size unverified; Employee count: Tracxn 283 vs company 800+ (Mar 2026 milestone) — unresolved timing; valuation for Series B (Mar 2026) — not disclos,Startup
S0060,Miko Technologies,RN Chidakashi Technologies Private Limited (brand: Miko),,https://miko.ai,2015,,active,Series D (soonicorn),edtech robotics / consumer AI robots,,Hardware sale (Miko 3/Mini/Chess Grand) + Max subscription + Mikonnect,B2C (kids 5-12 + parents),Mumbai,Maharashtra,India,operating,,,,"17666.3 Mn INR (equity, DERIVED)",2025-11-07,Corporate Minority (Series D extension),,358.0,FY24,FY24 crore INR,120.6,FY24 crore INR,,U72900MH2015PTC261095,,,Private,unchecked (not in linkcheck set),https://miko.ai,https://miko.ai/pages/careers,2026-09-14,HIGH,,CONFLICT[FY24 revenue]: Different cuts of same RoC filing (operating vs total); prefer Entrackr operatin | GAPS: $155M AMDG-PAX close unconfirmed; FY25 financials not filed at time of search; CIN U72900MH2015PTC261095 seen via Tracxn snippet only — needs MCA verification; Early rounds (Seed/Series A amounts) not individually verified; Exact post-money,Scale-up
S0061,Nua,Lagom Labs Private Limited,,https://nuawoman.com,2017,2016-12-19,active,Series C,healthtech / femtech D2C wellness,"['D2C', 'e-commerce', 'period care', 'intimate care', 'skincare', 'maternity care']","D2C + omnichannel retail (e-commerce, quick commerce, offline; Apollo Pharmacy, Wellness Forever)",B2C,Mumbai,Maharashtra,India,registered,"17th Floor, VIOS Towers, Off Eastern Express Highway, Sewri-Chembur Road, New Mumbai, Maharashtra - 400037",254,,"5257.9 Mn INR (equity, DERIVED)",2026-09-07,Series C,,500,FY24,FY26-RUN-RATE crore INR,-14.94,FY24 crore INR,,U24299HR2019PTC079977,,,Private,unchecked (not in linkcheck set),https://nuawoman.com,,2026-09-14,HIGH,SRC01121,"CONFLICT[total_funding]: Both count the mixed $50M print; treat as ~$65-71.5M range pending primary split | CONFLICT[funding_rounds.series_c.primary_vs_secondary]: Company confirmed mix of primary + secondary; split undisclosed in company state | CONFLICT[cin]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[total_funding]: Both count the mixed $50M print; treat as ~$65-71.5M range pending primary split | CONFLICT[financials.FY25.pat]: Different fiscal years; Inc42 FY25 = -7.0 Cr, Kredible FY24 = -14.94 Cr. Not a c | CONFLICT[employee_count]: Inc42 Datalabs updated to 254 (+3.25% last 90d); 106 was older figure. Use 254. | GAPS: Primary vs secondary split of $50M Series C undisclosed in company statement; Valuation undisclosed; Audited FY25 revenue/PAT not verified from MCA filing (only Inc42/Kredible secondary summaries seen); CIN seen via Tofler (U24290MH2016PTC2",Scale-up
S0062,Truemeds,Intellihealth Solutions Private Limited (alias per LinkedIn),,https://truemeds.in,2019,2019,active,Series C,healthtech pharmacy,"['telehealth', 'generics', 'chronic care']",e-pharmacy marketplace + telehealth; proprietary generic-substitution algorithm; pan-India delivery,B2C (chronic-care patients),Mumbai,Maharashtra,India,registered_office,"Unit-301 & 304, Lightbridge Tunga Village, Saki Vihar Rd, Chandivali, Powai, Mumbai, Maharashtra, India, 400072",318,,"14905.6 Mn INR (equity, DERIVED)",2025-08-11,Series C (total),,500,FY25,FY25 crore INR,120,FY25 crore INR,True,U85320MH2019PTC320566,,,private,unchecked (not in linkcheck set),https://www.truemeds.in,https://www.truemeds.in/categories/health-conditions/bone-and-joint-care-138,2026-09-14,HIGH,SRC01145,"CONFLICT[total_funding]: Founder figure likely counts primary only; Datalabs cumulative incl. tranches; k | CONFLICT[valuation]: Entrackr RoC-based tranche estimates more granular; TechCrunch >$400M consistent | CONFLICT[financials]: Prefer Entrackr RoC-based FY24; flag Inc42 FY25 page as suspect entity mismatch, | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[cin]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[incorporation_date]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[total_funding]: Founder figure likely counts primary only; Datalabs/Tracxn cumulative incl. tran | CONFLICT[valuation]: Entrackr RoC-based tranche estimates more granular; TechCrunch >$400M consistent | CONFLICT[employee_count]: 2,800 likely includes fulfillment center staff; 318 may be corporate-only; 1,381 | CONFLICT[cin]: Company's own website and Tofler confirm U62099MH2019PTC320566; ZaubaCorp page s | GAPS: Audited FY25 revenue not verified (Inc42 FY25 page looks mismatched; TechCrunch quotes Rs 500 Cr management claim only); CIN not verified; DPIIT status unknown; Headcount: 2,800 (founder, Aug 2025) vs 1,365 LinkedIn — unresolved timing/meth",Scale-up
S0063,Weaver Services,WEAVER SERVICES PRIVATE LIMITED,,https://www.weaverhfc.com/,2024-04-01,2024-04-02,active,Growth,fintech (housing finance),"['affordable housing', 'lending']","Tech-led affordable housing finance (AI underwriting, alternative data); acquisition-led scale","B2C (self-employed, informal segment, women borrowers; tier-2/3)",Mumbai,Maharashtra,India,registered_office,"701 Tower 3 Crescent Bay, Jerbai Wadia, Bhoiwada, Parel, Mumbai, Maharashtra 400012",UNKNOWN,,"16019.0 Mn INR (equity, DERIVED)",2026-03-18,Growth equity (two tranches),,3886,FY25,FY25 lakh INR,,,,U70200MH2024PTC422757,,,Private,live @2026-09-14,https://www.weaverhfc.com,,2026-09-14,HIGH,SRC01173,"CONFLICT[founded_date]: Prefer April 2024 (ET interview, Centrum press release, Inc42); site hero text t | CONFLICT[total_funding]: Treat as sequential raises; $326M+ cumulative per Inc42 plausible; exact overlap | CONFLICT[business_model]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[paid_up_capital]: InstaFinancials shows ₹66.27 Cr; CompanyCheck shows ₹49.03 Cr. InstaFinancials d | CONFLICT[registered_address]: Tracxn and CompanyCheck agree on Crescent Bay; InstaFinancials shows Shivaji Par | CONFLICT[founded_date]: MCA incorporation date 02 Apr 2024 is authoritative; site hero text is marketing | GAPS: CIN / legal name suffix (Weaver Services Pvt Ltd) not verified against MCA; FY25 financials only Inc42 single-line; no audited statements; Valuation undisclosed; Employee count unknown; DPIIT status unknown; RBI/NHB licence posture of acqui",Scale-up
