task_id,startup_id,company,research_area,priority,assigned,started,completed,result,next_action,status,log_events
RT0545,S0094,Eruditus,people,P3,monid/tinyfish,2026-09-15,2026-09-15,No CEO change. Ashwin Damera remains Co-Founder & CEO. Received Hurun India Startup Leader of the Year award Feb 2025. Chaitanya Kalipatnapu remains Co-Founder ,,needs-verification,42
RT0546,S0095,Innovist,customers,P3,subagent,2026-09-15,2026-09-15,B2C D2C model; e-commerce via Amazon/Flipkart; no named enterprise customers; no B2B deployments,,needs-verification,16
RT0547,S0095,Innovist,events,P3,subagent,2026-09-14,2026-09-15,"Majority stake signed Jun 18 2026; official value undisclosed; press estimates ~Rs 4,100cr",,needs-verification,34
RT0548,S0095,Innovist,financials,P3,subagent,2026-09-14,2026-09-15,"FY25 revenue Rs 301.4cr, net profit Rs 12.1cr, EBITDA Rs 3.6cr; Tofler confirms CIN, incorporation, directors, balance sheet",,needs-verification,33
RT0549,S0095,Innovist,founders,P3,subagent,2026-09-15,2026-09-15,"Rohit Chawla: INSEAD MBA + Carnegie Mellon MS; Sifat Khurana: NIFT; Vimal Bhola: Robert Gordon University. NOT IIT alums, NOT MCA.",,needs-verification,16
RT0550,S0095,Innovist,funding,P3,subagent,2026-09-14,2026-09-15,"Majority stake signed Jun 18 2026; official value undisclosed; press estimates ~Rs 4,100cr",,needs-verification,35
RT0551,S0095,Innovist,identity,P3,subagent,2026-09-14,2026-09-15,US and UK trademarks for INNOVIST registered; no patents found,,needs-verification,22
RT0552,S0095,Innovist,investors,P3,subagent,2026-09-14,2026-09-14,Series B Rs 136cr ICICI Apr 2025; Series A $7M Amazon; founders; deal valuations ~Rs 4100cr; Sauce VC 450-500cr exit,,needs-verification,1
RT0553,S0095,Innovist,locations,P3,subagent,2026-09-15,2026-09-15,233 employees (Inc42); 198 (Tracxn); HQ Gurugram; registered office Delhi; manufacturing/R&D in Gurugram,,needs-verification,16
RT0554,S0095,Innovist,products,P3,subagent,2026-09-15,2026-09-15,"4 brands: Bare Anatomy (hair), Chemist at Play (skin), SunScoop (sun), Vinci Botanicals (newer). NOT identity/deepfake defense.",,needs-verification,16
RT0555,S0096,Leap (LeapScholar),events,P3,subagent,2026-09-14,2026-09-15,Tracxn news feed mentions Duolingo DET coaching partnership (May 2025) and 15 new offline centres (Mar 2026); articles not fetched.,,needs-verification,89
RT0556,S0096,Leap (LeapScholar),financials,P3,subagent,2026-09-14,2026-09-15,"FY24 revenue Rs 175.3 Cr (+112% YoY) per Inc42; EBITDA positive as of Jul 2025 per Moneycontrol; 1M+ students served, 1000+ university partners per BS/PIE; FY25",,needs-verification,45
RT0557,S0096,Leap (LeapScholar),founders,P3,subagent,2026-09-14,2026-09-15,"Co-founders Vaibhav Singh, Arnav Kumar; Rajan Chaudhary elevated to co-founder Apr 2025; CFO Anshul Agarwal; Head of Ops Sindhu Unnikrishnan; Tracxn FAQ says CE",,needs-verification,89
RT0558,S0096,Leap (LeapScholar),funding,P3,subagent,2026-09-14,2026-09-15,"No results found for Acrew Capital, WestBridge, or Omidyar Network as investors in Leap. All press coverage names Jungle Ventures, Sequoia India, Owl Ventures, ",,needs-verification,45
RT0559,S0096,Leap (LeapScholar),identity,P3,subagent,2026-09-14,2026-09-14,"CIN U72501KA2019FTC130352, Outleap Technologies Pvt Ltd, inc 5 Dec 2019, Active (InstaFinancials/Tofler)",,needs-verification,2
RT0560,S0096,Leap (LeapScholar),investors,P3,subagent,2026-09-15,2026-09-15,"Co-founders Vaibhav Singh, Arnav Kumar; Rajan Chaudhary elevated to co-founder Apr 2025; CFO Anshul Agarwal; Head of Ops Sindhu Unnikrishnan; Tracxn FAQ says CE",,needs-verification,88
RT0561,S0096,Leap (LeapScholar),people,P3,subagent,2026-09-15,2026-09-15,"Co-founders Vaibhav Singh, Arnav Kumar; Rajan Chaudhary elevated to co-founder Apr 2025; CFO Anshul Agarwal; Head of Ops Sindhu Unnikrishnan; Tracxn FAQ says CE",,needs-verification,44
RT0562,S0097,Nazara Technologies,events,P1,subagent,2026-09-14,2026-09-14,Bluetile/BestPlay controlling-stake coverage and ZeptoLab two-game-IP coverage,,completed,1
RT0563,S0097,Nazara Technologies,financials,P1,subagent,2026-09-14,2026-09-14,"FY25 rev 1623.9cr, EBITDA 153.5cr (Annual Report); CIN confirmed; pre-IPO + post-IPO rounds via aggregator",,completed,1
RT0564,S0097,Nazara Technologies,identity,P1,subagent,2026-09-14,2026-09-14,"FY25 rev 1623.9cr, EBITDA 153.5cr (Annual Report); CIN confirmed; pre-IPO + post-IPO rounds via aggregator",,completed,2
RT0565,S0098,Neo (Neo Wealth),events,P3,subagent,2026-09-14,2026-09-14,"ACTIVE; Tracxn Series C; CINs U70200MH2021PTC367572 (Neo Wealth Mgmt, inc Sep 15 2021), U64990MH2024PTC417309; founders list",,needs-verification,1
RT0566,S0098,Neo (Neo Wealth),financials,P3,subagent,2026-09-15,2026-09-15,Tracxn shows revenue band Rs 50-100 Cr FY25. No audited MCA filing data obtained.,,needs-verification,22
RT0567,S0098,Neo (Neo Wealth),founders,P3,subagent,2026-09-15,2026-09-15,"Confirmed 5 co-founders: Nitin Jain (founder/Chairman), Hemant Daga, Varun Bajpai, Puneet Jain, A V Srikanth (all ex-Edelweiss/Macquarie/Motilal Oswal). Shajiku",,needs-verification,22
RT0568,S0098,Neo (Neo Wealth),identity,P3,subagent,2026-09-14,2026-09-15,"Confirmed via ET Jul 2026: Rs 1.3 lakh crore total client assets, Rs 50,000 crore ARR AUM as of Jun 30 2026.",,needs-verification,24
RT0569,S0098,Neo (Neo Wealth),legal,P3,subagent,2026-09-15,2026-09-15,No specific SEBI RIA registration number found. SEBI-registered private credit fund confirmed (Nov 2025). NBFC license sought from RBI (Oct 2023).,,needs-verification,22
RT0570,S0098,Neo (Neo Wealth),locations,P3,subagent,2026-09-15,2026-09-15,Confirmed via Tracxn: 903 B-Wing 9th Floor Marathon Futurex Lower Parel Mumbai 400013,,needs-verification,22
RT0571,S0099,Stellapps,events,P2,subagent,2026-09-14,2026-09-14,ACTIVE; IITM-incubated; founders; Series C $26M Oct 2024; traction 42k villages/14M litres/day,,completed,1
RT0572,S0099,Stellapps,financials,P2,subagent,2026-09-14,2026-09-14,"CIN U72900KA2011PTC058251, incorp 2011-04-20 (Tofler); FY24 mgmt revenue ~Rs 360cr; FY24 filing revenue Rs 35.6cr (Inc42)",,completed,1
RT0573,S0099,Stellapps,identity,P2,subagent,2026-09-14,2026-09-14,ACTIVE; IITM-incubated; founders; Series C $26M Oct 2024; traction 42k villages/14M litres/day,,completed,1
RT0574,S0099,Stellapps,products,P2,subagent,2026-09-14,2026-09-14,"CIN U72900KA2011PTC058251, incorp 2011-04-20 (Tofler); FY24 mgmt revenue ~Rs 360cr; FY24 filing revenue Rs 35.6cr (Inc42)",,blocked,2
RT0575,S0100,Purple Style Labs,events,P3,subagent,2026-09-14,2026-09-14,IPO Aug 31-Sep 2 2026 Rs 680cr fresh issue; listed Sep 7 at ~7% discount; FY24/25/26 revenue+PAT restated,,needs-verification,2
RT0576,S0100,Purple Style Labs,financials,P3,subagent,2026-09-14,2026-09-15,"6 directors confirmed: Abhishek Agarwal, Rahul Garg, Abhinav Agarwal, Harminder Sahni, Shefali Sarohi Shyam, Hrishikesh Bhalchandra Parandekar. NO Sugandha foun",,needs-verification,55
RT0577,S0100,Purple Style Labs,identity,P3,subagent,2026-09-14,2026-09-15,No evidence of Nykaa or ZMUM distribution partnership found. PSL operates own platform + experience centres.,,needs-verification,82
RT0578,S0100,Purple Style Labs,people,P3,subagent,2026-09-15,2026-09-15,"ALL sources confirm luxury fashion D2C. MCA industry classification is 'embroidering and embossing of leather articles' but principal business is 'Professional,",,needs-verification,54
RT0579,S0101,Zypp Electric,events,P3,subagent,2026-09-14,2026-09-14,"ACTIVE, IPO-bound; Gurugram (batch city Bengaluru is wrong — corrected with evidence); CIN U63000HR2017PTC070227; founders; FY26 MCA revenue/loss",,completed,1
RT0580,S0101,Zypp Electric,founders,P3,subagent,2026-09-14,2026-09-14,Series B $25M Gogoro Feb 2023; Series C1 $15M ENEOS May 2024; FY24 rev Rs 325cr,,completed,1
RT0581,S0101,Zypp Electric,funding,P3,subagent,2026-09-14,2026-09-14,Series B $25M Gogoro Feb 2023; Series C1 $15M ENEOS May 2024; FY24 rev Rs 325cr,,completed,1
RT0582,S0101,Zypp Electric,identity,P3,subagent,2026-09-14,2026-09-14,"ACTIVE, IPO-bound; Gurugram (batch city Bengaluru is wrong — corrected with evidence); CIN U63000HR2017PTC070227; founders; FY26 MCA revenue/loss",,completed,1
RT0583,S0102,Business Nextgen Finance,founders,P1,subagent,2026-09-14,2026-09-14,"CIN U64990MH2025PTC443949, inc Mar 26 2025, ROC Mumbai; Mumbai addresses; directors; Poddar career history",,completed,1
RT0584,S0102,Business Nextgen Finance,funding,P1,subagent,2026-09-14,2026-09-14,ACTIVE; Rs 215cr Sep 3 2026 Beams-led; founder Pankaj Poddar ex-SBFC CRO; RBI CoR Sep 2025,,completed,1
RT0585,S0102,Business Nextgen Finance,identity,P1,subagent,2026-09-14,2026-09-14,"CIN U64990MH2025PTC443949, inc Mar 26 2025, ROC Mumbai; Mumbai addresses; directors; Poddar career history",,completed,1
RT0586,S0103,EtherealX (Ethereal Exploration),events,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series A $20.5M Jan 2026; CIN U35300KA2022PTC161867; incorp May 30 2022; FY25 revenue Rs 1.1Cr (Tracxn MCA-derived),,needs-verification,1
RT0587,S0103,EtherealX (Ethereal Exploration),financials,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series A $20.5M Jan 2026; CIN U35300KA2022PTC161867; incorp May 30 2022; FY25 revenue Rs 1.1Cr (Tracxn MCA-derived),,needs-verification,1
RT0588,S0103,EtherealX (Ethereal Exploration),founders,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series A $20.5M Jan 2026; CIN U35300KA2022PTC161867; incorp May 30 2022; FY25 revenue Rs 1.1Cr (Tracxn MCA-derived),,needs-verification,1
RT0589,S0103,EtherealX (Ethereal Exploration),funding,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series A $20.5M Jan 2026; CIN U35300KA2022PTC161867; incorp May 30 2022; FY25 revenue Rs 1.1Cr (Tracxn MCA-derived),,needs-verification,1
RT0590,S0103,EtherealX (Ethereal Exploration),identity,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series A $20.5M Jan 2026; CIN U35300KA2022PTC161867; incorp May 30 2022; FY25 revenue Rs 1.1Cr (Tracxn MCA-derived),,needs-verification,1
RT0591,S0104,QNu Labs,customers,P3,kilo,2026-09-15,2026-09-15,"Indian Army iDEX order Aug 2022; Navy 28 systems; 500 km Rajasthan network; 1000 km network Apr 2026; deployments across defence, govt, BFSI, telecom",,needs-verification,24
RT0592,S0104,QNu Labs,financials,P3,subagent,2026-09-14,2026-09-14,ACTIVE; Series A1 Rs 200 Cr Sep 9 2026; CIN U72900KA2016PTC096629; incorp Sep 21 2016; FY25 revenue ~$4.79M (Tracxn MCA-derived); founders verified via company ,,needs-verification,1
RT0593,S0104,QNu Labs,founders,P3,subagent,2026-09-14,2026-09-14,ACTIVE; Series A1 Rs 200 Cr Sep 9 2026; CIN U72900KA2016PTC096629; incorp Sep 21 2016; FY25 revenue ~$4.79M (Tracxn MCA-derived); founders verified via company ,,needs-verification,1
RT0594,S0104,QNu Labs,funding,P3,subagent,2026-09-14,2026-09-14,ACTIVE; Series A1 Rs 200 Cr Sep 9 2026; CIN U72900KA2016PTC096629; incorp Sep 21 2016; FY25 revenue ~$4.79M (Tracxn MCA-derived); founders verified via company ,,needs-verification,1
RT0595,S0104,QNu Labs,identity,P3,subagent,2026-09-14,2026-09-15,"US office: enQase, Austin TX; no litigation found; no export scrutiny issues identified",,needs-verification,73
RT0596,S0104,QNu Labs,legal,P3,kilo,2026-09-15,2026-09-15,"US office: enQase, Austin TX; no litigation found; no export scrutiny issues identified",,needs-verification,24
RT0597,S0105,Ultraviolette,financials,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series E $45M Dec 2025 + $21M TDK tranche; FY25 rev Rs 36.1Cr/loss Rs 116.3Cr; Hosur plant; company press page fetch failed (JUNK_CONTENT),,completed,1
RT0598,S0105,Ultraviolette,founders,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series E $45M Dec 2025 + $21M TDK tranche; FY25 rev Rs 36.1Cr/loss Rs 116.3Cr; Hosur plant; company press page fetch failed (JUNK_CONTENT),,completed,1
RT0599,S0105,Ultraviolette,funding,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series E $45M Dec 2025 + $21M TDK tranche; FY25 rev Rs 36.1Cr/loss Rs 116.3Cr; Hosur plant; company press page fetch failed (JUNK_CONTENT),,completed,1
RT0600,S0105,Ultraviolette,identity,P2,subagent,2026-09-14,2026-09-14,ACTIVE; Series E $45M Dec 2025 + $21M TDK tranche; FY25 rev Rs 36.1Cr/loss Rs 116.3Cr; Hosur plant; company press page fetch failed (JUNK_CONTENT),,completed,1
RT0601,S0106,Curefoods,events,P3,subagent,2026-09-14,2026-09-14,"ACTIVE (IPO deferred, not defunct); $40M Series D Dec 2024; Rs 160Cr pre-IPO Sep 2025; FY25 rev Rs 746Cr/loss Rs 170Cr; founder Ankit Nagori",,needs-verification,1
RT0602,S0106,Curefoods,financials,P3,subagent,2026-09-14,2026-09-14,"ACTIVE (IPO deferred, not defunct); $40M Series D Dec 2024; Rs 160Cr pre-IPO Sep 2025; FY25 rev Rs 746Cr/loss Rs 170Cr; founder Ankit Nagori",,needs-verification,1
RT0603,S0106,Curefoods,founders,P3,subagent,2026-09-14,2026-09-14,"ACTIVE (IPO deferred, not defunct); $40M Series D Dec 2024; Rs 160Cr pre-IPO Sep 2025; FY25 rev Rs 746Cr/loss Rs 170Cr; founder Ankit Nagori",,needs-verification,1
RT0604,S0106,Curefoods,funding,P3,subagent,2026-09-14,2026-09-14,"ACTIVE (IPO deferred, not defunct); $40M Series D Dec 2024; Rs 160Cr pre-IPO Sep 2025; FY25 rev Rs 746Cr/loss Rs 170Cr; founder Ankit Nagori",,needs-verification,1
RT0605,S0106,Curefoods,identity,P3,subagent,2026-09-14,2026-09-14,"ACTIVE (IPO deferred, not defunct); $40M Series D Dec 2024; Rs 160Cr pre-IPO Sep 2025; FY25 rev Rs 746Cr/loss Rs 170Cr; founder Ankit Nagori",,needs-verification,1
RT0606,S0107,Dezerv,financials,P1,subagent,2026-09-14,2026-09-14,"ACTIVE; HQ Mumbai (batch city wrong); Rs 350Cr Series C Oct 2025; $32M Series B Jul 2024; founders ex-IIFL verified; AUM Rs 14,000Cr",,needs-verification,1
RT0607,S0107,Dezerv,founders,P1,subagent,2026-09-14,2026-09-14,"ACTIVE; HQ Mumbai (batch city wrong); Rs 350Cr Series C Oct 2025; $32M Series B Jul 2024; founders ex-IIFL verified; AUM Rs 14,000Cr",,needs-verification,1
RT0608,S0107,Dezerv,funding,P1,subagent,2026-09-14,2026-09-14,"ACTIVE; HQ Mumbai (batch city wrong); Rs 350Cr Series C Oct 2025; $32M Series B Jul 2024; founders ex-IIFL verified; AUM Rs 14,000Cr",,needs-verification,1
RT0609,S0107,Dezerv,identity,P1,subagent,2026-09-14,2026-09-14,1 resolved,,needs-verification,2
RT0610,S0107,Dezerv,locations,P1,subagent,2026-09-14,2026-09-14,Mumbai-based per multiple outlets; Bengaluru manifest entry contradicted,,needs-verification,1
RT0611,S0108,Edubuk,events,P3,P3-WAVE,2026-09-15,2026-09-15,No evidence of KVS or CBSE partnerships found in any source. No government MoU evidence located.,,needs-verification,33
RT0612,S0108,Edubuk,financials,P3,P3-WAVE,2026-09-15,2026-09-15,MCA portal (mca.gov.in) returned 403. ZaubaCorp returned 403. Tofler timed out. No audited MCA financials available.,,needs-verification,33
RT0613,S0108,Edubuk,founders,P3,subagent,2026-09-14,2026-09-15,Founders confirmed as Apoorva Bajaj (CEO) and Shivaani Mehrotra Bajaj (Co-Founder & COO) via Ascendants article and Tracxn. CIN U78100UP2025PTC214727 confirmed.,,needs-verification,34
RT0614,S0108,Edubuk,funding,P3,subagent,2026-09-14,2026-09-15,Founders confirmed as Apoorva Bajaj (CEO) and Shivaani Mehrotra Bajaj (Co-Founder & COO) via Ascendants article and Tracxn. CIN U78100UP2025PTC214727 confirmed.,,needs-verification,34
RT0615,S0108,Edubuk,identity,P3,subagent,2026-09-14,2026-09-15,No edtech-specific regulation or legal issues found. Legal array empty.,,needs-verification,103
RT0616,S0108,Edubuk,legal,P3,P3-WAVE,2026-09-15,2026-09-15,No edtech-specific regulation or legal issues found. Legal array empty.,,needs-verification,33
RT0617,S0108,Edubuk,traction,P3,P3-WAVE,2026-09-15,2026-09-15,"No ARR disclosed. Only traction metric found: 100,000+ on-chain verifications (Ascendants article, company claim). Revenue band 0-10 Cr INR as of FY25.",,needs-verification,33
RT0618,S0109,EloElo,financials,P3,P3-WAVE,2026-09-15,2026-09-15,"27M MAUs (pitch deck Jan 2026), 1.5M paying users (Apr 2025), ARR $230M (pitch deck claim), FY25 revenue Rs 69.5 Cr",,needs-verification,90
RT0619,S0109,EloElo,founders,P3,subagent,2026-09-14,2026-09-15,No evidence of Abhi Vattadegowdar as founder. All sources confirm Saurabh Pandey and Akshay Dubey as co-founders.,,needs-verification,46
RT0620,S0109,EloElo,funding,P3,subagent,2026-09-14,2026-09-15,"4 confirmed rounds: Seed $2.1M (Jul 2021), Series A $13M (Jun 2022), Pre-Series B $22M (Sep 2023), Series B $13.5M (Apr 2025). $50M+ upcoming via Avendus unconf",,needs-verification,46
RT0621,S0109,EloElo,identity,P3,subagent,2026-09-14,2026-09-15,No evidence of Sequoia Surge involvement with EloElo. Kalaari Capital confirmed as investor.,,needs-verification,138
RT0622,S0109,EloElo,legal,P3,P3-WAVE,2026-09-15,2026-09-15,"No regulatory actions, legal notices, or compliance issues found for EloElo/Greenhorn Wellness",,needs-verification,45
RT0623,S0109,EloElo,traction,P3,P3-WAVE,2026-09-15,2026-09-15,"27M MAUs (pitch deck Jan 2026), 1.5M paying users (Apr 2025), ARR $230M (pitch deck claim), FY25 revenue Rs 69.5 Cr",,needs-verification,45
RT0624,S0110,GIVA,financials,P3,subagent,2026-09-14,2026-09-15,"FY23: 165 Cr rev, 45 Cr loss; FY24: 273.6 Cr rev, 58.6 Cr loss; FY25: 518 Cr rev, 72 Cr loss",,needs-verification,16
RT0625,S0110,GIVA,founders,P3,web_search + webfetch,2026-09-15,2026-09-15,"Founders are Ishendra Agarwal, Nikita Prasad, Sachin Shetty (ex), Aditya Labroo. No evidence of Ankit/Nishank/WealthMug as founders.",,needs-verification,15
RT0626,S0110,GIVA,funding,P3,subagent,2026-09-14,2026-09-15,No Hero FinCorp connection. $12M = Rs 110 Cr Series C extension led by HPV CC1 Ltd. Hero FinCorp is separate NBFC.,,needs-verification,16
RT0627,S0110,GIVA,identity,P3,subagent,2026-09-14,2026-09-15,"Bengaluru confirmed by all sources: company website, MCA, PitchBook, Tracxn, press",,needs-verification,18
RT0628,S0110,GIVA,legal,P3,webfetch,2026-09-15,2026-09-15,BIS hallmark licence HM/C - 6290031216 displayed on giva.co; confirms compliance,,needs-verification,15
RT0629,S0110,GIVA,traction,P3,web_search,2026-09-15,2026-09-15,280 stores Nov 2025; 300+ by Apr 2026; target 340 by Mar 2026; 800-1000 by 2028,,needs-verification,15
RT0630,S0111,Impetus Technologies,events,P2,subagent,2026-09-14,2026-09-14,ACTIVE; $350M+ Kedaara strategic investment; Los Gatos HQ + India ops; India entity FY25 revenue >1000 Cr (aggregator),,completed,1
RT0631,S0111,Impetus Technologies,founders,P2,subagent,2026-09-14,2026-09-14,ACTIVE; $350M+ Kedaara strategic investment; Los Gatos HQ + India ops; India entity FY25 revenue >1000 Cr (aggregator),,completed,1
RT0632,S0111,Impetus Technologies,identity,P2,subagent,2026-09-14,2026-09-14,ACTIVE; $350M+ Kedaara strategic investment; Los Gatos HQ + India ops; India entity FY25 revenue >1000 Cr (aggregator),,completed,1
RT0633,S0112,Moglix,events,P2,subagent,2026-09-14,2026-09-14,"Five acquisition reports with dates, counterparties and disclosed Khatema/Vanik values",,needs-verification,2
RT0634,S0112,Moglix,financials,P2,subagent,2026-09-14,2026-09-14,"FY25 $681.5M op revenue / $11.3M loss (Singapore filings via Inc42); FY24 Rs 4,232 cr (Inc42); VI FY25 standalone Rs 4,946.6 cr",,needs-verification,1
RT0635,S0112,Moglix,founders,P2,subagent,2026-09-14,2026-09-14,Series E $120M @ $1B May 2021 (TC/Mint/TOI/Forbes); founder Rahul Garg IIT-K/ISB ex-Google; Noida HQ,,needs-verification,2
RT0636,S0112,Moglix,funding,P2,subagent,2026-09-14,2026-09-14,Series E $120M @ $1B May 2021 (TC/Mint/TOI/Forbes); founder Rahul Garg IIT-K/ISB ex-Google; Noida HQ,,needs-verification,3
RT0637,S0112,Moglix,identity,P2,subagent,2026-09-14,2026-09-14,ZaubaCorp carries two Mogli Labs (India) records: U72300DL2015FTC279856 and U72300HR2015FTC143298 (RoC Delhi vs Haryana) — conflict preserved,,needs-verification,4
RT0638,S0112,Moglix,investors,P2,subagent,2026-09-14,2026-09-14,"FY25 $681.5M op revenue / $11.3M loss (Singapore filings via Inc42); FY24 Rs 4,232 cr (Inc42); VI FY25 standalone Rs 4,946.6 cr",,needs-verification,1
RT0639,S0113,MPL (Mobile Premier League),founders,P3,subagent,2026-09-14,2026-09-14,ACTIVE (non-RMG + overseas continue); unicorn $2.3B Sep 2021; RMG ban + 60% layoffs Aug 2025,,completed,1
RT0640,S0113,MPL (Mobile Premier League),funding,P3,subagent,2026-09-14,2026-09-14,ACTIVE (non-RMG + overseas continue); unicorn $2.3B Sep 2021; RMG ban + 60% layoffs Aug 2025,,completed,1
RT0641,S0113,MPL (Mobile Premier League),identity,P3,subagent,2026-09-14,2026-09-14,ACTIVE (non-RMG + overseas continue); unicorn $2.3B Sep 2021; RMG ban + 60% layoffs Aug 2025,,completed,1
RT0642,S0114,PhysicsWallah,events,P2,subagent,2026-09-14,2026-09-14,Publicly listed on NSE/BSE Nov 2025; active operations,,completed,1
RT0643,S0114,PhysicsWallah,financials,P2,subagent,2026-09-14,2026-09-14,"FY26: ₹3,900 Cr; FY25: ₹2,886 Cr from earnings call and ET",,completed,1
RT0644,S0114,PhysicsWallah,founders,P2,subagent,2026-09-14,2026-09-14,Confirmed founders via pw.live/about-us and Wikipedia,,completed,1
RT0645,S0114,PhysicsWallah,funding,P2,subagent,2026-09-14,2026-09-14,"Confirmed via Tracxn, CNBC TV18, TechCrunch",,completed,1
RT0646,S0114,PhysicsWallah,identity,P2,subagent,2026-09-14,2026-09-14,Publicly listed on NSE/BSE Nov 2025; active operations,,completed,1
RT0647,S0115,Popo Global,events,P3,subagent,2026-09-14,2026-09-14,ACTIVE - raised ₹532 Cr from Artal Asia Sep 2026,,completed,1
RT0648,S0115,Popo Global,financials,P3,subagent,2026-09-14,2026-09-14,Not publicly disclosed,,completed,1
RT0649,S0115,Popo Global,founders,P3,subagent,2026-09-14,2026-09-14,"Confirmed via ET, Livemint, Restaurant India",,completed,1
RT0650,S0115,Popo Global,identity,P3,subagent,2026-09-14,2026-09-14,No dedicated careers page found on pop.global; ZohoRecruit link found for restaurant manager but not a general careers page,,completed,4
RT0651,S0116,Shadowfax,events,P2,subagent,2026-09-14,2026-09-14,Publicly listed on NSE/BSE Jan 2026; active operations,,completed,1
RT0652,S0116,Shadowfax,financials,P2,subagent,2026-09-14,2026-09-14,"FY26: ₹4,755 Cr; FY25: ₹2,938 Cr from PitchBook/Tracxn",,completed,1
RT0653,S0116,Shadowfax,founders,P2,subagent,2026-09-14,2026-09-14,"Confirmed via Tracxn, TechCrunch, Livemint",,completed,1
RT0654,S0116,Shadowfax,identity,P2,subagent,2026-09-14,2026-09-14,"CIN: U72300KA2015PLC150324; incorporated Apr 21, 2015 from Tracxn",,completed,2
RT0655,S0117,Smallcase,events,P3,subagent,2026-09-14,2026-09-14,"ACTIVE - Series D funded, privately held",,completed,1
RT0656,S0117,Smallcase,financials,P3,subagent,2026-09-14,2026-09-14,FY24 revenue $7.86M from CB Insights,,completed,1
RT0657,S0117,Smallcase,founders,P3,subagent,2026-09-14,2026-09-14,Confirmed via smallcase.com/about and Tracxn,,completed,1
RT0658,S0117,Smallcase,identity,P3,subagent,2026-09-14,2026-09-14,No registry aggregator data found,,completed,2
RT0659,S0118,StockGro,events,P3,subagent,2026-09-14,2026-09-15,No government skilling MoU or NSDC partnership found in any source. 1500+ educational institution partnerships confirmed but no govt MoU evidence.,,needs-verification,11
RT0660,S0118,StockGro,financials,P3,subagent,2026-09-14,2026-09-15,"FY23 revenue ₹131 Cr, FY24 revenue ₹86.5 Cr (Entrackr) or ₹99.3 Cr (Inc42), FY25 revenue ₹125.5 Cr (Inc42). FY24 loss ₹101 Cr (Entrackr). FY25 PAT ₹34.6 Cr (Inc",,needs-verification,11
RT0661,S0118,StockGro,founders,P3,subagent,2026-09-14,2026-09-15,Ajay Lakhotia described as 'former venture capitalist' with ISB MBA across all sources. No IIT affiliation found. Vijay Lakhotia details not publicly available.,,needs-verification,11
RT0662,S0118,StockGro,funding,P3,hyperresearch,2026-09-15,2026-09-15,Ajay Lakhotia described as 'former venture capitalist' with ISB MBA across all sources. No IIT affiliation found. Vijay Lakhotia details not publicly available.,,needs-verification,10
RT0663,S0118,StockGro,identity,P3,subagent,2026-09-14,2026-09-15,No GVR (GVR Ventures or similar) found in any funding round source. Not present in any investor list.,,needs-verification,22
RT0664,S0118,StockGro,legal,P3,hyperresearch,2026-09-15,2026-09-15,StockGro homepage describes 'SEBI-Registered Stock Advisory & Research App' with 150+ SEBI-registered analysts. No SEBI simulator-specific notice or enforcement,,needs-verification,10
RT0665,S0118,StockGro,products,P3,hyperresearch,2026-09-15,2026-09-15,B2B campus partnerships with 1500+ educational institutions confirmed. Specific IIM-SIM product NOT verified in any source.,,needs-verification,10
RT0666,S0119,Yulu,events,P3,subagent,2026-09-14,2026-09-14,ACTIVE - Series C $93M Aug 2026,,needs-verification,1
RT0667,S0119,Yulu,financials,P3,subagent,2026-09-14,2026-09-14,"Revenue ₹241.9 Cr FY25, loss ₹126 Cr, EBITDA positive since Apr 2025",,needs-verification,1
RT0668,S0119,Yulu,founders,P3,subagent,2026-09-14,2026-09-14,"CIN U77210KA2017PTC105368, incorporated Aug 7 2017, founders: Amit Gupta, RK Misra, Naveen Dachuri, Anuj Tewari, Hemant Gupta",,needs-verification,1
RT0669,S0119,Yulu,funding,P3,subagent,2026-09-14,2026-09-14,"Multiple rounds from seed to Series C; key investors Magna, Bajaj Auto, GEF Capital",,needs-verification,1
RT0670,S0119,Yulu,identity,P3,subagent,2026-09-14,2026-09-14,"CIN U77210KA2017PTC105368, incorporated Aug 7 2017, founders: Amit Gupta, RK Misra, Naveen Dachuri, Anuj Tewari, Hemant Gupta",,needs-verification,2
RT0671,S0119,Yulu,investors,P3,subagent,2026-09-14,2026-09-14,"Multiple rounds from seed to Series C; key investors Magna, Bajaj Auto, GEF Capital",,needs-verification,1
RT0672,S0120,Zenoti,customers,P3,subagent,2026-09-15,2026-09-15,"Zenoti OS with AI agents (Receptionist, Concierge, Lead Manager, Marketer, Scribe, Dispute Manager, Business Advisor); customers include European Wax Center, TO",,needs-verification,7
RT0673,S0120,Zenoti,events,P3,subagent,2026-09-14,2026-09-15,"Zenoti OS with AI agents (Receptionist, Concierge, Lead Manager, Marketer, Scribe, Dispute Manager, Business Advisor); customers include European Wax Center, TO",,needs-verification,8
