event_id,startup_id,event_date,announced_date,type,headline,description,source_id,confidence
EVT00359,S0049,2021-09,,funding,Series F: $570M at $4.9B valuation,"From Fidelity, B Capital, Prosus, SoftBank, Facebook, Footpath Ventures",SRC00894,HIGH
EVT00360,S0049,2025-01-27,,funding,Late private round: $270M at $3.9B valuation,"From Tiger Global, Think Investments, Mars Growth Capital; majority secondary",SRC00890,HIGH
EVT00361,S0049,2025-10,,ipo,IPO filed with SEBI,Draft Red Herring Prospectus filed; price band ₹105-111,SRC00888,HIGH
EVT00362,S0049,2025-12-03,,ipo,$606M IPO launched,"₹42.50B fresh capital + OFS; post-issue valuation ~₹501B (~$5.6B); 75% QIB, 10% retail, 15% NII; anchor Dec 2",SRC00888,HIGH
EVT00363,S0049,2025-12-10,,listing,Listed on NSE/BSE,Opened at ₹162.50 (+46% from issue price ₹111); high ₹171.84; market cap ~₹780B (~$8.69B); $28B bids,SRC00889,HIGH
EVT00364,S0049,2026-07,,acquisition,Acquired Kirana Club,All-cash deal worth ₹202 crore; B2B grocery marketplace,SRC00897,HIGH
EVT00365,S0049,2025-12-02,,regulatory,CCPA penalty ₹10 lakh,For selling unapproved walkie-talkies,SRC00895,HIGH
EVT00366,S0050,2024-11-04,,markdown,Vanguard marks ANI Technologies at ~$2B (Aug 2024 filing),,SRC00909,
EVT00367,S0050,2024-08,,rebrand,Ola Cabs rebranded to Ola Consumer,,SRC00921,
EVT00368,S0051,2024-07-29,,funding,$120M Series E led by WestBridge; unicorn ($1.1B),,SRC00926,
EVT00369,S0051,2026-05-15,,funding,$240M primary (part of $730M primary+secondary) led by Prosus at $3B post-money,,SRC00925,
EVT00370,S0051,2019-01-10,,funding,Series A: $11.2M led by Nexus Venture Partners,First institutional round,SRC00939,HIGH
EVT00371,S0051,2019-08-14,,funding,Series B: $54.6M led by WestBridge Capital,"WestBridge led Series B; Nexus, BAce, Shunwei participated",SRC00939,HIGH
EVT00372,S0051,2021-08-16,,funding,"Series C: $52M with Shell, Yamaha, Kunal Shah",Total funding crossed $130M,SRC00940,HIGH
EVT00373,S0051,2022-04-13,,funding,Series D: $180M led by Swiggy; valuation $830M,"Swiggy led; TVS Motor, Shell, Nexus participated",SRC00957,HIGH
EVT00374,S0051,2022-04-13,,partnership,Swiggy partnership for last-mile delivery,Swiggy invested and partnered with Rapido for food delivery,SRC00957,HIGH
EVT00375,S0051,2024-07-29,,funding,Series E: $120M led by WestBridge; unicorn ($1.1B),Rapido entered unicorn club,SRC00958,HIGH
EVT00376,S0051,2025-09-23,,acquisition,"Swiggy exits 12% stake for Rs 2,399Cr ($270M)",Swiggy sold entire stake to Prosus ($1968Cr) and WestBridge ($431.5Cr); valuation $2.3B,SRC00933,HIGH
EVT00377,S0051,2025-08,,launch,Ownly food delivery pilot launched in Bengaluru,"Pilot in Koramangala, HSR Layout, BTM Layout",SRC00947,HIGH
EVT00378,S0051,2025-02-11,,funding,Prosus $30M secondary investment,Prosus acquired stake at $2.3B valuation,SRC00941,MEDIUM
EVT00379,S0051,2026-05-15,,funding,Series F: $240M primary led by Prosus at $3B valuation,Part of larger $730M primary+secondary round; WestBridge and Accel participated,SRC00925,HIGH
EVT00380,S0051,2026-03-03,,launch,Ownly standalone app launched across Bengaluru,"Zero-commission food delivery app; ~20,000 restaurants",SRC00947,HIGH
EVT00381,S0051,2026-06-08,,partnership,Rahveer road safety campaign with Ministry of Road Transport,4 lakh captains took safety pledge; nationwide campaign,SRC00948,HIGH
EVT00382,S0051,2026-07-28,,launch,Ownly integrated into Rapido main app in Bengaluru,"Food delivery folded into main app alongside bike taxis, autos, cabs",SRC00959,HIGH
EVT00383,S0051,2026-01-23,,regulatory,Karnataka HC allows bike taxis; directs state to grant permits,Division Bench set aside April 2025 ban; directed registration of two-wheelers as transport vehicles,SRC00932,HIGH
EVT00384,S0051,2026-08-14,,regulatory,Karnataka cab aggregator licence granted until 2031,5-year licence for cab services in Karnataka,SRC00935,HIGH
EVT00385,S0051,2026-07-04,,legal,Founders booked in Nagpur for illegal bike taxi operations,Case registered at Sitabuldi police station; founders named in FIR,SRC00943,HIGH
EVT00386,S0052,2026 (planned next 12-18 months),,ipo_plan,ShareChat plans ~$400M IPO,,SRC00963,
EVT00387,S0052,2022-02,,acquisition,ShareChat acquires MX TakaTak,Acquisition of Times Internet's MX TakaTak valued at over $700M,SRC00983,HIGH
EVT00388,S0052,2025-05,,launch,QuickTV micro-drama app launched,Subscription-only micro-drama platform launched; crossed 15Mn downloads in 4 months,SRC00975,HIGH
EVT00389,S0052,2025-02,,financial,ShareChat core business becomes cash flow positive,First time in 10-year history; FY25 adjusted EBITDA loss reduced 72% to Rs 219cr,SRC00975,HIGH
EVT00390,S0052,2026,,ipo_plan,ShareChat plans ~$400M IPO,IPO targeted for next 12-18 months from 2026,SRC00963,MEDIUM
EVT00391,S0052,2024-12,,leadership,Nitin Jain appointed CTO,Former TikTok executive joins as CTO,SRC00973,HIGH
EVT00392,S0053,2019-07-01,,funding,Seed round raised,Apna raised $3M seed round from Greenoaks and Lightspeed,SRC00998,MEDIUM
EVT00393,S0053,2021-03-02,,funding,Series A raised,Apna raised $12.5M Series A led by Greenoaks and Peak XV Partners,SRC00998,HIGH
EVT00394,S0053,2021-06-15,,funding,Series B raised,Apna raised $70M Series B led by Tiger Global and Insight Partners at $570M valuation,SRC00998,HIGH
EVT00395,S0053,2021-09-15,,funding,Series C raised - unicorn status,"Apna raised $100M Series C led by Tiger Global at $1.1B valuation, becoming India's fastest unicorn",SRC00998,HIGH
EVT00396,S0053,2024-02-28,,partnership,AICTE MoU signed,AICTE signed MoU with apna.co for AICTE Career Portal SWAYAM Plus,SRC01009,HIGH
EVT00397,S0053,2025-01-21,,partnership,DPIIT pact signed,DPIIT signed pact with Apna to boost employment in startup ecosystem,SRC00998,HIGH
EVT00398,S0053,2025-02-19,,partnership,Labour Ministry MoU signed,Union Labour Ministry signed MoU with Apna to bring 10+ lakh job opportunities annually to NCS portal,SRC00998,HIGH
EVT00399,S0053,2025-06-12,,product_launch,AI Job Prep launched,Apna.co launched AI Job Prep; clocked 39 lakh minutes across 7.6 lakh AI interviews,SRC00998,MEDIUM
EVT00400,S0053,2025-08-08,,product_launch,AI Calling Agent launched,"Apna.co launched multilingual AI Calling Agent, cutting hiring time by 50%",SRC00998,MEDIUM
EVT00401,S0053,2025-09,,product_launch,Apna Safety system launched,"AI-powered recruiter verification system; 146,000+ recruiters verified, 45% reduction in fraud exposure",SRC01006,MEDIUM
EVT00402,S0053,2025-10-14,,product_launch,BlueMachines.ai launched,Apna.co expanded into enterprise Voice AI with BlueMachines.ai; signed $6M in enterprise contracts within 45 days,SRC01007,HIGH
EVT00403,S0053,2025-10-24,,leadership,Kartik Narayan appointed CEO - Jobs Marketplace,"Former TeamLease Staffing CEO Kartik Narayan joined Apna Group as CEO of Jobs Marketplace vertical, reporting to Nirmit Parikh",SRC01004,HIGH
EVT00404,S0053,2025-11,,leadership,John Philip appointed CBO - BlueMachines.ai,Industry veteran John Philip appointed Chief Business Officer for BlueMachines.ai,SRC01005,MEDIUM
EVT00405,S0053,2025-10-24,,financial,FY25 results reported,Apna narrowed FY25 net loss by 2.3% to INR 50.1 Cr; operating revenue declined 4% to INR 122 Cr,SRC00999,HIGH
EVT00406,S0053,2025-12-31,,financial,Core business grew 52% YoY,Apna's core business grew 52% year-over-year in 2025,SRC01006,MEDIUM
EVT00407,S0053,2025-03-31,,milestone,1.81 Cr job applications in Q1 2025,"Apna facilitated roughly 1.81 Cr job applications in Q1 2025, a 30% YoY jump",SRC00999,HIGH
EVT00408,S0054,2025-05,2025-05,regulatory,RBI payment aggregator licence,Final RBI PA licence received.,SRC01013,HIGH
EVT00409,S0054,2025-09-12,2025-09-12,funding,"IPO prep, pre-IPO round plans","IPO prep; pre-IPO raise Rs 800-1,200 Cr at ~11.5-12x revenue; $80-100M Coatue talks.",SRC01012,HIGH
EVT00410,S0054,2024-09-30,2024-09-30,legal,Settlement with Ashneer Grover,All disputes settled; part of Grover shares to Resilient Growth Trust.,SRC01014,HIGH
EVT00411,S0055,Mar 2026,,funding,Euler Motors raises Rs 437.5cr Series E equity + Rs 250cr debt,,SRC01025,
EVT00412,S0055,2022-10-03,,funding,Series C led by GIC at $200M valuation,"Raised $60M; GIC led; Blume, Athera, QRG, ADB Ventures, Moglix participated",SRC01031,HIGH
EVT00413,S0055,2023-04-10,,launch,Updated HiLoad EV 2023 launched,"Bigger 12.96 kWh battery, 170 km range",SRC01042,MEDIUM
EVT00414,S0055,2024-05-29,,funding,Series C additional Rs 200 crore,Additional funding in Series C round,SRC01034,MEDIUM
EVT00415,S0055,2024-03-24,,funding,"Series C Rs 525 crore from Lightrock, Trifecta, BII",Fresh equity and debt funding,SRC01027,HIGH
EVT00416,S0055,2024-08-14,,manufacturing,Palwal manufacturing facility unveiled,"500,000 sq ft plant, 36,000 vehicles/year capacity, Rs 100 crore investment",SRC01032,HIGH
EVT00417,S0055,2025-05,,funding,Series D Rs 638 crore led by Hero MotoCorp,Hero MotoCorp led; BII participated; Hero invested Rs 525cr initially,SRC01033,HIGH
EVT00418,S0055,2025-08,,launch,NEO by Euler launched (electric auto-rickshaws),"Entry into passenger EV segment at INR 3,09,999",SRC01041,MEDIUM
EVT00419,S0055,2025-09-22,,launch,Turbo EV 1000 launched (1-tonne electric mini truck),India's first 1-tonne EV mini truck; starting INR 5.99 lakh; 4 variants,SRC01040,HIGH
EVT00420,S0055,2026-03-24,,funding,Series E Rs 437.5 crore equity + Rs 250 crore debt,"Led by Lightrock; Hero MotoCorp and Blume Ventures participated; debt from BlackSoil, Trifecta, InnoVen, Alteria",SRC01025,HIGH
EVT00421,S0055,2026-02,,partnership,Hero MotoCorp deepens stake to 34-36%,Hero invested Rs 720 crore cumulative; inaugurated new 4W production line at Palwal,SRC01039,HIGH
EVT00422,S0056,Dec 2025 (per Inc42 profile; details unverified),,funding,Last funding round reported Dec 2025,,SRC01047,
EVT00423,S0057,2025-01-09,2025-01-09,funding,$275M Series F at ~$3.45B,"$275M Series F (35% secondary); $3.45B primary valuation; Kaiser, B Capital, M12, Danaher, Banner, Generation IM.",SRC01052,HIGH
EVT00424,S0057,2025-08-21,2025-08-21,m&a,M&A + secondaries instead of IPO (BI),"$50M employee tender extension of Series F; M&A spree (Cured, PQS, Humbi AI, Story Health); no IPO rush.",SRC01053,MEDIUM
EVT00425,S0058,2022-04-01,2022-04-01,satellite_launch,Shakuntala (TD-2) launches on SpaceX Transporter-4,First hyperspectral demo satellite Shakuntala (TD-2) rideshares on SpaceX Transporter-4 from Cape Canaveral; deorbited May 2024 after mission completion.,SRC01073,HIGH
EVT00426,S0058,2023-03-23,2023-03-23,contract,NRO awards 5-year hyperspectral data contract,5-year hyperspectral data contract (modeling/simulation + data evaluation) under SCE for commercial hyperspectral capabilities.,SRC01071,HIGH
EVT00427,S0058,2024-09-09,2024-09-09,contract,NASA CSDA contract awarded,Supply hyperspectral EO data to NASA and US government/academic partners for Earth science research.,SRC01070,HIGH
EVT00428,S0058,2025-01-14,2025-01-14,satellite_launch,Three Fireflies launched (early 2025 batch),First three 5m-resolution commercial hyperspectral Firefly satellites reach 550 km SSO; three more to follow within months.,SRC01085,MEDIUM
EVT00429,S0058,2025-08-12,2025-08-12,regulatory,IN-SPACe selects Pixxel-led consortium for national EO constellation PPP,"Pixxel-led consortium (Dhruva Space, PierSight, SatSure) selected by IN-SPACe to design/build/own/operate 12-satellite national EO constellation; >Rs 1,200 Cr private investment over 4-5 years.",SRC01061,HIGH
EVT00430,S0058,2025-08-27,2025-08-27,satellite_launch,Firefly satellites launch on SpaceX Falcon-9 (Aug 2025),Additional Firefly hyperspectral satellites plus Dhruva Space LEAP-1 placed in orbit by Falcon-9 from Vandenberg; constellation target 18-24 satellites.,SRC01086,HIGH
EVT00431,S0058,2026-01-21,2026-01-21,regulatory,IN-SPACe PPP agreement signed (Jan 2026),Formal PPP pact signed with IN-SPACe for indigenous EO constellation (first 4 satellites planned); Trilegal advised.,SRC01087,MEDIUM
EVT00432,S0058,2026-09-06,2026-09-06,funding,$100M Series C announced,"$100M co-led by Temasek and Seraphim; new investors 360 ONE, IMM Investment; total raised $195M; fund US production + next-gen sats.",SRC01058,HIGH
EVT00433,S0059,2024-01-12,2024-01-12,funding,FMO Series B investment,INR 900M (~$10.83M) from FMO for product diversification,SRC01092,MEDIUM
EVT00434,S0059,2026-03-16,2026-03-16,funding,INR 380.5cr growth equity,INR 380.5cr equity: BII + Finnfund DAIF new; Eversource + FMO follow-on,SRC01094,HIGH
EVT00435,S0059,2026-05-06,2026-05-06,funding,$15M Mirova debt,$15M debt from Mirova (Natixis affiliate) for onward solar + e-mobility lending,SRC01093,HIGH
EVT00436,S0060,2024-10-28,2024-10-28,funding,$15.8M Series D,$15.8M Series D (IvyCap et al) per Head&Tale/Entrepreneur (Tracxn shows $15.55M same date),SRC01106,MEDIUM
EVT00437,S0060,2025-08-25,2025-08-25,funding,$155M Series D raise (pending),"Board resolution to issue shares for Rs 1,325cr ($155M) from AMDG-PAX Foundation at ~$550M post-money; status pending/unconfirmed close",SRC01104,MEDIUM
EVT00438,S0060,2025-11-07,2025-11-07,funding,$10.5M iHeartMedia round,$10.5M (Rs 93.5cr) from iHeartMedia + audio-content partnership; Costco North America launch,SRC01103,HIGH
EVT00439,S0061,2026-09-07,2026-09-07,funding,"Nua raises $50M Series C led by Peak XV, Filter Capital","$50M Series C led by Peak XV Partners and Filter Capital; mix of primary and secondary with partial exits to Kae Capital, Lightbox VC and angels; funds for brand, distribution, R&D.",SRC01118,HIGH
EVT00440,S0061,2026-09,,partnership,Nua launches on Myntra M-Now quick commerce,Nua launched on Myntra's M-Now quick commerce platform; expects quick commerce to contribute ~30% of revenue.,SRC01135,LOW
EVT00441,S0061,2025-02,,funding,Nua raises Rs 35 Cr pre-Series C led by Mirabilis Investment Trust,"Pre-Series C round of Rs 35 crore led by Mirabilis Investment Trust with participation from Samir Singh, Shuchi Kothari, SRF Ltd.",SRC01124,MEDIUM
EVT00442,S0062,2025-08-11,2025-08-11,funding,Truemeds closes $85M Series C,"$85M Series C closed in two tranches: $44M led by Accel, $40M led by Peak XV (incl. $20M secondary with early Series A exits).",SRC01139,HIGH
EVT00443,S0062,2025-03-07,,funding,Accel leads $44M Series C tranche,Series C1 tranche of $44M led by Accel India; valuation ~$340M post-money (Entrackr estimate),SRC01154,HIGH
EVT00444,S0062,2025-07-16,,funding,Peak XV joins Series C with $20M,"Series C2 tranche of $20M led by Peak XV Partners; 19,737 Series C2 CCPS at Rs 88,331; valuation ~$410M",SRC01141,HIGH
EVT00445,S0062,2025-08-11,,partnership,Bengaluru technology hub planned,Company plans to establish technology hub in Bengaluru to tap India's software talent; dedicate at least 20% of capital to engineering and product development,SRC01138,HIGH
EVT00446,S0062,2025-08-11,,launch,iOS app launched,Truemeds recently launched its iOS app (per Moneycontrol),SRC01150,MEDIUM
EVT00447,S0062,2026-08-31,,acquisition,Truemeds in advanced talks to acquire DealShare,Share-swap deal valuing DealShare at ~$90M (its cash balance); Truemeds issuing shares at ~$600M valuation; WestBridge Capital investor in both companies; deal not yet confirmed,SRC01151,MEDIUM
EVT00448,S0062,2025-08-11,,launch,Diagnostics pilot planned,Plans to pilot affordable diagnostics in four tier-2 cities through partnerships with national pathology labs within 2-4 quarters,SRC01138,MEDIUM
EVT00449,S0062,2022-04-26,,funding,Series B $22M led by WestBridge Capital,Series B round of $22M led by WestBridge Capital with participation from existing investors,SRC01147,HIGH
EVT00450,S0062,2021-06-08,,funding,Series A $5M,"Series A of $5M led by InfoEdge Ventures, Asha Impact, and Indian Angel Network Fund",SRC01156,HIGH
EVT00451,S0062,2020-05-16,,funding,Seed round Rs 3.7Cr from InfoEdge,"IE Venture Fund I invested Rs 3.7Cr ($487K) for 17.80% stake via 24,980 seed CCP shares",SRC01155,HIGH
EVT00452,S0063,2025-08-19,2025-08-19,funding,"Weaver raises $170M led by Lightspeed, Premji Invest","$170M (Rs 1,481.5 Cr) led by Lightspeed and Premji Invest, Gaja Capital participating; subject to regulatory approvals; for acquisitions, tech, tier-2/3 expansion.",SRC01163,HIGH
EVT00453,S0063,2025-08-12,2025-08-12,acquisition,Weaver completes Capital India Home Loans acquisition,100% acquisition of CIHL for Rs 267 Cr closed with regulatory approvals.,SRC01164,HIGH
EVT00454,S0063,2026-03-18,2026-03-18,acquisition,Weaver closes Centrum Housing Finance deal,"Acquired 75% of Centrum Housing Finance; Rs 1,450 Cr two-tranche raise (Rs 950 Cr second tranche co-led Premji + Lightspeed); combined AUM >Rs 2,000 Cr.",SRC01165,HIGH
EVT00455,S0063,2025-08-19,,funding,"Weaver Services raises $170M from Lightspeed, Premji Invest, Gaja Capital","$170M (Rs 1,481.5 Cr) growth equity round led by Lightspeed and Premji Invest, Gaja Capital participating; for acquisitions, tech, tier-2/3 expansion.",SRC01163,HIGH
EVT00456,S0063,2025-08-12,,acquisition,Weaver completes acquisition of Capital India Home Loans (100%),Rs 267 Cr acquisition of CIHL closed with regulatory approvals.,SRC01164,HIGH
EVT00457,S0063,2026-03-18,,funding,"Weaver Services raises Rs 1,450 Cr led by Premji Invest and Lightspeed","Two-tranche raise of Rs 1,450 Cr; Rs 950 Cr second tranche co-led Premji + Lightspeed; funded 75% Centrum HFL stake.",SRC01165,HIGH
EVT00458,S0063,2026-03-18,,acquisition,Weaver closes Centrum Housing Finance deal (75% stake),"Acquired 75% of Centrum Housing Finance; combined AUM >Rs 2,000 Cr, 100+ branches.",SRC01165,HIGH
EVT00459,S0063,2025-09-22,,partnership,Weaver Services bets on acquisitions to scale affordable housing finance,ET interview with founder Satrajit Bhattacharya on acquisition-led strategy.,SRC01175,HIGH
EVT00460,S0064,2021-11-23,,funding,Series E $210M at $1B valuation - India's first proptech unicorn,"Raised $210M led by General Atlantic, Tiger Global, Moore Strategic Ventures. Valuation reached $1.01B making NoBroker India's first proptech unicorn. Company disclosed 75 lakh properties registered and 1.6 crore individuals using NoBroker ",SRC01198,HIGH
EVT00461,S0064,2023-03-01,,funding,Series E extension $5M from Google,Google joined as new investor in extended Series E round. Additional Rs 40 crore ($5M) raised.,SRC01185,HIGH
EVT00462,S0064,2026-09-06,,financial_milestone,"FY26 revenue crosses Rs 1,000 crore","NoBroker's FY26 revenue surpassed Rs 1,000 crore. Revenue grew from Rs 888Cr (FY24) to Rs 965Cr (FY25) to >Rs 1000Cr (FY26). Losses reduced 25-30% to ~Rs 300Cr. Targeting profitability in 8-10 months.",SRC01188,HIGH
EVT00463,S0065,2026-05-07,2026-05-07,funding,$60M round at $1.1B; first spacetech unicorn,~$60M ($50M equity + ~$10M BlackRock debt) at $1.1B pre-money; co-led Sherpalo + GIC; Ram Shriram joins board; India's first spacetech unicorn.,SRC01200,HIGH
EVT00464,S0065,2026-06,2026-04,product,Vikram-1 orbital launch campaign,Vikram-1 flagged off to Sriharikota; maiden orbital launch targeted June 2026.,SRC01200,HIGH
EVT00465,S0065,2022-11,2022-11,product,Vikram-S launch (background),Vikram-S suborbital success; first Indian private rocket to space.,SRC01202,HIGH
EVT00466,S0066,Dec 2025 / Jan 2026,,funding,$50M Series B (Reliance-led per RoC) at ~$200M valuation,,SRC01210,
EVT00467,S0066,2025-12-16,,funding,$50M Series B led by Reliance Industries at ~$200M valuation,"All-equity Series B round; new investors 360 ONE Asset, SBI Investment Japan, Ronnie Screwvala; existing Peak XV, Kalaari participated; total raised $64.5M",SRC01209,HIGH
EVT00468,S0066,2025-01-14,,launch,SCOT satellite launched on SpaceX Transporter-12,India's first homegrown space surveillance mission; sun-synchronous orbit; space-to-space observation capability demonstrated,SRC01226,HIGH
EVT00469,S0066,2026-02-03,,partnership,DSTA Singapore partnership for SSA,Announced at Space Summit 2026; co-develop tools for Space Situational Awareness supporting Singapore's National Space Agency,SRC01221,HIGH
EVT00470,S0066,2026-08-15,,launch,MOSAIC AI-powered sensor network deployed,AI-powered Wide Area Sensing Architecture with 5 sensor nodes; deployed after Operation Sindoor; reduces reliance on foreign space surveillance data,SRC01218,HIGH
EVT00471,S0066,2021-07-01,,funding,Seed funding $2.5M from Kalaari Capital,Seed round to develop space debris monitoring systems,SRC01216,HIGH
EVT00472,S0066,2023-06-20,,funding,Series A1 $10M led by Peak XV Partners,Peak XV's first-ever space investment; Kalaari Capital participated,SRC01216,HIGH
EVT00473,S0066,2024-02-28,,funding,Series A1 extension $2M from Aditya Birla Ventures & SIDBI,Final close of Series A1 at $12M total,SRC01223,HIGH
EVT00474,S0066,2024-05-01,,partnership,Indo-Australian joint mission for space debris,Selected for joint India-Australia space mission to manage debris in space,SRC01227,MEDIUM
EVT00475,S0067,2022-03-30,2022-03-30,funding,"Games24x7 raises $75M at $2.5B, turns unicorn","$75M led by Malabar Investment; Tiger Global, Raine Group participated; $2.5B valuation; 14th unicorn of 2022 / 99th Indian unicorn per Inc42.",SRC01229,HIGH
EVT00476,S0067,2025-05,2025-05,layoff,Games24x7 lays off ~180 (May 2025),~180 jobs cut; over-hiring during SC GST deliberations cited.,SRC01232,MEDIUM
EVT00477,S0067,2025-09-01,2025-09-01,regulatory,Online Gaming Act 2025 bans RMG,"Promotion and Regulation of Online Gaming Act, 2025 bans real-money games (entry-fee/wager incl. rummy, fantasy); jail up to 3 yrs, fines to Rs 1 Cr; RMG firms suspend offerings.",SRC01243,HIGH
EVT00478,S0067,2025-09-01,2025-09-01,layoff,Games24x7 RMG-ban layoffs (Sept 2025),Second 2025 round; 400-500 impacted; pivot to free-to-play retained cohort.,SRC01231,HIGH
EVT00479,S0067,2022-03-30,,funding,"Games24x7 raises $75M at $2.5B, becomes India's 99th unicorn",Series C led by Malabar Investment; Tiger Global and Raine Group participated. Valued at $2.5B.,SRC01237,HIGH
EVT00480,S0067,2022-10-01,,launch,Games24x7 Ventures launched,Corporate investment arm launched to invest in early-stage startups.,SRC01236,HIGH
EVT00481,S0067,2024-03-01,,partnership,My11Circle wins IPL associate partner rights (2024-2029),My11Circle outbid Dream11 for IPL associate partner rights for 5 years at ₹625 crore.,SRC01238,MEDIUM
EVT00482,S0067,2024-04-01,,acquisition,UTP IP sold to Nazara Technologies,U Games sold intellectual property rights of Ultimate Teen Patti to Nextwave Multimedia (Nazara Technologies subsidiary) for ₹10 crore.,SRC01238,HIGH
EVT00483,S0067,2024-08-13,,investment,Games24x7 invests in CricHeroes (Series B),Games24x7 Ventures invested in CricHeroes cricket scoring platform Series B round.,SRC01251,HIGH
EVT00484,S0067,2025-05-01,,layoff,Games24x7 lays off ~180 employees,May 2025 layoffs citing over-hiring during Supreme Court GST deliberations.,SRC01232,HIGH
EVT00485,S0067,2025-09-01,,regulatory,Online Gaming Act 2025 bans RMG; Games24x7 suspends offerings,"Promotion and Regulation of Online Gaming Act, 2025 bans real-money games. Games24x7 suspended RMG offerings; 400-500 layoffs (70% of workforce).",SRC01243,HIGH
EVT00486,S0067,2025-09-10,,layoff,Games24x7 RMG-ban layoffs (Sept 2025),Second round of layoffs; 400-500 employees impacted (~70%); pivot to free-to-play retained cohort.,SRC01231,HIGH
EVT00487,S0068,2025-01,2025-01,funding,Series F raise,"$121-120Mn Series F from Tiger Global, Evolvence, Foundamental, Kamath, Capri Global",SRC01266,MEDIUM
EVT00488,S0068,2025-09-18,2025-09-18,funding,Series G Rs 731.5 Cr,"Rs 731.5 Cr Series G led by promoter entity Silverline Homes; NK Squared Rs 200 Cr, Tiger Rs 176 Cr; flat $2.8Bn valuation",SRC01255,HIGH
EVT00489,S0068,2025-10,2025-10,ipo_filing,"Confidential DRHP filing for Rs 5,000 Cr IPO","~Rs 5,000 Cr IPO, half fresh issue half OFS, confidential route",SRC01258,MEDIUM
EVT00490,S0068,2016-07-15,,founding,Infra.Market founded,Founded by Aaditya Sharda and Souvik Sengupta,SRC01262,HIGH
EVT00491,S0068,2021-02,,funding,Series B: $100M led by Tiger Global at $1Bn valuation,"February 2021; $100M round at $1Bn valuation; investors include Accel, Nexus, Evolvence, Sistema Asia Fund",SRC01259,HIGH
EVT00492,S0068,2021-09-20,,acquisition,Acquired RDC Concrete from True North for Rs 730 Cr,"100% stake; RDC is largest non-cement RMC company in India; 52 plants; expected Rs 1,000+ Cr revenue FY22",SRC01259,HIGH
EVT00493,S0068,2021-05,,acquisition,Acquired majority stake in Equiphunt for $10M,Hyderabad-based construction equipment rental service,SRC01259,HIGH
EVT00494,S0068,2022,,acquisition,Acquired majority stake in Shalimar Paints,Paints brand portfolio acquisition; later became listed subsidiary for reverse-listing route,SRC01260,HIGH
EVT00495,S0068,2022,,acquisition,Acquired 57% stake in Emcer Tiles,Tiles portfolio expansion,SRC01258,MEDIUM
EVT00496,S0068,2023,,acquisition,Acquired majority stake in Metro Group (ceramic tiles),"Rs 200 Cr share swap deal; 19 units, 3 tile brands",SRC01261,HIGH
EVT00497,S0068,2024,,funding,$50M debt from Mars Growth Capital,Debt funding from Mars Growth Capital (Liquidity Group + MUFG Bank JV),SRC01261,MEDIUM
EVT00498,S0068,2025-01,,funding,"$121M Series F from Tiger Global, Evolvence, Foundamental, Nikhil Kamath",Pre-IPO equity round,SRC01266,MEDIUM
EVT00499,S0068,2025,,funding,$150M debt from Mars Growth Capital,Additional debt funding before Series G,SRC01255,HIGH
EVT00500,S0068,2025-09-18,,funding,Series G: Rs 731.5 Cr at flat $2.8Bn valuation,"Led by Silverline Homes (promoters); NK Squared Rs 200 Cr, Tiger Rs 176 Cr, Accel Rs 44 Cr, Evolvence Rs 44 Cr, Nexus Rs 17.6 Cr",SRC01255,HIGH
EVT00501,S0068,2025-10,,ipo_filing,"Confidential DRHP filed for Rs 5,000 Cr IPO","SEBI confidential route; equal split fresh issue and OFS; bankers: Kotak Mahindra, IIFL, Goldman Sachs, Jefferies, ICICI, HSBC, Motilal Oswal, Nuvama",SRC01256,HIGH
EVT00502,S0068,2026,,ipo_filing,Standalone IPO withdrawn; pursuing Shalimar Paints reverse listing,Inc42 reports Infra.Market will withdraw confidential IPO papers; using Shalimar Paints as route to public markets,SRC01260,HIGH
EVT00503,S0068,2026-01,,regulatory,"SEBI approved ~Rs 5,000 Cr IPO for Shalimar Paints",SEBI approval for Shalimar Paints IPO (reverse listing vehicle),SRC01273,MEDIUM
EVT00504,S0068,2025-03,,regulatory,India Ratings downgrade to IND BB+/Negative,"Downgrade due to high debt refinancing dependence, liquidity pressures, negative FY25 operating cash flow",SRC01261,HIGH
EVT00505,S0069,2025-02-10,,acquisition,NXP agrees to acquire Kinara for $307M,NXP agrees to acquire Kinara for $307M all-cash; expected close H1 2025.,SRC01276,
EVT00506,S0070,2026-08-13,,IPO plan,"Navi eyes Rs 3,000 cr IPO at ~$2B valuation",,SRC01306,
EVT00507,S0070,2025-01-22,,fraud incident,"Rs 14.26 cr payment-gateway fraud (Dec 2024), Whitefield cyber police probe",,SRC01305,
EVT00508,S0070,2026-08-19,,funding,Navi raises $100M from Prosus at $1.3B valuation,First institutional equity funding after 8 years of founder self-funding. Investment subject to customary closing conditions and regulatory approvals. Comes ahead of planned IPO.,SRC01286,HIGH
EVT00509,S0070,2026-08-13,,ipo,"Navi eyes Rs 3,000 cr IPO at ~$2B valuation","Navi reportedly planning to file DRHP for IPO as early as December 2026, with proposed issue of ~₹3,000 cr ($314M). Fresh issue, no OFS. Bankers: JM Financial, Kotak Mahindra, Goldman Sachs, JPMorgan. Previously filed 2022 for ₹3,350 cr, ap",SRC01289,MEDIUM
EVT00510,S0070,2024-10-18,,regulatory,RBI bars Navi Finserv from lending,"RBI issued Directions under Section 45L(1)(b) to cease loan sanction/disbursement effective Oct 21, 2024 due to excessive WALR and interest spread violations. Restrictions lifted Dec 2024.",SRC01288,HIGH
