metric_id,startup_id,metric,value,unit,period,as_of,company_reported,source_id,confidence,notes
MET00212,S0042,platform reach (company claim),30k+ brands; 2B+ users; 150+ countries; Glance 370M+ users,,current,2025,True,SRC00772,MEDIUM,
MET00213,S0042,platform reach (company claim),30000,brands,current,2026-09-15,True,SRC00770,MEDIUM,InMobi Advertising serves 30k+ brands
MET00214,S0042,platform reach (company claim),2000000000,users,current,2026-09-15,True,SRC00770,MEDIUM,2B+ users reach claimed
MET00215,S0042,platform reach (company claim),150,countries,current,2026-09-15,True,SRC00770,MEDIUM,150+ countries
MET00216,S0042,Glance smartphone installs,450000000,smartphones,2024,2024-07-17,True,SRC00760,MEDIUM,450M+ installs; ~300M active
MET00217,S0042,Glance revenue growth,90,percent YoY,FY24,2025-01-22,True,SRC00753,MEDIUM,$73.1M FY24 from $38.7M FY23
MET00218,S0042,North America revenue share,75,percent,FY25 target,2025-01-22,False,SRC00753,MEDIUM,70-80% of total revenue
MET00219,S0042,InMobi Advertising exchange rank,2,rank,2022,2022,True,SRC00766,MEDIUM,InMobi Exchange = 2nd largest in-app exchange; 39% YoY growth in 2022
MET00220,S0043,consolidated GMV,"Rs 5,590cr (+34% YoY)",,quarterly,Q1 FY27,True,SRC00779,HIGH,
MET00221,S0043,cumulative customers; stores,40M customers; 221 stores,,cumulative,Q3 FY25,True,SRC00783,MEDIUM,
MET00222,S0044,cloud kitchens,"450 kitchens across 75 cities (India, MENA, UK)",,2024-12,2024-12,,SRC00786,HIGH,
MET00223,S0044,cloud_kitchens,450,kitchens,As-of-2024-12,2024-12-12,True,SRC00786,HIGH,"450 dark kitchens across 75 cities in India, MENA, UK"
MET00224,S0044,cities,75,cities,As-of-2024-12,2024-12-12,True,SRC00786,HIGH,"India, UAE, UK"
MET00225,S0044,kitchens_target_2029,800,kitchens,By-2029,2024-12-12,True,SRC00786,HIGH,CFO Piyush Kakkad stated target
MET00226,S0044,cities_target_2029,200,cities,By-2029,2024-12-12,True,SRC00786,HIGH,CFO Piyush Kakkad stated target
MET00227,S0044,wendy_stores,160,stores,As-of-2024-12,2024-12-12,True,SRC00786,HIGH,Wendy's India master franchise
MET00228,S0044,revenue_growth_yoy,14,percent,FY25,2025-12-05,False,SRC00788,HIGH,Revenue grew 14% YoY in FY25
MET00229,S0044,revenue_growth_yoy,21,percent,FY26,2026-09-15,False,SRC00792,MEDIUM,From Inc42 headline; full article behind paywall
MET00230,S0044,orders_per_day,,,,,False,,LOW,Not found in sources
MET00231,S0045,market_share,38,percent,FY23,2023-06-20,True,SRC00797,MEDIUM,38% market share in Indian pet food market
MET00232,S0045,retail_outlets,34000,count,FY23,2023-06-20,True,SRC00797,MEDIUM,"34,000+ points of sale across India"
MET00233,S0045,countries_exported,22,count,FY23,2023-06-20,True,SRC00797,MEDIUM,"Exports to 22 countries including Australia, Israel, UAE"
MET00234,S0045,unicorn_valuation,1000000000,USD,FY25,2025-05-26,True,SRC00803,MEDIUM,Company-claimed unicorn status after Nestle investment; $1B post-money
MET00235,S0046,NRR / NPS,"NRR 114%, NPS 77 (Q3 FY26)",,2026-03,2026-03,,SRC00827,MEDIUM,
MET00236,S0047,kirana_stores_served,500000,stores,As-of-2025-06-30,2025-06-30,True,SRC00835,HIGH,"500,000+ kiranas and MSMEs across 400+ cities"
MET00237,S0047,cities_served,400,cities,As-of-2025-06-30,2025-06-30,True,SRC00835,HIGH,400+ cities and towns
MET00238,S0047,brands_partnered,2000,brands,As-of-2025-06-30,2025-06-30,True,SRC00835,HIGH,"2,000+ brands growing with Jumbotail"
MET00239,S0047,kirana_stores_served,250000,stores,FY23,2024-05,True,SRC00843,HIGH,"250,000+ kirana stores across 50+ cities"
MET00240,S0047,kirana_stores_served,250000,stores,As-of-2026-03,2026-03-03,True,SRC00836,HIGH,"250,000+ Kirana stores in India"
MET00241,S0047,gmv,1100,crore,FY22,2023-05,True,SRC00844,HIGH,"GMV past Rs 1,100 crore in FY22"
MET00242,S0047,j24_stores_peak,100,stores,Peak,2024-07,False,SRC00838,MEDIUM,J24 stores scaled down from peak of 100 to ~17 as of mid-2024
MET00243,S0047,cities_operating,21,cities,As-of-2024-07,2024-07,False,SRC00838,MEDIUM,Scaled down to 21 cities per Morning Context report July 2024
MET00244,S0048,experience_centres,123,count,As-of-2026,2026-07-24,True,SRC00883,MEDIUM,123 centres across 95+ cities; plans to expand to 200+ stores in 100+ cities
MET00245,S0048,cities_operational,95,count,As-of-2026,2026-07-24,True,SRC00883,MEDIUM,Operational in 95+ cities across India
MET00246,S0048,homes_delivered,50000,count,As-of-2026,2026-07-24,True,SRC00885,MEDIUM,"50,000+ homes delivered; earlier claims of 100,000+ rooms (2022) and 1.2Lakh rooms designed"
MET00247,S0048,designers,3500,count,As-of-2026,2026-07-24,True,SRC00885,MEDIUM,
MET00248,S0048,countries_operational,4,count,As-of-2026,2026-07-24,True,SRC00885,MEDIUM,"India, Singapore, Malaysia, Middle East"
MET00249,S0048,gmv_runrate,350,million,FY22 Q1 (Apr 2022),2022-02-08,True,SRC00886,MEDIUM,CEO claimed GMV runrate $350-400M from April 2022; expected to double in 12 months
MET00250,S0048,cities_FY23,45,count,FY23 (as of Mar 2023),2023-09-15,True,SRC00865,HIGH,Expanded from 6-7 cities by end of March 2021 to 45-50 cities by end of FY23
MET00251,S0048,stores_FY25,150,count,FY25 (as of Oct 2025),2025-10-13,True,SRC00866,HIGH,Plans to expand retail network from 150+ stores in 90 cities to 200+ in 100+ cities
MET00252,S0049,transacting_users,234.2,million,LTM as of Nov 2025,2025-11-28,True,SRC00888,HIGH,
MET00253,S0049,annual_transacting_sellers,706471,count,LTM as of Nov 2025,2025-11-28,True,SRC00888,HIGH,
MET00254,S0049,active_content_creators,50000,count,LTM as of Nov 2025,2025-11-28,True,SRC00888,HIGH,
MET00255,S0049,annual_transacting_users,187,million,"As of Dec 31, 2024",2024-12-31,True,SRC00890,HIGH,
MET00256,S0049,annual_transacting_sellers,1040000,count,Q1 FY27 (Jun 2026),2026-06-30,True,SRC00897,HIGH,
MET00257,S0049,orders,725,million,Q1 FY27 (Jun 2026),2026-06-30,True,SRC00897,HIGH,
MET00258,S0049,active_sellers,575000,count,Pre-IPO,2025-10-28,True,SRC00898,HIGH,
MET00259,S0049,pin_codes_served,26000,count,As of Apr 2023,2023-04-12,True,SRC00901,HIGH,
MET00260,S0049,entrepreneurs_registered,13000000,count,As of Apr 2023,2023-04-12,True,SRC00901,HIGH,
MET00261,S0049,average_order_value,260,INR,Pre-IPO,2025-10-28,True,SRC00898,MEDIUM,
MET00262,S0051,daily rides,3300000,rides,Mar 2025,2025-03-09,True,SRC00928,HIGH,"33 lakh rides/day; 15 lakh bike, 13 lakh auto, 5 lakh cab"
MET00263,S0051,daily rides,6500000,rides,Mar 2026,2026-07-08,True,SRC00930,HIGH,"6.5M rides/day vs Uber 3.7M, Ola 1.5M"
MET00264,S0051,daily rides,7000000,rides,Jun 2026,2026-06-18,True,SRC00936,MEDIUM,More than 7 million rides daily per ET sources
MET00265,S0051,monthly active users,36000000,users,Jan-Mar 2026,2026-07-08,False,SRC00930,HIGH,Sensor Tower data; MTUs ~36M
MET00266,S0051,active captains (monthly),3000000,drivers,Apr 2026,2026-04-02,True,SRC00960,HIGH,30 lakh active captains; targeting 50 lakh by FY27
MET00267,S0051,cities,500,cities,2026,2026-09-15,True,SRC00946,HIGH,
MET00268,S0051,cab drivers onboarded,500000,drivers,Jun 2026,2026-06-08,True,SRC00961,HIGH,25% of India's 2M cab drivers; 35-40% market share
MET00269,S0051,bike taxi market share,72,percent,Jun 2026,2026-06-18,False,SRC00936,MEDIUM,Per ET sources
MET00270,S0051,total rides completed,100000000,rides,cumulative,2026-09-15,True,SRC00946,MEDIUM,
MET00271,S0051,monthly active users,82000000,users,Mar-May 2026,2026-07-08,False,SRC00930,HIGH,"Sensor Tower; 82M MAU avg, +67% YoY; ahead of Uber (39M), Ola (27M)"
MET00272,S0051,auto market share,51,percent,Jun 2026,2026-06-18,False,SRC00936,MEDIUM,Per ET sources
MET00273,S0051,cab market share,31,percent,Jun 2026,2026-06-18,False,SRC00936,MEDIUM,Per ET sources
MET00274,S0051,registered customers,75000000,users,2026,2026-09-15,True,SRC00962,MEDIUM,
MET00275,S0052,MAU_all_platforms,325,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,Company self-reported; includes ShareChat + Moj + QuickTV
MET00276,S0052,MAU_all_platforms,325,million,FY23,2023-12-31,True,SRC00974,HIGH,ShareChat app 180 MAU + Moj 160 MAU
MET00277,S0052,MAU_all_platforms,200,million,FY25,2025-10-17,True,SRC00975,HIGH,Monetizable users across platforms
MET00278,S0052,monthly_active_users_historical,140,million,FY20,2020-08,True,SRC00976,HIGH,
MET00279,S0052,monthly_active_users_historical,160,million,FY20,2020-11,True,SRC00994,HIGH,
MET00280,S0052,employee_count,2800,count,FY22,2022-01-01,False,SRC00973,MEDIUM,"CEO stated 'around 2,800 a few years ago'; now north of 500"
MET00281,S0052,employee_count,500,count,FY25,2025-05-07,True,SRC00973,HIGH,CEO stated 'north of 500 employees'
MET00282,S0052,MAU_sharechat_app,110,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,ShareChat app standalone MAU
MET00283,S0052,MAU_moj,100,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,Moj standalone MAU
MET00284,S0052,daily_video_plays,1100,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,
MET00285,S0052,daily_video_plays_moj,1300,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,
MET00286,S0052,creator_community_sharechat,1500,thousand,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,
MET00287,S0052,creator_community_moj,550,thousand,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,
MET00288,S0052,quicktv_downloads,50,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,QuickTV micro-drama app downloads
MET00289,S0052,quicktv_subscribers,73,million,As-of-2026-08,2026-08-12,True,SRC00974,HIGH,
MET00290,S0052,quicktv_downloads,15,million,As-of-2025-09,2025-10-17,True,SRC00975,HIGH,Crossed 15Mn downloads within 4 months of May 2025 launch
MET00291,S0052,micro_drama_monthly_users,35,million,FY25,2025-10-17,True,SRC00975,HIGH,Users consuming micro-dramas monthly on ShareChat + Moj
MET00292,S0052,content_shared_per_month,165,million,As-of-2026-08,2026-08-12,True,SRC00995,HIGH,
MET00293,S0052,video_views_per_month,280,billion,As-of-2026-08,2026-08-12,True,SRC00995,HIGH,
MET00294,S0052,average_daily_time_spent,34,minutes,As-of-2026-08,2026-08-12,True,SRC00995,HIGH,
MET00295,S0052,languages_supported,15,count,As-of-2026-08,2026-08-12,True,SRC00056,HIGH,"Hindi, Tamil, Telugu, Marathi, Bengali, Gujarati, Kannada, Punjabi, Malayalam, Odia, Assamese, Bhojpuri and more"
MET00296,S0053,registered_job_seekers,50000000,count,As-of-2026-09-15,2026-09-15,True,SRC01008,HIGH,Apna.co homepage states 5 crore+ job seekers
MET00297,S0053,registered_employers_msmes,700000,count,As-of-2026-09-15,2026-09-15,True,SRC01008,HIGH,Apna.co homepage states 7 lakh+ MSMEs and 1000+ enterprises
MET00298,S0053,career_opportunities_listed,5000000,count,As-of-2026-09-15,2026-09-15,True,SRC01008,HIGH,Apna.co homepage states 50 lakh+ career opportunities
MET00299,S0053,job_applications,18100000,count,Q1-2025,2025-03-31,True,SRC00999,HIGH,30% YoY jump in Q1 2025
MET00300,S0053,app_downloads,50000000,count,As-of-2026-09-15,2026-09-15,True,SRC01008,HIGH,5cr+ downloads per Apna.co homepage
MET00301,S0053,employee_count,745,count,As-of-2025-08-31,2025-08-31,False,SRC00998,MEDIUM,Tracxn employee count
MET00302,S0053,enterprise_ai_contracts,6000000,USD,45-days-from-Oct-2025,2025-11-28,True,SRC01006,MEDIUM,BlueMachines.ai signed $6M in enterprise contracts within 45 days
MET00303,S0053,core_business_growth,52,percent,2025,2025-12-31,True,SRC01006,MEDIUM,52% YoY growth in core business in 2025
MET00304,S0053,recruiters_verified_ai,146000,count,Aug-Sep 2025,2025-09-30,True,SRC01006,MEDIUM,Apna Safety AI verification; 45% reduction in fraud exposure
MET00305,S0053,ai_interviews_completed,3900000,minutes,As-of-Jun-2025,2025-06-12,True,SRC00998,MEDIUM,39 lakh minutes across 7.6 lakh AI interviews
MET00306,S0054,revenue mix,Lending 57% of revenue; FY25 revenue ~1500-1667 Cr,,2025,2025,False,SRC01012,MEDIUM,
MET00307,S0055,vehicles_sold,3050,vehicles,FY25,2025-03-31,True,SRC01025,HIGH,Largely driven by three-wheelers; capacity utilisation ~50% single shift
MET00308,S0055,vehicles_sold,6528,vehicles,FY26,2026-03-31,False,SRC01039,HIGH,Vahan portal data; 87% YoY growth
MET00309,S0055,vehicles_sold,5318,vehicles,H1-FY27 (Apr-Jul 2026),2026-07-31,False,SRC01039,HIGH,First four months of FY27 per Vahan portal
MET00310,S0055,market_share_3w_cargo,10,percent,FY26,2026-03-31,True,SRC01025,MEDIUM,Pan-India 3W cargo segment share; 20-22% in operating cities
MET00311,S0055,market_share_4w_cargo,20,percent,FY26,2026-03-31,True,SRC01025,MEDIUM,4W cargo EV segment share per Saurav Kumar
MET00312,S0055,cities_operating,112,cities,FY26,2026-08-31,True,SRC01039,HIGH,Expanded from 30-35 cities after Hero entry
MET00313,S0055,production_capacity,36000,vehicles/year,As-of 2024,2024-08-14,True,SRC01032,HIGH,"Palwal facility 3W capacity; 500,000 sq ft"
MET00314,S0055,monthly_production,1000,vehicles/month,FY26,2026-03-31,True,SRC01025,MEDIUM,"Plans to double to 2,000/month with third unit"
MET00315,S0055,backorder,9000,vehicles,As-of Oct 2022,2022-10-03,True,SRC01031,MEDIUM,Back-order at time of Series C
MET00316,S0055,showrooms,100,showrooms,FY26,2025-09-30,True,SRC01040,MEDIUM,Operates in 60 cities with 100+ showrooms
MET00317,S0057,growth,40%+ revenue growth; cash-in > burn; ~1700 employees (GetLatka),,2025,2025,True,SRC01053,MEDIUM,
MET00318,S0058,customer base growth,5x YoY (company-reported via SpaceNews),,2023-2024,2024-06,True,SRC01059,MEDIUM,
MET00319,S0058,constellation deployed,6+ Firefly hyperspectral satellites in orbit,,2025-2026,2026-09,True,SRC01086,MEDIUM,
MET00320,S0059,customers / footprint,"130,000+ customers; 26 states, 500+ cities",,2026-03,2026-03,,SRC01101,HIGH,
MET00321,S0060,units / interactions,700K+ units sold; 500M+ interactions (company-reported),,2025,2025,,SRC01116,MEDIUM,
MET00322,S0060,geo reach,140+ countries (company-reported),,2025-11,2025-11,,SRC01103,MEDIUM,
MET00323,S0061,women/girls reached per month,3M+,,2026-09-07,2026-09-07,True,SRC01118,LOW,
MET00324,S0061,annualised revenue run rate,Rs 500 Cr (from Rs 100 Cr in 24 months),,2026-09-07,2026-09-07,True,SRC01132,LOW,
MET00325,S0061,women/girls reached per month,3000000,count,As-of-2026-09-07,2026-09-07,True,SRC01124,LOW,Company claim; '3M+ women and girls every month'
MET00326,S0061,annualised revenue run rate,500,crore,FY26-run-rate,2026-09-07,True,SRC01124,LOW,Grew from Rs 100 Cr in 24 months; management claim
MET00327,S0061,EBITDA positive,1,boolean,Q2 FY25,2025-09,True,SRC01126,MEDIUM,MarkHub24: became EBITDA positive in Q2 FY25
MET00328,S0061,customer retention beyond 12 months,50,percent,As-of-2022,2022-09,True,SRC01128,MEDIUM,ETBrandEquity 2022: >50% retention beyond 12 months via subscription
MET00329,S0062,monthly customers / total customers,500K avg/month; 3M total,,2025-08,2025-08,True,SRC01138,MEDIUM,
MET00330,S0062, pincodes served; tier-2+ share,"20,000+ pincodes; 75%+ tier-2+ ",,2025-08,2025-08,True,SRC01138,MEDIUM,
MET00331,S0062,monthly_orders,600000,orders,FY25,2025-08-11,True,SRC01146,MEDIUM,"ET: 'Monthly orders processed by the platform have grown by more than 100% year-on-year to close to 600,000 each month'"
MET00332,S0062,mobile_app_installs,7000000,installs,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '70 lakh+ mobile app installs'
MET00333,S0062,unique_users,1000000,users,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '10 lakh+ unique users'
MET00334,S0062,total_savings,150,crore,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '150Cr+ savings'
MET00335,S0062,products_listed,180000,products,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '1.8L+ products'
MET00336,S0062,doctor_consultations,3000000,consultations,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '30 lakh+ doctor consultations'
MET00337,S0062,doctors_active,600,doctors,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '600+ doctors'
MET00338,S0062,pharmacists,100,pharmacists,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,Company website: '100+ pharmacists'
MET00339,S0062,pincodes_served,20000,pincodes,As-of-2026-09-15,2026-09-15,True,SRC01145,MEDIUM,"Company website: '20K+ pincodes'; also '19,000+ pin codes' on homepage"
MET00340,S0062,fulfillment_centers,19,centers,FY25,2025-08-11,True,SRC01146,HIGH,ET: '19 fulfillment centres and plans to take it to 50 in the next 12 months'
MET00341,S0062,monthly_customers_avg,500000,customers,FY25,2025-08,True,SRC01138,MEDIUM,TechCrunch: '500K avg/month; 3M total' customers
MET00342,S0063,combined AUM post acquisitions,">Rs 2,000 Cr; 100+ branches; 18,000+ customers (CHFL base)",,2026-03-18,2026-03-18,False,SRC01165,MEDIUM,
MET00343,S0063,combined AUM post acquisitions,2000,crore,As-of-2026-03-18,2026-03-18,False,SRC01165,MEDIUM,"Combined AUM >Rs 2,000 Cr after Centrum HFL acquisition; 100+ branches"
MET00344,S0063,customers (CHFL base),18000,count,As-of-2026-03-18,2026-03-18,False,SRC01165,MEDIUM,"18,000+ customers from Centrum Housing Finance base"
MET00345,S0063,branches,100,count,As-of-2026-03-18,2026-03-18,False,SRC01165,MEDIUM,100+ branches combined post-acquisition
MET00346,S0063,total funding raised,326,million,Cumulative through 2026-03,2026-03-18,False,SRC01169,MEDIUM,"Tracxn lists total funding $326M; includes $170M Aug 2025 + Rs 1,450 Cr Mar 2026"
MET00347,S0063,acquisition spend (CIHL),267,crore,2025-08,2025-08-12,True,SRC01164,HIGH,Rs 267 Cr for 100% acquisition of Capital India Home Loans
MET00348,S0064,registered_users,40000000,count,As-of-2026-07,2026-07-08,True,SRC01189,MEDIUM,Per company PR; 'over 40 million registered users'
MET00349,S0064,cities_operating,6,count,As-of-2026-09,2026-09-06,True,SRC01188,HIGH,"Bengaluru, Mumbai, Pune, Hyderabad, Chennai, Delhi-NCR"
MET00350,S0064,NoBrokerHood_cities,11,count,As-of-2026-09,2026-09-06,True,SRC01188,HIGH,
MET00351,S0064,NoBrokerHood_societies,25000,count,As-of-2026-09,2026-09-06,True,SRC01188,HIGH,
MET00352,S0064,NoBrokerHood_families,4800000,count,As-of-2026-09,2026-09-06,True,SRC01188,HIGH,
MET00353,S0065,launch readiness,Vikram-1 at Sriharikota; Infinity campus targets 1 rocket/month,,2026-05,2026-05,True,SRC01200,MEDIUM,
MET00354,S0066,contracts_closed_value,25000000,USD,As-of-2025-12-16,2025-12-16,True,SRC01209,MEDIUM,Combined value of closed contracts; includes US Space Command analytics-as-a-service
MET00355,S0066,satellites_deployed,1,count,As-of-2025-01-14,2025-01-14,True,SRC01226,HIGH,"SCOT (Space Camera for Object Tracking) launched Jan 14, 2025 on SpaceX Transporter-12 from Vandenberg"
MET00356,S0066,satellites_planned,15,count,2026-2027,2025-12-16,True,SRC01209,MEDIUM,15 space surveillance satellites + 2 missile-tracking birds planned for 2026-27
MET00357,S0066,revenue_growth,10,x,2023-2025,2025-12-16,True,SRC01209,MEDIUM,Revenues grew more than tenfold over past two years
MET00358,S0066,revenue_target,25000000,USD,By end CY2026,2025-12-16,True,SRC01217,MEDIUM,Targeting $25-30M annual revenue by end of CY2026
MET00359,S0066,manufacturing_capacity,30,satellites/year,As-of-2026,2026-09-15,True,SRC01217,MEDIUM,Bengaluru facility expanding to 30 small satellites/year (<50kg); Colorado Springs facility for 100-150kg platforms
MET00360,S0066,mosaic_sensor_nodes,5,count,As-of-2026-08-18,2026-08-18,True,SRC01218,HIGH,MOSAIC AI-powered Wide Area Sensing Architecture; initial deployment of 5 interconnected sensor nodes
MET00361,S0067,registered users,100M+,,2022-03,2022-03,True,SRC01229,MEDIUM,
MET00362,S0067,registered_users,100,million,As-of-2022-03,2022-03-30,True,SRC01237,MEDIUM,Company claim at unicorn round; post-ban traction unknown
MET00363,S0067,ipl_partnership,625,crore,FY25-FY29 (5 years),2024-03,True,SRC01238,MEDIUM,My11Circle outbid Dream11 for IPL associate partner rights; Tata IPL
MET00364,S0067,employee_count,777,count,As-of-2025-07,2025-07-31,False,SRC01240,MEDIUM,Down from ~951 pre-layoffs; 5% lower than Jul 2024
MET00365,S0067,revenue_usd,264514128.78,USD,FY25,2025-03-31,False,SRC01241,LOW,Tracxn latest revenue USD figure
MET00366,S0068,revenue scale,"Rs 18,472 Cr ops revenue, 27% YoY",,FY25,FY25,False,SRC01256,MEDIUM,
MET00367,S0068,revenue_scale,18472,crore,FY25,2026-01-12,True,SRC01256,HIGH,Consolidated revenue from operations; 27% YoY growth
MET00368,S0068,revenue_scale,20000,crore,FY26,2026-09-15,False,SRC01260,MEDIUM,7% YoY growth; industry sources
MET00369,S0068,rmc_market_position,2,rank,FY25,2026-09-15,False,SRC01258,MEDIUM,Second-largest player by revenue in India's ready-mix concrete segment
MET00370,S0068,manufacturing_units,250,count,FY25,2026-09-15,False,SRC01258,MEDIUM,250+ manufacturing units
MET00371,S0068,retail_touchpoints,10000,count,FY25,2026-09-15,False,SRC01258,MEDIUM,"10,000 retail touchpoints"
MET00372,S0068,rmc_plants,100,count,FY25,2026-09-15,False,SRC01272,MEDIUM,100+ RMC plants across 13 states
MET00373,S0068,employee_count,5929,count,March 2026,2026-03,False,SRC01264,MEDIUM,Revelio Labs; down 946 (-2.4%) YoY
MET00374,S0068,total_funding_raised,740.44,million,cumulative,2026-09-15,False,SRC01263,HIGH,Across 18 funding rounds per Inc42 Datalabs
MET00375,S0070,loan_book_outstanding,13000,crore,FY26,2026-03-31,True,SRC00082,HIGH,Outstanding loans as of 31 March 2026
MET00376,S0070,new_customers_per_day,100000,count,FY26,2026-08-19,True,SRC00082,HIGH,"Platform sees ~100,000 new customers daily"
MET00377,S0070,UPI_transactions,947000000,count,July 2026,2026-07-31,True,SRC01286,HIGH,947M UPI transactions in July 2026 per NPCI data
MET00378,S0070,loan_book_outstanding,13000,crore,FY26,2026-03-31,True,SRC00082,HIGH,
MET00379,S0070,total_disbursements,23287,crore,FY26,2026-03-31,True,SRC00082,HIGH,
MET00380,S0070,gross_NPA_ratio,1.3,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00381,S0070,net_NPA_ratio,0.3,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00382,S0070,new_customers_per_day,100000,count,FY26,2026-08-19,True,SRC00082,HIGH,
MET00383,S0070,loan_approval_rate,5-50,percent,FY26,2026-08-19,True,SRC00082,HIGH,
MET00384,S0070,repeat_customer_share,75,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00385,S0070,new_to_credit_share,1,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00386,S0070,UPI_transactions,947000000,count,July 2026,2026-07-31,True,SRC01286,HIGH,
MET00387,S0070,UPI_transactions_value,483180000000,INR,July 2026,2026-07-31,True,SRC01286,HIGH,
MET00388,S0070,UPI_rank,4,rank,Ongoing,2026-08-19,True,SRC00082,HIGH,
MET00389,S0070,collection_touchpoints,90,count,FY26,2026-08-19,True,SRC00082,HIGH,
MET00390,S0070,inhouse_collections_share,50,percent,FY26,2026-08-19,True,SRC00082,HIGH,
MET00391,S0070,RoA,2.2,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00392,S0070,NIM,13,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00393,S0070,average_yield,20,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00394,S0070,cost_of_borrowing,10.5,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00395,S0070,personal_loan_avg_ticket,140000,INR,FY26,2026-03-31,True,SRC00082,HIGH,
MET00396,S0070,LAP_avg_ticket,3000000,INR,FY26,2026-03-31,True,SRC00082,HIGH,
MET00397,S0070,personal_loan_share_of_book,90,percent,FY26,2026-03-31,True,SRC00082,HIGH,
MET00398,S0071,farmers_linked,150000,count,As-of-2026-07,2026-07-02,True,SRC01309,HIGH,"Company statement: works with over 1,50,000 farmers"
MET00399,S0071,retailers_served,30000,count,As-of-2026-07,2026-07-02,True,SRC01309,HIGH,"Company statement: 30,000 retailers"
MET00400,S0071,resellers_served,5000,count,As-of-2026-07,2026-07-02,True,SRC01309,HIGH,"Company statement: 5,000 resellers"
MET00401,S0071,daily_produce_volume,1500,tonnes,As-of-2026-07,2026-07-02,True,SRC01309,HIGH,"Moves over 1,500 tonnes of fresh produce a day"
MET00402,S0071,cities_served,40,count,As-of-2026-07,2026-07-02,True,SRC01308,HIGH,Footprint in over 40 cities
MET00403,S0071,product_categories,150,count,As-of-2026-07,2026-07-02,True,SRC01308,HIGH,"Diverse portfolio of over 150 products; market share in onions, potatoes, tomatoes, blueberries, avocados, apples"
MET00404,S0071,ebitda_profitability,1,boolean,As-of-2026-07,2026-07-02,True,SRC01308,HIGH,Company claims it has turned EBITDA-profitable
MET00405,S0071,core_business_growth,3,x,FY25-FY26,2026-07-02,True,SRC01308,MEDIUM,Three-fold growth in core businesses in the last year
MET00406,S0071,locations_presence,70,count,Oct-2023,2023-10-11,True,SRC01315,MEDIUM,Present in 70 locations as of Oct 2023; intended to scale to 200 cities
MET00407,S0071,farmers_helped_historical,100000,count,As-of-2022-01,2022-01-24,True,SRC01311,MEDIUM,"Helped over 1,00,000 farmers across 150 villages as of Jan 2022"
MET00408,S0072,merchants_served,500000,count,As-of-2025,2025-06-01,,SRC01357,MEDIUM,
MET00409,S0072,merchants_served,140000,count,As-of-2020,2020-01-01,,SRC01335,MEDIUM,
MET00410,S0072,pos_terminals,330000,count,As-of-2020,2020-01-01,,SRC01358,MEDIUM,
MET00411,S0072,annualized_payment_volume,30000000000,USD,As-of-2020,2020-01-01,,SRC01335,MEDIUM,
MET00412,S0072,annualized_gtv_gift_cards,1500000000,USD,As-of-2019,2019-03-19,,SRC01359,MEDIUM,
MET00413,S0072,digital_checkout_points,1270000,count,FY24,2025-06-01,,SRC01360,MEDIUM,
MET00414,S0072,annualized_payment_volume,100000000000,USD,FY26,2026-02-01,,SRC01331,MEDIUM,
MET00415,S0072,online_payments_revenue_growth,50,percent,Q3 FY26 YoY,2026-02-01,,SRC01351,MEDIUM,
MET00416,S0072,gtv,51000000000,USD,Q3 FY26,2026-02-01,,SRC01361,MEDIUM,
MET00417,S0075,daily_active_users,700000,count,As-of-2026-03,2026-03-24,True,SRC01434,MEDIUM,US accounts for ~45% of DAU
MET00418,S0075,market_share_smart_rings,25,percent,Q3 2025,2026-02-27,False,SRC01434,MEDIUM,Per IDC data cited in TechCrunch; global shipments ~1M units Q3 2025
MET00419,S0075,retail_outlets,150,count,As-of-2024-04,2024-04-25,True,SRC01435,HIGH,"Including Selfridges London, Changi Airport Singapore, Virgin Dubai"
MET00420,S0075,manufacturing_capacity_texas,500000,units/year,Target 2025,2025-05-08,True,SRC01409,HIGH,UltraFactory in Plano TX via SVTronics partnership; currently ~400 units/day
MET00421,S0075,ring_air_units_sold,,count,cumulative,,False,,LOW,150k units claim not verified in sources; omitting
