investor_id,name,type,geography,fund_vintage,notable_portfolio,india_presence,partner_if_public,notes
INV0535,Moneycrew Fintech,Fintech/Angel,,,,India,,
INV0536,Lightbox Ventures,VC,,,,,,
INV0537,Mirabilis Investment Trust,VC,,,,,,
INV0538,Samir Singh,,,,,,,
INV0539,Shuchi Kothari,,,,,,,
INV0540,SRF,,,,,,,
INV0541,Filter Capital,,,,,,,
INV0542,Info Edge Ventures,CVC-corporate,"Noida, India",,,,,
INV0543,Info Edge Ventures (IE Venture Fund I),CVC-corporate,"Noida, India",,,,,
INV0544,Asha Impact,,,,,,,
INV0545,Indian Angel Network Fund,,,,,,,
INV0546,Digital Garage,,,,,,,
INV0547,BEENOS,,,,,,,
INV0548,SAIF Partners,,,,,,,
INV0549,KTB Ventures,,,,,,,
INV0550,BlackRock (debt),,,,,,,
INV0551,Playbook Partners,,,,,,,
INV0552,Shanghvi Family Office,,,,,,,
INV0553,Greenko founders,,,,,,,
INV0554,BlackRock (managed funds),,,,,,,
INV0555,Greenko Group founders,,,,,,,
INV0556,"Reliance Industries (per RoC, Jan 2026)",CVC-corporate,,,,,,
INV0557,Aditya Birla Ventures,,,,,,,
INV0558,SIDBI,,,,,,,
INV0559,IISc SID (Society for Innovation and Development),,,,,,,
INV0560,IISc SID,,,,,,,
INV0561,SBI Investment (Japan),,,,,,,
INV0562,Malabar Investment,Other,UNKNOWN,,,,,
INV0563,Raine Group,,,,,,,
INV0564,Malabar Investment Advisors,,,,,,,
INV0565,The Raine Group,,,,,,,
INV0566,The Howard Partnership Trust,,,,,,,
INV0567,S A Gamez Evolution,,,,,,,
INV0568,Vijay Mansukhani,,,,,,,
INV0569,Bain Capital,,,,,,,
INV0570,Alex Roetter,,,,,,,
INV0571,Silverline Homes,,,,,,,
INV0572,NK Squared,,,,,,,
INV0573,Nexus Ventures,VC,"Bengaluru, India",,,,,
INV0574,Evolvence India,,,,,,,
INV0575,Evolvence India Fund,,,,,,,
INV0576,Sistema Asia Fund,,,,,,,
INV0577,Foundamental,,,,,,,
INV0578,Nikhil Kamath,Individual/Angel,India,,,India,,
INV0579,NK Squared (Nikhil Kamath),,,,,,,
INV0580,Capri Global,,,,,,,
INV0581,Mars Growth Capital (Liquidity Group + MUFG Bank),,,,,,,
INV0582,Ascertis Credit,,,,,,,
INV0583,Silicon Motion Technology,,,,,,,
INV0584,PhillipCapital,,,,,,,
INV0585,Ambit,,,,,,,
INV0586,Kairus Shavak Dadachanji,,,,,,,
INV0587,Rishad Kairus Dadachanji,,,,,,,
INV0588,Sandhya Rohit Kapadia,,,,,,,
INV0589,Pervin Kairus Dadachanji,,,,,,,
INV0590,Rohit Kapadia,,,,,,,
INV0591,Yash Kapadia,,,,,,,
INV0592,JM Financial,,,,,,,
INV0593,Kotak Mahindra Capital,,,,,,,
INV0594,JPMorgan,,,,,,,
INV0595,Sachin Bansal (founder self-funding),,,,,,,
INV0596,Nandan Nilekani,,,,,,,
INV0597,Walmart + Flipkart,CVC-corporate,,,,,,
INV0598,Accel US,VC,"San Francisco, USA",,,,,
INV0599,Syngenta Ventures,,,,,,,
INV0600,Neoplux,,,,,,,
INV0601,Jo Hirao,,,,,,,
INV0602,HR Capital,,,,,,,
INV0603,Mistletoe,,,,,,,
INV0604,STIC Investments,,,,,,,
INV0605,Flipkart,CVC-corporate,"Bengaluru, India",,,,,
INV0606,PayPal,,,,,,,
INV0607,BlackRock,,,,,,,
INV0608,Actis,,,,,,,
INV0609,anchor + public investors,,,,,,,
INV0610,Peak XV Partners (ex-Sequoia India),VC,"Bengaluru, India",,,,,
INV0611,Altimeter Capital,,,,,,,
INV0612,Madison India Capital,,,,,,,
INV0613,Smallcap World Fund,,,,,,,
INV0614,Baron Capital Group,,,,,,,
INV0615,Duro Capital,,,,,,,
INV0616,Marshall Wace,,,,,,,
INV0617,Lenarco,,,,,,,
INV0618,Moore Ventures,,,,,,,
INV0619,WFM Asia,,,,,,,
INV0620,Ishana Capital,,,,,,,
INV0621,IC Partners Long Only Fund,,,,,,,
INV0622,Founders Global,,,,,,,
INV0623,Yeoh Chen Chow,,,,,,,
INV0624,Kotak Investment Advisors,,,,,,,
INV0625,Tree Line Investment Management,,,,,,,
INV0626,Invesco Mutual Fund,,,,,,,
INV0627,State Bank of India,,,,,,,
INV0628,Amundi Funds,,,,,,,
INV0629,+9 more,,,,,,,
INV0630,Claypond Capital,Investment Firm,,,,Yes,,
INV0631,Yamaha Motor,Corporate,,,,Yes,,
INV0632,Al-Futtaim Group,Conglomerate,,,,Yes,,
INV0633,Mitsui,Trading/Investment,,,,Yes,,
INV0634,8VC,VC,,,,Yes,,
INV0635,Matrix/Z47,,,,,,,
INV0636,Matrix,,,,,,,
INV0637,Atlassian Ventures,Corporate VC,,,,Yes,,
INV0638,Qualcomm Ventures (+ Labcorp,CVC-corporate,"San Diego, USA",,,,,
INV0639,Alpha Wave,PE,"New York, USA",,,,,
INV0640,Alteria),,,,,,,
INV0641,undisclosed (Premji Invest denied),,,,,,,
INV0642,Gaurav Munjal,,,,,,,
INV0643,Adit Parekh,,,,,,,
INV0644,Nishith Rastogi,,,,,,,
INV0645,Alpha Wave Incubation,,,,,,,
INV0646,iSeed,,,,,,,
INV0647,Deepinder Goyal,Angel Investor,,,,Yes,,
INV0648,Scott Schleifer,,,,,,,
INV0649,Sandeep Singhal,,,,,,,
INV0650,private equity investors,,,,,,,
INV0651,Labcorp,Healthcare/Diagnostics,,,,Yes,,
INV0652,angel investors,,,,,,,
INV0653,Sujeet Kumar (angel),,,,,,,
INV0654,Eurazeo,,,,,,,
INV0655,Omnivore,VC,"Bengaluru, India",,,,,
INV0656,Lighthouse Canton,,,,,,,
INV0657,UCIC,,,,,,,
INV0658,GetVantage,,,,,,,
INV0659,Smilegate Group,,,,,,,
INV0660,EAAA Alternatives,,,,,,,
INV0661,Muzinich & Co.,,,,,,,
INV0662,high-net-worth investors,,,,,,,
INV0663,Bennett Coleman & Co.,,,,,,,
INV0664,Reliance Group Holdings,,,,,,,
INV0665,ADM Capital,,,,,,,
INV0666,Kae Capital / Bennett Coleman / Reliance Group / ADM Capital,VC,"Mumbai, India",,,,,
INV0667,Vertex Ventures SEA & India,VC,Singapore,,,,,
INV0668,3one4 Capital,VC,"Bengaluru, India",,,,,
INV0669,Rainmatter,,,,,,,
INV0670,Rainmatter (Zerodha),,,,,,,
INV0671,DoorDash,,,,,,,
INV0672,Lachy Groom,,,,,,,
INV0673,Humba Ventures,,,,,,,
INV0674,Walden Catalyst Ventures,,,,,,,
INV0675,NGP Capital,CVC-corporate,,,,,,
INV0676,True Ventures,,,,,,,
INV0677,Exfinity Venture Partners,,,,,,,
INV0678,Dragonfly,,,,,,,
INV0679,Dragonfly (reported lead),,,,,,,
INV0680,Anthropic (reported participant),,,,,,,
INV0681,"Accel (backing, per TechCrunch snippet)",VC,"San Francisco, USA",,,,,
INV0682,Anthropic,,,,,,,
INV0683,Warburg Pincus (South Lake Investment),,,,,,,
INV0684,GMO (Japan),,,,,,,
INV0685,MediaTek,,,,,,,
INV0686,HDFC MF / SBI MF / Axis MF / Eastspring (IPO anchors),,,,,,,
INV0687,Cornerstone Ventures,,,,,,,
INV0688,Public (planned),,,,,,,
INV0689,Matrix Partners,VC,India/US,,,Mumbai/Bengaluru,,
INV0690,Gopikrishna Patibanda,,,,,,,
INV0691,Nitin Gupta,,,,,,,
INV0692,Pranaya Chulet,,,,,,,
INV0693,Apoorva Patni,,,,,,,
INV0694,Zodius,,,,,,,
INV0695,Rohit Arora,,,,,,,
INV0696,Rohit Kapoor,,,,,,,
INV0697,Creation Investments,,,,,,,
INV0698,Norwest,VC,,,,,,
INV0699,SoftBank Vision,Sovereign/Govt,"Tokyo, Japan",,,,,
INV0700,SoftBank Group,Sovereign/Govt,"Tokyo, Japan",,,,,
INV0701,AK Capital Finance,,,,,,,
INV0702,Neo Group,,,,,,,
INV0703,Multiple investors,,,,,,,
INV0704,"Banks, FIs, NBFCs",,,,,,,
INV0705,JP Morgan (advisor),,,,,,,
INV0706,Matrix Partners (Z47),,,,,,,
INV0707,Hummingbird Ventures,VC,,,,,,
INV0708,Epiq Capital,PE,"Mumbai, India",,,,,
INV0709,Bertelsmann India Investments,CVC-corporate,"Gütersloh, Germany",,,,,
INV0710,Hara Global,VC,,,,,,
INV0711,Bain Capital Ventures,,,,,,,
INV0712,Mayfield,,,,,,,
INV0713,Aramco Ventures,,,,,,,
INV0714,AdvantEdge Founders,,,,,,,
INV0715,Micelio Technology Fund,,,,,,,
INV0716,PI Ventures,VC,"Bengaluru, India",,,Bengaluru,,
INV0717,Singularity AMC,,,,,,,
INV0718,Sequoia Capital India (now Peak XV),VC,"Bengaluru, India",,,,,
INV0719,Tenacity Ventures,,,,,,,
INV0720,Better Capital,,,,,,,
INV0721,GSV Ventures,,,,,,,
INV0722,Shreyasi Singh,,,,,,,
INV0723,Peak XV Partners (Sequoia Capital India),VC,"Bengaluru, India",,,,,
INV0724,Varsha Rao (ex-Nurx CEO),,,,,,,
INV0725,physicians and family offices,,,,,,,
INV0726,Rakesh Jhunjhunwala (family),,,,,,,
INV0727,Jhunjhunwala family (follow-on),,,,,,,
INV0728,Jhunjhunwala family (additional),,,,,,,
INV0729,Jhunjhunwala family,,,,,,,
INV0730,Claypond Capital (Ranjan Pai),,,,,,,
INV0731,360 One Asset Management,asset-manager,"Mumbai, India",,,Mumbai,,
INV0732,Mayfield India,VC,"Silicon Valley, USA",,,Mumbai,,
INV0733,Mentor India,,,,,,,
INV0734,TPG Rise,PE,"San Francisco, CA, USA",,,,,
INV0735,Leeds Illuminate,,,,,,,
INV0736,Chan Zuckerberg Initiative,,,,,,,
INV0737,Canada Pension Plan Investment Board,,,,,,,
INV0738,HSBC,,,,,,,
INV0739,CPP Investments (CPPIB),,,,,,,
INV0740,Bertelsmann,CVC-corporate,"Gütersloh, Germany",,,,,
INV0741,ICICI Venture,,,,,,,
INV0742,Niveshaay,VC,India,,,India,,
INV0743,Sauce VC,VC,"Delhi, India",,,,,
INV0744,Amazon Smbhav Venture Fund,CVC-corporate,"Seattle, USA",,,,,
INV0745,72 Ventures,,,,,,,
INV0746,Falguni/Sanjay Nayar FO,,,,,,,
INV0747,L'Oreal,,,,,,,
INV0748,Paramark Ventures,,,,,,,
INV0749,Peak XV (Sequoia India),VC,"Bengaluru, India",,,,,
INV0750,Peak XV,VC,"Bengaluru, India",,,,,
INV0751,SBI Mutual Fund,,,,,,,
INV0752,Kamath Associates,,,,,,,
INV0753,Plutus Wealth Management,,,,,,,
INV0754,Instant Growth,,,,,,,
INV0755,Plutus Wealth / GIC,,,,,,,
INV0756,MUFG Bank,Sovereign/Govt,"Tokyo, Japan",,,,,
INV0757,Euclidean Capital,,,,,,,
INV0758,undisclosed private investors,,,,,,,
INV0759,TVS Capital Funds,VC,"Chennai, India",,,,,
INV0760,Crystal Investment Advisors,,,,,,,
INV0761,Crystal Investment Advisors (Atha Group),,,,,,,
INV0762,VT Capital,,,,,,,
INV0763,Morde,,,,,,,
INV0764,Bill & Melinda Gates Foundation,,,,,,,
INV0765,IDH Farmfit Fund,,,,,,,
INV0766,500 Startups,,,,,,,
INV0767,Blue Ashva Capital,,,,,,,
INV0768,Miledeep Capital,,,,,,,
INV0769,Nutreco,,,,,,,
INV0770,Celesta Capital,,,,,,,
INV0771,IndusAge,,,,,,,
INV0772,Blue Ashva,,,,,,,
INV0773,IDH,,,,,,,
INV0774,Gates Foundation,,,,,,,
INV0775,US DFC,,,,,,,
INV0776,Sanket Parekh,,,,,,,
INV0777,Sanket Parekh (Pidilite family office),,,,,,,
INV0778,Signet,,,,,,,
INV0779,Hira Group family office,,,,,,,
INV0780,Singularity Growth,,,,,,,
INV0781,NB Ventures,,,,,,,
INV0782,SageOne,,,,,,,
INV0783,Alchemy Long Term Ventures,,,,,,,
INV0784,Bajaj Holdings & Investment,,,,,,,
INV0785,Minerva Ventures,,,,,,,
INV0786,public shareholders,,,,,,,
INV0787,Klub (Indian investment company),,,,,,,
INV0788,SageOne / Alchemy / Bajaj Holdings / Minerva (Series E leads),,,,,,,
INV0789,Gogoro,,,,,,,
INV0790,Goodyear Ventures,,,,,,,
INV0791,WFC,,,,,,,
INV0792,Venture Catalysts,,,,,,,
INV0793,LetsVenture,,,,,,,
INV0794,IAN,,,,,,,
INV0795,Ivygrowth,,,,,,,
INV0796,Grip,,,,,,,
INV0797,ENEOS,,,,,,,
INV0798,IAN Fund,,,,,,,
INV0799,ENEOS Group,,,,,,,
INV0800,Beams Fintech Fund,,,,,,,
INV0801,Beams Fintech Fund (+affiliates),,,,,,,
INV0802,Baring PE Partners India,,,,,,,
INV0803,Saison Capital,,,,,,,
INV0804,UNLEASH Capital Partners,,,,,,,
INV0805,BIG Global Investments,,,,,,,
INV0806,BlueHill Capital,,,,,,,
INV0807,Campus Fund,,,,,,,
INV0808,Golden Sparrow Ventures,,,,,,,
INV0809,TDK Ventures,CVC-corporate,"Tokyo, Japan",,,,,
INV0810,BIG Capital,,,,,,,
INV0811,YourNest Venture Capital,,,,,,,
INV0812,Bluehill.VC,,,,,,,
INV0813,Riceberg Ventures,,,,,,,
INV0814,National Quantum Mission,,,,,,,
INV0815,Speciale Invest,VC,India,,,,,
INV0816,National Quantum Mission (via IITM C-DOT Samgnya),,,,,,,
INV0817,Sony Innovation Fund,,,,,,,
INV0818,Artha Ventures,,,,,,,
INV0819,7 more,,,,,,,
INV0820,I-HUB Quantum Technology Foundation,,,,,,,
INV0821,RDI fund,,,,,,,
INV0822,National Quantum Mission (via IITM C-DOT Samgnya Technologies Foundation),,,,,,,
INV0823,Zoho Corporation,Corporate,India,,,India,,
INV0824,Lingotto,,,,,,,
INV0825,Lingotto (Exor NV),,,,,,,
INV0826,TVS Motor,,,,,,,
INV0827,Iron Pillar,,,,,,,
INV0828,Three State Ventures,,,,,,,
INV0829,Shinhan Group,,,,,,,
INV0830,Landmark Group,,,,,,,
INV0831,3State Ventures,,,,,,,
INV0832,Nordstar,,,,,,,
INV0833,Binny Bansal,,,,,,,
INV0834,Adil Allana,,,,,,,
INV0835,Rashmi Kwatra,,,,,,,
INV0836,Lydia Jett,,,,,,,
INV0837,Sixteenth Street Capital,,,,,,,
INV0838,Accel Partners,VC,US,,,Bengaluru,,
INV0839,BlackSoil Capital,,,,,,,
INV0840,Winter Capital (Crimson Winter Ltd),,,,,,,
INV0841,Rukam Capital,,,,,,,
INV0842,Potential Ventures X4,,,,,,,
INV0843,Three State Ventures (Binny Bansal),,,,,,,
INV0844,ASK Finance,,,,,,,
INV0845,Caspian,,,,,,,
INV0846,3State Ventures (Binny Bansal),,,,,,,
INV0847,Z47 (ex-Matrix India),VC,"Mumbai, India",,,,,
INV0848,Z47 (ex-Matrix Partners India),VC,"Mumbai, India",,,,,
INV0849,Nimbus Capital,,,,,,,
INV0850,Surendra Soni,,,,,,,
INV0851,Open Campus,,,,,,,
INV0852,XDC Accelerator Program,,,,,,,
INV0853,XVC Tech,,,,,,,
INV0854,Polygon Labs,,,,,,,
INV0855,Soonami,,,,,,,
INV0856,Solana,,,,,,,
INV0857,Play Ventures,,,,,,,
INV0858,MIXI Investments,,,,,,,
INV0859,Gameskraft Technologies,,,,,,,
INV0860,Griffin Gaming Partners,,,,,,,
INV0861,Waterbridge Ventures,,,,,,,
INV0862,Courtside Ventures,,,,,,,
INV0863,Rocket Capital,,,,,,,
INV0864,Lumikai,,,,,,,
INV0865,Exceed Entertainment,,,,,,,
INV0866,KB Investments,,,,,,,
INV0867,Edelweiss Discovery Fund,,,,,,,
INV0868,HPV CC1,,,,,,,
INV0869,Kenro Capital,,,,,,,
INV0870,Titan Capital,,,,,,,
INV0871,Premji Invest (PI Opportunities Fund II),Family Office,"Mumbai, India",,,,,
INV0872,BlackSoil (90 Cr),,,,,,,
INV0873,InCred (70 Cr),,,,,,,
INV0874,Stride (70 Cr),,,,,,,
INV0875,Nuvama (40 Cr),,,,,,,
INV0876,Multiples,PE,,,,,,
INV0877,Falcon Edge Capital,VC,UNKNOWN,,,,,
INV0878,Harvard Management Company,,,,,,,
INV0879,Falcon Edge Capital (now Alpha Wave Global),VC,UNKNOWN,,,,,
INV0880,Ward Ferry,,,,,,,
INV0881,Others (undisclosed),Other,UNKNOWN,,,,,
INV0882,Alpha Wave Global (ex-Falcon Edge Capital),PE,"New York, USA",,,,,
INV0883,Sequoia Capital India (now Peak XV Partners),VC,"Bengaluru, India",,,,,
INV0884,Ratan Tata / RNT Associates,,,,,,,
INV0885,Legatum Capital,,,,,,,
INV0886,Accrete Capital,,,,,,,
INV0887,Gaingels,,,,,,,
INV0888,Setu Aif Trust,,,,,,,
INV0889,Artal Asia (Invus Group affiliate),,,,,,,
INV0890,Invus Group,,,,,,,
INV0891,Nokia Growth Partners,,,,,,,
INV0892,Mirae Asset-Naver Fund,,,,,,,
INV0893,TPG NewQuest,PE,"San Francisco, CA, USA",,,,,
INV0894,Qualcomm,CVC-corporate,"San Diego, USA",,,,,
INV0895,Public,,,,,,,
INV0896,ICICI Prudential MF,,,,,,,
INV0897,Nippon India MF,,,,,,,
INV0898,Norges Bank,,,,,,,
INV0899,IFC (World Bank),Sovereign/Govt,"Washington, USA",,,,,
INV0900,WEH Ventures,VC,"Bengaluru, India",,,,,
INV0901,DSP Group,Financial Services,,,,,,
INV0902,Zerodha,,,,,,,
INV0903,Straddle Capital,,,,,,,
INV0904,DSP Mutual Fund,,,,,,,
INV0905,Faering Capital,PE,"Mumbai, India",,,,,
INV0906,HDFC Bank,,,,,,,
INV0907,State Street Global Advisors,,,,,,,
INV0908,Niveshaay AIF,,,,,,,
INV0909,Roots Ventures,,,,,,,
INV0910,Biren Shah,,,,,,,
INV0911,Karthik Bhat,,,,,,,
INV0912,Rahul Garg,,,,,,,
INV0913,BITKRAFT Ventures,VC,"Berlin, Germany",,,,,
INV0914,Itai Tsiddon,,,,,,,
INV0915,Creed Capital Asia,,,,,,,
INV0916,Mukul Agrawal,,,,,,,
INV0917,Param Capital,,,,,,,
INV0918,Rise Capital,,,,,,,
INV0919,Hem Securities,,,,,,,
INV0920,Valiant Capital,,,,,,,
INV0921,Aart Corporate Advisors,,,,,,,
INV0922,Systematix,,,,,,,
INV0923,India SME Investments,,,,,,,
INV0924,Multiple angels,,,,,,,
INV0925,Vivekananda Hallekere (Bounce),,,,,,,
INV0926,Rahul Garg (Moglix),,,,,,,
INV0927,Ramakant Sharma (Livspace),,,,,,,
INV0928,Varun Laul (Investcorp),,,,,,,
INV0929,Ashish Sharma (Innoven Capital),,,,,,,
INV0930,Rohit Sood (Bertelsmann),,,,,,,
INV0931,Ankit Agarwal (Alteria Capital),,,,,,,
INV0932,Tej Kapoor (Fosun),,,,,,,
INV0933,Karthik Bhat (Ubiquity),,,,,,,
INV0934,Creed Capital,,,,,,,
INV0935,Luminaire Capital,,,,,,,
INV0936,Mark V Capital,,,,,,,
INV0937,Falcon Edge Partners,VC,UNKNOWN,,,,,
INV0938,Velo Partners,,,,,,,
INV0939,SBI Ventures,,,,,,,
INV0940,Magna International,Corporate,Canada,,,Yes,,
INV0941,Bajaj Auto,Corporate,India,,,Yes,,
INV0942,Magna,,,,,,,
INV0943,GEF Capital Partners,PE,India,,,Yes,,
INV0944,Northern Arc Capital,,,,,,,
INV0945,DFC,,,,,,,
INV0946,Rocketship.vc,,,,,,,
INV0947,Wavemaker Partners,,,,,,,
INV0948,Tracxn Labs,,,,,,,
INV0949,Incubate Capital Partners,,,,,,,
INV0950,DFC (US International Development Finance Corporation),,,,,,,
INV0951,AustralianSuper,Superannuation,Australia,,,No,,
INV0952,Blue Star Innovation Partners,,,,,,,
INV0953,Sunley House Capital Management,,,,,,,
INV0954,KOSÉ Corporation,Corporate,"Tokyo, Japan",,,Yes,,
INV0955,Accel-KKR,PE,"Menlo Park, CA, USA",,,No,,
INV0956,Cactus Partners,VC,India,,,Yes,,
INV0957,Hero Investment Office,,,,,,,
INV0958,35 North Ventures,,,,,,,
INV0959,Indusbridge Ventures,,,,,,,
INV0960,Monarch Holdings,,,,,,,
INV0961,Inflexor,,,,,,,
INV0962,Pavestone,VC,Hyderabad,,,Hyderabad,,
INV0963,Startup Xseed,,,,,,,
INV0964,Survam Partners,,,,,,,
INV0965,ISRO (NSIL),Government,India,,,Yes,,
INV0966,Z47 (formerly Matrix Partners India),VC,"Mumbai, India",,,,,
INV0967,Panthera Growth Partners,PE/Growth,India,,,Yes,,
INV0968,Tracxn,,,,,,,
INV0969,MV Core,,,,,,,
INV0970,Mounttech Growth Fund,,,,,,,
INV0971,Grand Anicut Angel Fund,,,,,,,
INV0972,Navam Venture Fund,,,,,,,
INV0973,Faad Capital,,,,,,,
INV0974,LV Angel Fund,,,,,,,
INV0975,Eraya Capital,,,,,,,
INV0976,Mela Ventures,,,,,,,
INV0977,Navam Capital,,,,,,,
INV0978,Gray Matters Capital,,,,,,,
INV0979,SWC Global,,,,,,,
INV0980,Ravi Modi Family Office,,,,,,,
INV0981,QED Investors,,,,,,,
INV0982,Better Tomorrow Ventures,,,,,,,
INV0983,Base10,,,,,,,
INV0984,"operators incl. growth leaders from Anthropic and Chime, HubSpot CTO, founders of Eppo and Vapi",,,,,,,
INV0985,Darshan Patel,,,,,,,
INV0986,Darshan Patel (Vini Cosmetics founder) + others,,,,,,,
INV0987,Hemant Mahendrakumar Kabra,,,,,,,
INV0988,Adesh Realtor,,,,,,,
INV0989,Maithan Alloys,,,,,,,
INV0990,Bharat Value Fund (Pantomath),,,,,,,
INV0991,Transition VC,,,,,,,
INV0992,Gruhas,,,,,,,
INV0993,Subhkam Ventures,,,,,,,
INV0994,Microtek Group,,,,,,,
INV0995,SRK Family Office,,,,,,,
INV0996,Raghav Capital,,,,,,,
INV0997,Maiuni Ventures,,,,,,,
INV0998,NKA Resources,,,,,,,
INV0999,MMG Realtech,,,,,,,
INV1000,"BIG Capital (BIG Capital Pte Ltd, Singapore)",,,,,,,
INV1001,FPV Ventures,,,,,,,
INV1002,Sapphire Ventures,,,,,,,
INV1003,Chimera,,,,,,,
INV1004,Carlyle,,,,,,,
INV1005,Times Internet,,,,,,,
INV1006,Delhivery (acquirer),,,,,,,
INV1007,Undisclosed UAE-based industrial investor,,,,,,,
INV1008,CapitalG,,,,,,,
INV1009,CapitalG (Google),,,,,,,
INV1010,Sequoia,VC,"Bengaluru, India",,,,,
INV1011,Airbnb,,,,,,,
INV1012,Grab,,,,,,,
INV1013,DiDi,,,,,,,
INV1014,Khazanah,,,,,,,
INV1015,Hindustan Media Ventures,,,,,,,
INV1016,Nuvama Wealth,,,,,,,
INV1017,Analah Capital,,,,,,,
INV1018,private institutional investors,,,,,,,
INV1019,Gauri Khan family office,,,,,,,
INV1020,Intel,,,,,,,
INV1021,Info Edge,PE/VC,India,,,India,,
INV1022,True North,,,,,,,
INV1023,Public markets,,,,,,,
INV1024,Morgan Stanley,,,,,,,
INV1025,CPPIB,,,,,,,
INV1026,AMD,,,,,,,
INV1027,Snowflake,,,,,,,
INV1028,Databricks,,,,,,,
INV1029,NEA,,,,,,,
INV1030,March Capital,,,,,,,
INV1031,BNF Capital,,,,,,,
INV1032,National Grid Partners,,,,,,,
INV1033,Prosperity7 Ventures,,,,,,,
INV1034,BAM Elevate,,,,,,,
INV1035,Sanabil Investments,,,,,,,
INV1036,HCL Capital,,,,,,,
INV1037,IAN Group,,,,,,,
INV1038,Kotak Mahindra,,,,,,,
INV1039,Dharana Capital,,,,,,,
INV1040,Sanjiv Rangrass,,,,,,,
INV1041,SailThru Ventures,,,,,,,
INV1042,Sriharsha Majety,,,,,,,
INV1043,Nazara,,,,,,,
INV1044,Aptos Labs,,,,,,,
INV1045,Polygon,,,,,,,
INV1046,Game7,,,,,,,
INV1047,Jump Crypto,,,,,,,
INV1048,Aptos,,,,,,,
INV1049,Goodwater Capital,,,,,,,
INV1050,Capital 2B,,,,,,,
INV1051,Shastra VC,,,,,,,
INV1052,Kotak Life Sciences,,,,,,,
INV1053,1Crowd,,,,,,,
INV1054,The Chennai Angels,,,,,,,
INV1055,Omidyar Network India,,,,,,,
INV1056,Orios Venture Partners,VC,Mumbai,,,Mumbai,,
INV1057,Enzia Ventures,,,,,,,
INV1058,ITI Growth Opportunities Fund,,,,,,,
INV1059,Jungle Ventures (First Cheque),VC,Singapore,,,,,
INV1060,Fullerton Financial Holdings,,,,,,,
INV1061,Saama Capital,,,,,,,
INV1062,BlueOrchard Finance,,,,,,,
INV1063,PB Fintech,,,,,,,
INV1064,Carvesta Partners,,,,,,,
INV1065,ENAM Holdings,,,,,,,
INV1066,Dharmendra Ghai,,,,,,,
INV1067,Zinia Lawyer,,,,,,,
INV1068,Yali Capital,,,,,,,
INV1069,Pavestone Capital,,,,,,,
INV1070,Arali Ventures,,,,,,,
INV1071,InfoEdge (Redstart Labs),,,,,,,
INV1072,growX Ventures,VC,,,,,,
INV1073,Java Capital,,,,,,,
INV1074,Applied Startup Technology and Research Accelerator,,,,,,,
INV1075,Eximius Ventures,,,,,,,
INV1076,Susquehanna Asia Venture Capital,,,,,,,
INV1077,Asian Development Bank,,,,,,,
INV1078,Sangam Ventures,,,,,,,
INV1079,IFU (Denmark),,,,,,,
INV1080,IFU,,,,,,,
INV1081,SVL SME Neev II Fund (SBI Ventures),,,,,,,
INV1082,Waaree Renewable Technologies,,,,,,,
INV1083,Spectrum Impact,,,,,,,
INV1084,Ashish Kacholia (Lucky Investment Managers),,,,,,,
INV1085,Unicorn India Ventures,VC,India,,,India,,
INV1086,Ashish Kacholia,Angel/Fund Manager,India,,,India,,
INV1087,Caperize Fina,,,,,,,
INV1088,MAIQ Growth Scheme,,,,,,,
INV1089,Multiple HNIs,,,,,,,
INV1090,Insitor Impact Asia Fund,,,,,,,
INV1091,Inflexor Ventures,,,,,,,
INV1092,Insitor Partners,,,,,,,
INV1093,IIMA Ventures,,,,,,,
INV1094,Insitor Partners (Insitor Impact Asia Fund),,,,,,,
INV1095,A91 Partners (A91 Emerging Fund III),PE,"Mumbai, India",,,,,
INV1096,Tin Men Capital,,,,,,,
INV1097,Galaxy (Kejora-led SPV),,,,,,,
INV1098,Performa (European Asset Manager-led SPV),,,,,,,
INV1099,Galaxy,,,,,,,
INV1100,Performa,,,,,,,
INV1101,Integra Partners,,,,,,,
INV1102,Yuj Ventures,,,,,,,
INV1103,AJ Capital,,,,,,,
INV1104,Incred Wealth,,,,,,,
INV1105,Orzon,,,,,,,
INV1106,Sauce,,,,,,,
INV1107,Ashish Goel,,,,,,,
INV1108,Tushar Patel,,,,,,,
INV1109,Harshita Kabra,,,,,,,
INV1110,Touchstone Venture,,,,,,,
INV1111,Nirali Solani,,,,,,,
INV1112,Nikhil Jaisinghani,,,,,,,
INV1113,Hypotenuse Capital,,,,,,,
INV1114,KNAV,,,,,,,
INV1115,Jigar K Shah,,,,,,,
INV1116,Revant Bhate,,,,,,,
INV1117,Amit Rastogi,,,,,,,
INV1118,Ranshiv Family,,,,,,,
INV1119,Nikhil Bhandarkar,,,,,,,
INV1120,Ira Kathpalia,,,,,,,
INV1121,Logx Venture Partners,,,,,,,
INV1122,Madhu Hari Jaidhara,,,,,,,
INV1123,Shaival Desai,,,,,,,
INV1124,Desai Ventures,,,,,,,
INV1125,Panthera Peak,,,,,,,
INV1126,Good Capital,,,,,,,
INV1127,Nishit Doshi,,,,,,,
INV1128,Deepika Padukone,,,,,,,
INV1129,Viabl Smart Ventures,,,,,,,
INV1130,Skatrs Management Advisory,,,,,,,
INV1131,Sanjay Kapoor,,,,,,,
INV1132,Ramakant Sharma,,,,,,,
INV1133,Simran Lal Trust,,,,,,,
INV1134,Gaurav Nathani,,,,,,,
INV1135,Chona Family Office,,,,,,,
