startup_id,company,milestone_type,milestone,period,value,unit,currency,source_id,confidence,notes
S0063,Weaver Services,legal_event,regulatory,2025-08,,,,SRC01177,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0063,Weaver Services,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0064,NoBroker,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0064,NoBroker,first_funding,Series C,2019-06-22,4386.0,INR Mn,INR,SRC01193,DERIVED,first funding event from FUNDING
S0064,NoBroker,legal_event,licence,Unknown,,,,SRC01191,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0064,NoBroker,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0065,Skyroot Aerospace,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0065,Skyroot Aerospace,first_funding,Series B,2022-09-01,4003.5,INR Mn,INR,SRC01207,DERIVED,first funding event from FUNDING
S0065,Skyroot Aerospace,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0066,Digantara,founded,2020,2020,,,,,DERIVED,founded date from STARTUPS
S0066,Digantara,first_funding,Grant (prize money),2020-08-20,0.25,INR Mn,INR,SRC01215,DERIVED,first funding event from FUNDING
S0066,Digantara,latest_revenue,FY25,FY25,4.7,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0066,Digantara,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0067,Games24x7,founded,2006,2006,,,,,DERIVED,founded date from STARTUPS
S0067,Games24x7,first_funding,Seed,2006-06-01,,INR Mn,INR,SRC01240,DERIVED,first funding event from FUNDING
S0067,Games24x7,latest_revenue,FY23,FY23,2023.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0067,Games24x7,legal_event,ruling,Passed Aug 2025; in effect Sept 2025,,,,SRC01243,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0067,Games24x7,current_state,active (distressed pivot — RMG banned Aug 2025),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0068,Infra.Market,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0068,Infra.Market,first_funding,Seed/Series A,2019,860.0,INR Mn,INR,SRC01259,DERIVED,first funding event from FUNDING
S0068,Infra.Market,latest_revenue,FY26,FY26,20000.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0068,Infra.Market,acquisition,made,2023,,,,SRC01261,DERIVED,acquisition event from ACQUISITIONS
S0068,Infra.Market,legal_event,regulatory,2026-01,,,,SRC01273,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0068,Infra.Market,current_state,active private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0070,Navi,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0070,Navi,first_funding,Convertible Debt,2024-05-23,1507.62,INR Mn,INR,SRC01292,DERIVED,first funding event from FUNDING
S0070,Navi,latest_revenue,FY26,FY26,3091.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0070,Navi,legal_event,penalty,2026-02-10,,,,SRC01287,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0070,Navi,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0071,Ninjacart,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0071,Ninjacart,first_funding,Series B,2018-12-12,3100.0,INR Mn,INR,SRC01317,DERIVED,first funding event from FUNDING
S0071,Ninjacart,latest_revenue,FY25,FY25,1634.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0071,Ninjacart,legal_event,insolvency,,,,,SRC01312,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0071,Ninjacart,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0072,Pine Labs,founded,1998,1998,,,,,DERIVED,founded date from STARTUPS
S0072,Pine Labs,first_funding,Seed,2009-01-01,,INR Mn,INR,SRC01333,DERIVED,first funding event from FUNDING
S0072,Pine Labs,latest_revenue,FY26,FY26,306754.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0072,Pine Labs,legal_event,regulatory,2026-03-23,,,,SRC01328,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0072,Pine Labs,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0073,River Mobility,founded,2021-03-01,2021-03-01,,,,,DERIVED,founded date from STARTUPS
S0073,River Mobility,first_funding,Series A,2023-06-01,1242.0,INR Mn,INR,SRC01371,DERIVED,first funding event from FUNDING
S0073,River Mobility,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0074,Rocketlane,founded,2020-04-01,2020-04-01,,,,,DERIVED,founded date from STARTUPS
S0074,Rocketlane,first_funding,Series A,2022-01-19,1413.0,INR Mn,INR,SRC01381,DERIVED,first funding event from FUNDING
S0074,Rocketlane,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0075,Ultrahuman,founded,2019-12-01,2019-12-01,,,,,DERIVED,founded date from STARTUPS
S0075,Ultrahuman,first_funding,Seed,2019-12-11,,INR Mn,INR,SRC01408,DERIVED,first funding event from FUNDING
S0075,Ultrahuman,latest_revenue,FY25,FY25,65.8,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0075,Ultrahuman,legal_event,regulatory,2026-03-24,,,,SRC01429,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0075,Ultrahuman,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0076,Third Wave Coffee,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0076,Third Wave Coffee,first_funding,Series A,2021,447.0,INR Mn,INR,SRC01440,DERIVED,first funding event from FUNDING
S0076,Third Wave Coffee,latest_revenue,FY26,FY26,337.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0076,Third Wave Coffee,current_state,"ACTIVE — Rs 408 crore (~$43M) round led by WestBridge Capital announced Aug 2026; 240+ cafes, targeting 320 by FY-end",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0077,Celcius Logistics,founded,2020,2020,,,,,DERIVED,founded date from STARTUPS
S0077,Celcius Logistics,first_funding,Series B (equity + debt + secondary),2025-05-06,21425.0,INR Mn,INR,SRC01457,DERIVED,first funding event from FUNDING
S0077,Celcius Logistics,latest_revenue,FY24,FY24,90.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0077,Celcius Logistics,current_state,active private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0078,Square Yards,founded,2014,2014,,,,,DERIVED,founded date from STARTUPS
S0078,Square Yards,first_funding,Private,2014,,INR Mn,INR,SRC01472,DERIVED,first funding event from FUNDING
S0078,Square Yards,latest_revenue,FY26,FY26,2086.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0078,Square Yards,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0079,Wint Wealth,founded,2020,2020,,,,,DERIVED,founded date from STARTUPS
S0079,Wint Wealth,first_funding,Series A,2022-05-01,1334.5,INR Mn,INR,SRC01482,DERIVED,first funding event from FUNDING
S0079,Wint Wealth,latest_revenue,FY23,FY23,9.66,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0079,Wint Wealth,legal_event,notice,2023 approval,,,,SRC01478,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0079,Wint Wealth,current_state,active private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0080,Airbound,founded,2023,2023,,,,,DERIVED,founded date from STARTUPS
S0080,Airbound,first_funding,Seed,2025-10-14,741.31,INR Mn,INR,SRC01487,DERIVED,first funding event from FUNDING
S0080,Airbound,current_state,ACTIVE — $37M Series A led by Greenoaks announced Aug 2026; Andhra Pradesh commercial deployment agreement,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0081,Ati Motors,founded,2017,2017,,,,,DERIVED,founded date from STARTUPS
S0081,Ati Motors,first_funding,Series A,2023-07-21,902.52,INR Mn,INR,SRC01492,DERIVED,first funding event from FUNDING
S0081,Ati Motors,latest_revenue,FY25,FY25,8.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0081,Ati Motors,current_state,"ACTIVE — $20M Series B Jan 2025 (NGP Capital + Walden Catalyst); expanding US/APAC, Detroit HQ expansion",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0083,boAt,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0083,boAt,first_funding,Series B,2021-01-05,7450.0,INR Mn,INR,SRC01506,DERIVED,first funding event from FUNDING
S0083,boAt,latest_revenue,FY25,FY25,3070.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0083,boAt,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0084,MobiKwik,founded,2008,2008,,,,,DERIVED,founded date from STARTUPS
S0084,MobiKwik,first_funding,Series C,2016-05-01,4300.0,INR Mn,INR,SRC01518,DERIVED,first funding event from FUNDING
S0084,MobiKwik,latest_revenue,FY26,FY26,1106.5,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0084,MobiKwik,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0085,OfBusiness,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0085,OfBusiness,first_funding,Series A,2015-09-26,369.8,INR Mn,INR,SRC01545,DERIVED,first funding event from FUNDING
S0085,OfBusiness,acquisition,made,2025,,,,SRC01536,DERIVED,acquisition event from ACQUISITIONS
S0085,OfBusiness,legal_event,regulatory,2026-04-22,,,,SRC01539,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0085,OfBusiness,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0086,Pristyn Care,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0086,Pristyn Care,first_funding,Series A,2019-06-02,344.0,INR Mn,INR,SRC01574,DERIVED,first funding event from FUNDING
S0086,Pristyn Care,acquisition,made,2022-06,,,,SRC01577,DERIVED,acquisition event from ACQUISITIONS
S0086,Pristyn Care,current_state,operating,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0087,Swish,founded,2024,2024,,,,,DERIVED,founded date from STARTUPS
S0087,Swish,first_funding,Seed,2024-11-19,167.4,INR Mn,INR,SRC01584,DERIVED,first funding event from FUNDING
S0087,Swish,latest_revenue,FY26,FY26,490529.82,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0087,Swish,current_state,ACTIVE — $24M round led by Bertelsmann India Investments reported Sep 2026; $38M Series B announced Mar 2026 (company blog),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0089,Moonrider,first_funding,seed,2025-01-07,188.54,INR Mn,INR,SRC01607,DERIVED,first funding event from FUNDING
S0089,Moonrider,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0090,Toddle,founded,2019,2019,,,,,DERIVED,founded date from STARTUPS
S0090,Toddle,first_funding,series-a,2023-01-10,1407.6,INR Mn,INR,SRC01613,DERIVED,first funding event from FUNDING
S0090,Toddle,legal_event,regulatory,2025-07-10,,,,SRC01617,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0090,Toddle,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0092,Akasa Air,founded,2021,2021,,,,,DERIVED,founded date from STARTUPS
S0092,Akasa Air,first_funding,seed,2021-07-29,2607.5,INR Mn,INR,SRC01648,DERIVED,first funding event from FUNDING
S0092,Akasa Air,latest_revenue,FY26,FY26,4636.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0092,Akasa Air,legal_event,ruling,2026-02,,,,SRC01641,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0092,Akasa Air,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0093,EatClub (BOX8),founded,2012,2012,,,,,DERIVED,founded date from STARTUPS
S0093,EatClub (BOX8),first_funding,Seed/Early,2015,,INR Mn,INR,SRC01677,DERIVED,first funding event from FUNDING
S0093,EatClub (BOX8),latest_revenue,FY25,FY25,749.5,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0093,EatClub (BOX8),current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0094,Eruditus,founded,2010,2010,,,,,DERIVED,founded date from STARTUPS
S0094,Eruditus,first_funding,Stake acquisition,2017-04-03,,INR Mn,INR,SRC01702,DERIVED,first funding event from FUNDING
S0094,Eruditus,latest_revenue,FY24,FY24,3733.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0094,Eruditus,acquisition,made,2021-05-20,,,,SRC01692,DERIVED,acquisition event from ACQUISITIONS
S0094,Eruditus,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0095,Innovist,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0095,Innovist,first_funding,Series A,2023-05-09,579.6,INR Mn,INR,SRC01724,DERIVED,first funding event from FUNDING
S0095,Innovist,latest_revenue,FY25,FY25,301.4,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0095,Innovist,acquisition,received,2026-06-18,,,,SRC01728,DERIVED,acquisition event from ACQUISITIONS
S0095,Innovist,current_state,active (acquired-but-operating),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0096,Leap (LeapScholar),founded,2019,2019,,,,,DERIVED,founded date from STARTUPS
S0096,Leap (LeapScholar),first_funding,Series A,2020-03-01,407.0,INR Mn,INR,SRC01748,DERIVED,first funding event from FUNDING
S0096,Leap (LeapScholar),latest_revenue,FY24,FY24,202.6,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0096,Leap (LeapScholar),acquisition,made,2025-03-07,,,,SRC01743,DERIVED,acquisition event from ACQUISITIONS
S0096,Leap (LeapScholar),current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0097,Nazara Technologies,founded,1999,1999,,,,,DERIVED,founded date from STARTUPS
S0097,Nazara Technologies,first_funding,Post-IPO,2021-10-06,3149.84,INR Mn,INR,SRC01760,DERIVED,first funding event from FUNDING
S0097,Nazara Technologies,latest_revenue,FY25,FY25,1623.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0097,Nazara Technologies,acquisition,made,2026-03-18,,,,SRC01761,DERIVED,acquisition event from ACQUISITIONS
S0097,Nazara Technologies,current_state,active (listed),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0098,Neo (Neo Wealth),founded,2021,2021,,,,,DERIVED,founded date from STARTUPS
S0098,Neo (Neo Wealth),first_funding,angel/seed,2021-12-15,2980.0,INR Mn,INR,SRC01770,DERIVED,first funding event from FUNDING
S0098,Neo (Neo Wealth),legal_event,regulatory,UNKNOWN,,,,SRC01765,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0098,Neo (Neo Wealth),current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0099,Stellapps,founded,2011,2011,,,,,DERIVED,founded date from STARTUPS
S0099,Stellapps,first_funding,Series B,2018-05-30,1204.0,INR Mn,INR,SRC01781,DERIVED,first funding event from FUNDING
S0099,Stellapps,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0100,Purple Style Labs,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0100,Purple Style Labs,first_funding,Pre-Series D,2022-06-01,785.0,INR Mn,INR,SRC01784,DERIVED,first funding event from FUNDING
S0100,Purple Style Labs,latest_revenue,FY26,FY26,557.83,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0100,Purple Style Labs,legal_event,regulatory,2026-01-23,,,,SRC01788,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0100,Purple Style Labs,current_state,active (listed),2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0101,Zypp Electric,founded,2017,2017,,,,,DERIVED,founded date from STARTUPS
S0101,Zypp Electric,first_funding,Series B ($20M equity + $5M debt),2023-02-08,2070.0,INR Mn,INR,SRC01791,DERIVED,first funding event from FUNDING
S0101,Zypp Electric,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0102,Business Nextgen Finance,founded,2025,2025,,,,,DERIVED,founded date from STARTUPS
S0102,Business Nextgen Finance,first_funding,equity (first institutional),2026-09-03,2150.0,INR Mn,INR,SRC01800,DERIVED,first funding event from FUNDING
S0102,Business Nextgen Finance,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0103,EtherealX (Ethereal Exploration),founded,2022,2022,,,,,DERIVED,founded date from STARTUPS
S0103,EtherealX (Ethereal Exploration),first_funding,Seed,2024-08-06,418.5,INR Mn,INR,SRC01808,DERIVED,first funding event from FUNDING
S0103,EtherealX (Ethereal Exploration),latest_revenue,FY25,FY25,1.1,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0103,EtherealX (Ethereal Exploration),current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0104,QNu Labs,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0104,QNu Labs,first_funding,Grant (prize money),2024-11-26,664.78,INR Mn,INR,SRC01817,DERIVED,first funding event from FUNDING
S0104,QNu Labs,latest_revenue,FY25,FY25,4794409.82,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0104,QNu Labs,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0105,Ultraviolette,founded,2016,2016,,,,,DERIVED,founded date from STARTUPS
S0105,Ultraviolette,first_funding,Series E (tranche),2025-08-01,1799.7,INR Mn,INR,SRC01829,DERIVED,first funding event from FUNDING
S0105,Ultraviolette,latest_revenue,FY25,FY25,36.1,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0105,Ultraviolette,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0106,Curefoods,founded,2020,2020,,,,,DERIVED,founded date from STARTUPS
S0106,Curefoods,first_funding,Seed,2020,,INR Mn,INR,SRC01853,DERIVED,first funding event from FUNDING
S0106,Curefoods,latest_revenue,FY25,FY25,775.49,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0106,Curefoods,legal_event,notice,DRHP Jun 2025; SEBI approval ~Oct 2025,,,,SRC01837,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0106,Curefoods,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0107,Dezerv,founded,2021-04-01,2021-04-01,,,,,DERIVED,founded date from STARTUPS
S0107,Dezerv,first_funding,Series B,2024-07-09,265.0,INR Mn,INR,SRC01863,DERIVED,first funding event from FUNDING
S0107,Dezerv,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0108,Edubuk,founded,2019,2019,,,,,DERIVED,founded date from STARTUPS
S0108,Edubuk,first_funding,Incubator/Accelerator,2024-08-12,,INR Mn,INR,SRC01874,DERIVED,first funding event from FUNDING
S0108,Edubuk,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0109,EloElo,founded,2020-07-01,2020-07-01,,,,,DERIVED,founded date from STARTUPS
S0109,EloElo,first_funding,Seed,2021-07-27,156.45,INR Mn,INR,SRC01890,DERIVED,first funding event from FUNDING
S0109,EloElo,latest_revenue,FY25,FY25,75.8,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0109,EloElo,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0110,GIVA,founded,2019,2019,,,,,DERIVED,founded date from STARTUPS
S0110,GIVA,first_funding,Series B,2023-07-05,2000.0,INR Mn,INR,SRC01923,DERIVED,first funding event from FUNDING
S0110,GIVA,latest_revenue,FY25,FY25,5230000000.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0110,GIVA,legal_event,licence,,,,,SRC01915,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0110,GIVA,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0112,Moglix,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0112,Moglix,first_funding,Series E,2021-05-17,8940.0,INR Mn,INR,SRC01945,DERIVED,first funding event from FUNDING
S0112,Moglix,latest_revenue,FY25,FY25,692.8,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0112,Moglix,acquisition,made,October 2022,,,,SRC01957,DERIVED,acquisition event from ACQUISITIONS
S0112,Moglix,current_state,Active / private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0114,PhysicsWallah,founded,2020,2020,,,,,DERIVED,founded date from STARTUPS
S0114,PhysicsWallah,first_funding,Series A,2022-06-07,7850.0,INR Mn,INR,SRC01973,DERIVED,first funding event from FUNDING
S0114,PhysicsWallah,current_state,"Public (listed on NSE: PWL, BSE: 544609 on Nov 18, 2025)",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0115,Popo Global,founded,2017,2017,,,,,DERIVED,founded date from STARTUPS
S0115,Popo Global,first_funding,Strategic Investment (Significant Minority),2026-09-11,5320.0,INR Mn,INR,SRC01979,DERIVED,first funding event from FUNDING
S0115,Popo Global,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0116,Shadowfax,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0116,Shadowfax,first_funding,Series A,2015,1591.0,INR Mn,INR,SRC01988,DERIVED,first funding event from FUNDING
S0116,Shadowfax,current_state,"Public (listed on NSE: SHADOWFAX, BSE: 544685)",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0117,Smallcase,first_funding,Series A,2019-02-12,,INR Mn,INR,SRC01997,DERIVED,first funding event from FUNDING
S0117,Smallcase,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0118,StockGro,first_funding,Seed,2020-06-24,74.0,INR Mn,INR,SRC02002,DERIVED,first funding event from FUNDING
S0118,StockGro,latest_revenue,FY25,FY25,1255000000.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0118,StockGro,legal_event,regulatory,UNKNOWN,,,,SRC02006,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0118,StockGro,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0119,Yulu,first_funding,Series B,2022-09-11,6437.0,INR Mn,INR,SRC02018,DERIVED,first funding event from FUNDING
S0119,Yulu,latest_revenue,FY24,FY24,122.8,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0119,Yulu,legal_event,complaint,N/A,,,,,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0119,Yulu,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0120,Zenoti,founded,2010,2010,,,,,DERIVED,founded date from STARTUPS
S0120,Zenoti,first_funding,Series A,2015-07-27,516.0,INR Mn,INR,SRC02036,DERIVED,first funding event from FUNDING
S0120,Zenoti,latest_revenue,FY25,FY25,336.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0120,Zenoti,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0121,Exxat,founded,2011,2011,,,,,DERIVED,founded date from STARTUPS
S0121,Exxat,first_funding,Series C,2026-01-14,3915.0,INR Mn,INR,SRC02061,DERIVED,first funding event from FUNDING
S0121,Exxat,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0122,Bellatrix Aerospace,founded,2015,2015,,,,,DERIVED,founded date from STARTUPS
S0122,Bellatrix Aerospace,first_funding,Pre-Series B,2026-03-27,1740.0,INR Mn,INR,SRC02067,DERIVED,first funding event from FUNDING
S0122,Bellatrix Aerospace,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0123,Foxtale,founded,2021,2021,,,,,DERIVED,founded date from STARTUPS
S0123,Foxtale,first_funding,Series C,2025-01-14,2571.0,INR Mn,INR,SRC02075,DERIVED,first funding event from FUNDING
S0123,Foxtale,latest_revenue,FY25,FY25,206.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0123,Foxtale,current_state,ACTIVE,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0125,HerSpace Manufacturing,founded,2023,2023,,,,,DERIVED,founded date from STARTUPS
S0125,HerSpace Manufacturing,first_funding,Seed/early,2025,857.0,INR Mn,INR,SRC02095,DERIVED,first funding event from FUNDING
S0125,HerSpace Manufacturing,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0126,Snitch,founded,2018,2018,,,,,DERIVED,founded date from STARTUPS
S0126,Snitch,first_funding,Series A (Rs 110 Cr),2023-12-01,1084.68,INR Mn,INR,SRC02104,DERIVED,first funding event from FUNDING
S0126,Snitch,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0128,Rezolv,founded,2024-10-01,2024-10-01,,,,,DERIVED,founded date from STARTUPS
S0128,Rezolv,first_funding,Seed,2025,299.95,INR Mn,INR,SRC02125,DERIVED,first funding event from FUNDING
S0128,Rezolv,latest_revenue,FY25,FY25,10.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0128,Rezolv,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0130,BGauss,founded,2020,2020,,,,,DERIVED,founded date from STARTUPS
S0130,BGauss,first_funding,Series A,2022-04-01,52.0,INR Mn,INR,SRC02139,DERIVED,first funding event from FUNDING
S0130,BGauss,latest_revenue,FY25,FY25,238.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0130,BGauss,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0131,Emo Energy,founded,2022,2022,,,,,DERIVED,founded date from STARTUPS
S0131,Emo Energy,first_funding,Seed,2024-05-01,100.44,INR Mn,INR,SRC02159,DERIVED,first funding event from FUNDING
S0131,Emo Energy,current_state,active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0134,Chargebee,founded,2011,2011,,,,,DERIVED,founded date from STARTUPS
S0134,Chargebee,first_funding,Angel,2012-09-30,31.82,INR Mn,INR,SRC02188,DERIVED,first funding event from FUNDING
S0134,Chargebee,latest_revenue,FY25,FY25,372.9,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0134,Chargebee,legal_event,none,,,,,SRC02205,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0134,Chargebee,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0135,Delhivery,founded,2011,2011,,,,,DERIVED,founded date from STARTUPS
S0135,Delhivery,first_funding,Series H,2021-05-30,20636.5,INR Mn,INR,SRC02219,DERIVED,first funding event from FUNDING
S0135,Delhivery,latest_revenue,FY26,FY26,10508.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0135,Delhivery,legal_event,regulatory,2026-03-20,,,,SRC02217,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0135,Delhivery,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0137,Freshworks,founded,2010,2010,,,,,DERIVED,founded date from STARTUPS
S0137,Freshworks,first_funding,Series H,2019-11-04,12900.0,INR Mn,INR,SRC02239,DERIVED,first funding event from FUNDING
S0137,Freshworks,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0138,OYO,founded,2013,2013,,,,,DERIVED,founded date from STARTUPS
S0138,OYO,first_funding,Series G,2024-12-15,,INR Mn,INR,SRC02261,DERIVED,first funding event from FUNDING
S0138,OYO,latest_revenue,FY25,FY25,6463.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0138,OYO,legal_event,notice,2025-04,,,,SRC02267,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0138,OYO,current_state,Active,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0139,Policybazaar,founded,2008,2008,,,,,DERIVED,founded date from STARTUPS
S0139,Policybazaar,first_funding,Series G,2021-02-24,,INR Mn,INR,SRC02271,DERIVED,first funding event from FUNDING
S0139,Policybazaar,current_state,,2026-09-16,,,,,DERIVED,current company status from STARTUPS
